band_num,date_resighted,location,observer,status,comments,Brood instead of Resightings
1467-52311,19-07-1994,NW end island,SL?,visual,@830,Brood
1467-52311,22-07-1994,on nest,N/A,N/A,@1120,Brood
1467-52311,23-07-1994,on NW corner of island,SWL,N/A,@1050,Brood
1467-52311,24-07-1994,NW corner of island,"JF, VL",N/A,@1316,Brood
1467-52311,25-07-1994,NW corner of island,SWL,N/A,@1342,Brood
1467-52311,26-07-1994,NW corner of island,SWL,N/A,@0950,Brood
1467-52311,28-07-1994,Pd90 N end at bait traps,N/A,N/A,=~@1030,Brood
1467-52311,28-07-1994,NW share of island Pd1,N/A,N/A,@1531,Brood
1467-52311,28-07-1994,NW end Island ,"RGC,SL",N/A,@1827,Brood
1467-52311,29-07-1994,Nest area pond #1,SL,N/A,@1545,Brood
1467-52311,31-07-1994,Nest area pond #1,"MC, LH",N/A,@1407,Brood
1467-52311,01-08-1994,On nest Pd1 Island,"MC, LH",N/A,@1205,Brood
1467-52311,03-08-1994,On NW side Island nest?,N/A,N/A,@1015,Brood
1467-52311,04-08-1994,On NW side Island nest?,SL,N/A,@1830,Brood
1467-52311,05-08-1994,On NW side Island nest?,SL,N/A,@837,Brood
1467-52311,07-08-1994,"Found Dead near nest eggs untouched ""Dead""",N/A,N/A,@1530,Brood
1467-52314,N/A,N/A,N/A,N/A,N/A,Resightings
1467-52316,N/A,N/A,N/A,N/A,N/A,Resightings
1467-52317,10-07-1992,Pd94,MG,hatched,N/A,Resightings
1467-52317,26-05-1994,N48,RGC,Pipped,"""910g wing 265 HB 112.0""",Resightings
1467-52317,29-05-1994,N48,RGC,hatched,N/A,Resightings
1467-52317,27-05-1994,nest area Pd48,N/A,N/A,N/A,Brood
1467-52317,28-05-1994,Pd90,N/A,N/A,N/A,Brood
1467-52317,29-05-1994,Pd90 NW,N/A,N/A,N/A,Brood
1467-52317,31-05-1994,Pd90,N/A,N/A,N/A,Brood
1467-52317,01-06-1994,Pd90,N/A,N/A,@1118,Brood
1467-52317,02-06-1994,Pd90,N/A,N/A,@0908,Brood
1467-52317,04-06-1994,Pd90,N/A,N/A,N/A,Brood
1467-52317,05-06-1994,Pd90,N/A,N/A,N/A,Brood
1467-52317,06-06-1994,Pd90,N/A,N/A,N/A,Brood
1467-52317,07-06-1994,Pd90,SWL,N/A,N/A,Brood
1467-52317,08-06-1994,"E of Pd90, S of 6751, E of 92",N/A,N/A,Afternoon,Brood
1467-52317,09-06-1994,Pd90,N/A,N/A,Morning,Brood
1467-52317,14-06-1994,Pd90 (Swend),SL,N/A,@0900,Brood
1467-52317,14-06-1994,Pd90 SR only saw colours/not...?,N/A,N/A,@1600,Brood
1467-52317,16-06-1994,Pd90,N/A,N/A,@1904,Brood
1467-52317,17-06-1994,Pd90,SL,N/A,morning,Brood
1467-52317,18-06-1994,Pd90 NW side,RGC,N/A,Morning,Brood
1467-52317,19-06-1994,Pd90 NW side,"JF, LH, MC",N/A,@0917,Brood
1467-52317,21-06-1994,Pd90 NW side,LH,N/A,@0835,Brood
1467-52317,22-06-1994,Pd90,Broods obs?,N/A,@0850,Brood
1467-52317,23-06-1994,Pd90,SL,N/A,@2000-2100,Brood
1467-52317,25-06-1994,Pd90 - South Central Broods Obs,VL; LH,N/A,@1401,Brood
1467-52317,21-06-1994,Pd90 NW side,LH,N/A,@0835,Brood
1467-52317,27-06-1994,NW tip Pd90,SL,N/A,@0954,Brood
1467-52317,30-06-1994,Pd90 (NW side),MC,N/A,@1604,Brood
1467-52317,01-07-1994,Pd90,MC,N/A,@0920,Brood
1467-52317,02-07-1994,Pd90,MC,N/A,@1430,Brood
1467-52317,03-07-1994,Pd90,MC,N/A,@1334,Brood
1467-52317,04-07-1994,Pd90 (NW side),JF,N/A,@1550,Brood
1467-52317,05-07-1994,Pd90,SL,N/A,@1505,Brood
1467-52317,06-07-1994,Pd90,"VL,ML",N/A,@0810-1049,Brood
1467-52317,07-07-1994,Pd90,VL,N/A,@1525,Brood
1467-52317,09-07-1994,Pd90,SL,N/A,@1840,Brood
1467-52317,10-07-1994,Pd90,SL,N/A,@1143,Brood
1467-52317,12-07-1994,Pd90,"VL,MD",N/A,@1439,Brood
1467-52317,13-07-1994,Pd90,"TD,MD",N/A,@1340,Brood
1467-52317,14-07-1994,Pd90,"MC,VL",N/A,@1508,Brood
1467-52317,15-07-1994,W end of Pd90,"MD, STR",N/A,@1600,Brood
1467-52317,21-07-1994,W end of Pd90,"STR,LH",N/A,@1630,Brood
1467-52317,22-07-1994,W end of Pd90,STR,N/A,@1615,Brood
1467-52317,24-07-1994,W end of Pd90,"JF,VL",N/A,@1146,Brood
1467-52317,25-07-1994,Pd905,N/A,N/A,@0850,Brood
1467-52317,25-07-1994,Pd90 NW end,N/A,N/A,@0950,Brood
1467-52317,26-07-1994,Pd90 area,N/A,N/A,@0905,Brood
1467-52317,28-07-1994,N/A,N/A,N/A,@1041,Brood
1467-52317,25-07-1994,Pd905,SL,N/A,@0850,Brood
1467-52317,01-08-1994,Lg od? S of area along field??,"MC,LH",N/A,@1117,Brood
1467-52317,03-08-1994,SE of Pd5338,SL,N/A,@1145,Brood
1467-52317,04-08-1994,S of Pd5338,N/A,N/A,@1820,Brood
1467-52317,06-08-1994,Could it final?,N/A,N/A,N/A,Brood
1467-52317,09-08-1994,Awol,SL,N/A,N/A,Brood
1467-52317,13-08-1994,Awol,SL,N/A,N/A,Brood
1467-52321,15-04-1993,P133,RGC,Paired,N/A,Resightings
1467-52321,22-04-1993,P137,RGC,Paired,N/A,Resightings
1467-52321,14-05-1993,P133,RGC,Paired,N/A,Resightings
1467-52321,22-04-1993,N137,RGC,Paired,N/A,Resightings
1467-52322,N/A,N/A,N/A,N/A,N/A,Resightings
1107-16302,N/A,N/A,N/A,N/A,N/A,Resightings
1107-16303,22-04-1993,P1,RGC,Paired,N/A,Resightings
1107-16303,26-04-1993,P1,RGC,Paired,N/A,Resightings
1107-16303,30-04-1993,P1,RGC,Paired,N/A,Resightings
1107-16303,08-05-1993,N11,BKW,11 eggs,N/A,Resightings
1107-16303,17-05-1993,N11,JAH,"""Additivisit""",N/A,Resightings
1107-16303,24-05-1993,N11,RGC,"""Additivisit""",N/A,Resightings
1107-16303,27-05-1993,N11,RGC,"""Additivisit""",N/A,Resightings
1107-16303,29-05-1993,N11,RGC,Pipped,N/A,Resightings
1107-16303,1-06-1993,N11,RGC,hatched+gone,all 11 hatched,Resightings
1107-16303,11-05-1994,E. side Island,RGC,on nest,N/A,Resightings
1107-16304,N/A,N/A,N/A,N/A,N/A,Resightings
1107-16305,N/A,N/A,N/A,N/A,N/A,Resightings
1107-16306,N/A,N/A,N/A,N/A,N/A,Resightings
1107-16307,N/A,N/A,N/A,N/A,N/A,Resightings
1107-16308,08-05-1993,N09,BKW et al,on nest,9 eggs,Resightings
1107-16308,14-05-1993,n09,RGC,on nest,"""Additivisit""",Resightings
1107-16308,19-05-1993,n09,RGC,on nest,"""Additivisit""",Resightings
1107-16308,22-05-1993,n09,RGC,on nest,"""Additivisit""",Resightings
