band_num,date_resighted,location,observer,status,comments,Brood instead of Resightings
1107-16326,01-07-1994,E side Pd1,N/A,N/A,@0901,Brood
1107-16326,02-07-1994,E side Pd1,MC,N/A,@1302,Brood
1107-16326,03-07-1994,SW side Pd1,MC,N/A,@1057,Brood
1107-16326,04-07-1994,SW side Pd1,JF,N/A,@1800,Brood
1107-16326,07-07-1994,E side Pd1,VL,N/A,@1602,Brood
1107-16326,09-07-1994,SW end Pd1,SL,N/A,N/A,Brood
1107-16326,10-07-1994,SE end Pd1,SL,N/A,N/A,Brood
1107-16326,13-07-1994,SE end Pd1,"TD, MD",N/A,@1307,Brood
1107-16326,14-07-1994,SE end Pd1,"MC,VL",N/A,@1339,Brood
1107-16326,15-07-1994,SW end Pd1,SWL,N/A,@0845,Brood
1107-16326,19-07-1994,SW island,SWL,N/A,@0833,Brood
1107-16326,20-07-1994,AWOL,ED,N/A,@0950,Brood
1107-16326,21-07-1994,AWOL,SR,N/A,@1020-1400,Brood
1107-16326,22-07-1994,AWOL,SR,N/A,N/A,Brood
1107-16326,23-07-1994,AWOL,N/A,N/A,N/A,Brood
1107-16326,24-07-1994,AWOL,"JF, VL",N/A,N/A,Brood
1107-16326,25-07-1994,AWOL,SL,N/A,N/A,Brood
1107-16326,26-07-1994,AWOL,SL,N/A,N/A,Brood
1107-16326,28-07-1994,Pd1 NE side,"RGC,SL",N/A,@2030,Brood
1107-16326,29-07-1994,Pd1,ED,N/A,@0830,Brood
1107-16326,31-07-1994,AWOL,"MC,LH",N/A,@1415,Brood
1107-16326,01-08-1994,AWOL,"MC,LH",N/A,@1240,Brood
1107-16326,03-08-1994,AWOL,"MC, SL",N/A,N/A,Brood
1107-16326,04-08-1994,AWOL,SL,N/A,N/A,Brood
1107-16326,06-08-1994,Couldn't find,N/A,N/A,N/A,Brood
1107-16326,09-08-1994,AWOL,SL,N/A,N/A,Brood
1107-16326,12-08-1994,AWOL,LH,N/A,N/A,Brood
1107-16327,10-07-1994,N24 ISL,RGC,Cont...,Natal Nest #7 in 1991,Resightings
1107-16327,20-05-1995,ISLA #25,RGC,Nesting =~ 18d inc,N/A,Resightings
1107-16327,04-08-1995,Island Nest 27,RGC/SWL,Flushed her off via telemetry,N/A,Resightings
1107-16327,06-09-1995,1/2 Mi SE Of Bouissiarie's,SWL,NO brood ever seen,N/A,Resightings
1107-16327,03-07-1996,ISLAND Nest #36,N/A,N/a,Hatched,Resightings
1107-16327,25-07-1996,Pd 6631,STR,w3 iii,@1450,Resightings
1107-16327,24-06-1997,Nest,RGC,Female ID,@0.5 (did not flush),Resightings
1107-16327,17-06-1994,Pd105 watched from 1445-1615,N/A,N/A,@1528,Brood
1107-16327,18-06-1994,Pd84 no sighting,"JF, LH",N/A,@1941,Brood
1107-16327,19-06-1994,Couldn't find,"MC, LH",N/A,@1300,Brood
1107-16327,22-06-1994,field feeding 2 male following her,SL,N/A,@0913,Brood
1107-16327,23-06-1994,AWOL,N/A,N/A,N/A,Brood
1107-16327,25-06-1994,N. labe* of Pd N of 6642,N/A,N/A,@1407 *labe? lake??,Brood
1107-16327,25-06-1994,No sighting Pd N of 6642,N/A,N/A,@1615-1710,Brood
1107-16327,25-06-1994,2 Pd N of Pd 6642,N/A,N/A,@1911,Brood
1107-16327,27-06-1994,SE of area,N/A,N/A,@0959,Brood
1107-16327,01-07-1994,W side of road in 2nd pd S house S of skunk pens,MC,N/A,@1500,Brood
1107-16327,02-07-1994,W side of road in 2nd pd S house S of skunk pens,MC,N/A,@1453,Brood
1107-16327,03-07-1994,W side of road in 2nd pd S house S of skunk pens,MC,N/A,@1345,Brood
1107-16327,04-07-1994,E side of road in 2nd pd S house S of skunk pens,JF,N/A,@1650,Brood
1107-16327,07-07-1994,E side of road in 2nd pd S house S of skunk pens,VL,N/A,@1540,Brood
1107-16327,09-07-1994,S of Bouissier's Farm W side road,N/A,N/A,@1845,Brood
1107-16327,10-07-1994,S of Bouissier's Farm W side road,N/A,N/A,@1210,Brood
1107-16327,12-07-1994,S of Bouissier's Farm W side road,N/A,N/A,N/A,Brood
1107-16327,13-07-1994,S of Bouissier's Farm W side road,N/A,N/A,@0204,Brood
1107-16327,14-07-1994,S of Bouissier's Farm W side road,"MC, VL",N/A,@1512,Brood
1107-16327,16-07-1994,E side road Bouissieres SE,N/A,N/A,@1041,Brood
1107-16327,19-07-1994,Weak signal SE of SE corner of study area,N/A,N/A,@1100,Brood
1107-16327,23-07-1994,S of Bouissier's on E side road,N/A,N/A,@1215,Brood
1107-16327,25-07-1994,S of Bouissier's on E side road,N/A,N/A,N/A,Brood
1107-16327,16-07-1994,E side road Bouissieres SE,N/A,N/A,@1041,Brood
1107-16327,25-07-1994,E of Bouissier's on E side road (not sure where),SL,N/A,N/A,Brood
1107-16327,26-07-1994,E of Bouissier's on E side road (not sure where),SL,N/A,N/A,Brood
1107-16327,29-07-1994,E of Bouissier's on E side road (not sure where),SL,N/A,@1635,Brood
1107-16327,31-07-1994,AWOL,"MC, LH",N/A,@1520,Brood
1107-16327,01-08-1994,AWOL,"MC, LH",N/A,@1320,Brood
1107-16327,08-08-1994,AWOL,SL,N/A,N/A,Brood
1107-16327,09-08-1994,AWOL,SL,N/A,N/A,Brood
1107-16328,24-06-1997,N330,RGC,Femae I.D,@ 0.5M (did nor flush,I did not found the written record
1107-16328,20-04-1995,Skomars Pond,SWL,Paired,@1850,Resightings
1107-16328,24-04-1995,Skomars Pond,SWL,Paired,@1639,Resightings
1107-16328,10-05-1995,Pd20,JC/SWL,Paired,@1140,Resightings
1107-16328,16-05-1995,Pd20,SWL,Paired,@1228,Resightings
1107-16328,19-05-1995,Pd20,SWL,Paired,N/A,Resightings
1107-16328,22-05-1995,Pd20,RGC,Paired,@1245,Resightings
1107-16328,30-05-1995,Pd20,RGC,Paired,@1620,Resightings
1107-16328,7-06-1995,Pd20,SWL,Paired,@1537,Resightings
1107-16328,18-06-1995,Pd20,SWL,Paired,@0911,Resightings
1107-16328,20-06-1995,Pd20,RGC,Paired,@1054,Resightings
1107-16328,21-06-1995,Pd20,RW,Paired,@1620,Resightings
1107-16328,22-06-1995,Pd20,SWL,Paired,@1015,Resightings
1107-16328,24-06-1995,feild by 5056,RGC,Paired,@0955,Resightings
1107-16328,3-07-1995,W Pd28,"RGC, STR",N263,See nest 279,Resightings
1107-16328,26-06-1995,Pd20,SWL,Paired,@1733,Resightings
1107-16328,22-07-1995,E Pd26,SWL,N/A,@1350 on nest 279,Resightings
1107-16328,24-07-1995,Pd26,SWL,>=6IA,@1653,Resightings
1107-16328,04-08-1995,Skomars Pd,SWL,>=2,partial,Resightings
1107-16328,01-09-1995,Skomars Pd,SWL,N/A,Female found dead,Resightings
1107-16328,01-09-1995,Skomars Pd,SWL,STD 3538,Found dead,Resightings
1107-16328,20-06-1994,10 m. E swallow box 110 SW Pd 20 W,N/A,N/A,@2100,Brood
1107-16328,25-06-1994,S of Pd26 near road,N/A,N/A,@1440,Brood
1107-16328,27-06-1994,Pd25,N/A,N/A,@0947,Brood
1107-16328,30-06-1994,Pd25,MC,N/A,@1755,Brood
1107-16328,01-07-1994,Pd N of NWA N of saptives ,MC,N/A,@1428,Brood
1107-16328,02-07-1994,Pd N of NWA N of saptives ,MC,N/A,@1351,Brood
1107-16328,03-07-1994,Pd N of NWA N of saptives ,MC,N/A,@1255,Brood
1107-16328,04-07-1994,Pd N of NWA N of saptives ,JF,N/A,@1730,Brood
1107-16328,07-07-1994,Pd N of NWA N of saptives ,VL,N/A,@1501,Brood
1107-16328,09-07-1994,Pd N of duck pen,N/A,N/A,@1751,Brood
1107-16328,10-07-1994,Pd N of duck pen,N/A,N/A,@1043 *Note* South mall female?? with 8 class tags,Brood
1107-16328,14-07-1994,Pd N of duck pen,"MC, VL",N/A,@1641,Brood
1107-16328,15-07-1994,Pd N of duck pen,VL,N/A,@1720,Brood
1107-16328,16-07-1994,Brood ob nothing seen,N/A,N/A,@0830-1100,Brood
1107-16328,18-07-1994,Pd N of duck pen,JF,N/A,@1058,Brood
1107-16328,19-07-1994,Pd N of duck pen,SL,N/A,@1015,Brood
1107-16328,20-07-1994,Pd N of duck pen,SL,N/A,@1615,Brood
1107-16328,21-07-1994,Pd N of duck pen,"LH, SR",N/A,@1335,Brood
1107-16328,21-07-1994,NW finger* visual of pd N of duck pen,"LH, SR",N/A,@1500,Brood
1107-16328,23-07-1994,SW corner of pd N of duck pen,JF,N/A,@1453,Brood
1107-16328,25-07-1994,Central Pd N of duck pen,SL,N/A,@1507,Brood
1107-16328,26-07-1994,No sighting,MD,N/A,@1340-1515,Brood
1107-16328,17-07-1994,NW duck pen,SWL,N/A,@1511,Brood
1107-16328,30-07-1994,SW corner of large Pd N of captives ,"LH, MC",N/A,@1205,Brood
1107-16328,31-07-1994,SW corner of large Pd N of captives ,"LH, MC",N/A,@1020,Brood
1107-16328,01-08-1994,SW corner of large Pd N of captives ,"LH, MC",N/A,@1005,Brood
1107-16328,03-08-1994,S end corner of large Pd N of captives ,SL,N/A,@1040,Brood
1107-16328,03-08-1994,S end corner of large Pd N of captives ,SL,N/A,@1400,Brood
1107-16328,04-08-1994,S end caught two of her duckling,SL,N/A,@0900,Brood
1107-16328,06-08-1994,Pd N of captive,N/A,N/A,N/A,Brood
1107-16328,08-08-1994,AWOL,SL,N/A,@1623,Brood
1107-16328,09-08-1994,AWOL,SL,N/A,@1615,Brood
1107-16328,13-08-1994,AWOL,SL,N/A,N/A,Brood
1107-16329,08-06-1995,Pd94,SWL,8Ic's,Full,Resighting
1107-16329,18-06-1995,?,SWL,8Ic's,@1055,Resighting
1107-16329,20-06-1995,Pd7144,SWL,7Ic's,@1601 partial,Resighting
1107-16329,26-06-1995,Pd7144,SWL,8Ic's - IIa's,@1615,Resighting
1107-16329,22-07-1995,Pd7144,RW,8III,Full,Resighting
1107-16329,30-04-1996,Pd99,RGC,Pair,Close siehting of head,Resighting
1107-16329,10-05-1996,Pd98,RGC,Pr,@am,Resighting
1107-16329,25-06-1994,N of Pd128,N/A,N/A,@1428,Brood
1107-16329,26-06-1994,Visual on nest,N/A,N/A,@0835,Brood
1107-16329,27-06-1994,N/A,N/A,N/A,N/A,Brood
1107-16329,30-06-1994,S of house S of SE corner of NWA,MC,N/A,@1824,Brood
1107-16329,01-07-1994,W of house S of SE corner of NWA (in pond),MC,N/A,@0927,Brood
1107-16329,02-07-1994,W of house S of SE corner of NWA (in pond),MC,N/A,@1444,Brood
1107-16329,03-07-1994,W of house S of SE corner of NWA (visual from distance),MC,N/A,@1321,Brood
1107-16329,04-07-1994,Same area or maybe S farther,N/A,N/A,@1650,Brood
1107-16329,07-07-1994,W of house S of Skunk pen,VL,N/A,@1551,Brood
1107-16329,09-07-1994,w OF Bouissiere's,SL,N/A,@1847,Brood
1107-16329,10-07-1994,w OF Bouissiere's,SL,N/A,@1152,Brood
1107-16329,06-07-1994,Pd S of 90b,STR,N/A,@1735,Brood
1107-16329,12-07-1994,S of 5338 ,"??, MD",N/A,@1444,Brood
1107-16329,13-07-1994,S of 5338 ,"TD, MD",N/A,@0156,Brood
1107-16329,14-07-1994,W of 5338,"MC, VL",N/A,@1427,Brood
1107-16329,21-07-1994,SE of Boussiere's,"LH, SR",N/A,@1635,Brood
1107-16329,24-07-1994,S of 5338 ,"JF, VL",N/A,@1234,Brood
1107-16329,25-07-1994,AWOL,SL,N/A,N/A,Brood
1107-16329,26-07-1994,S of 5338 ,SL,N/A,N/A,Brood
1107-16329,29-07-1994,Straight N of Bossieres,SL,N/A,@1640,Brood
1107-16329,31-07-1994,SW of boussieres,"MC, LH",N/A,@1447,Brood
1107-16329,01-08-1994,Field N of boussieres ,"MC, LH",N/A,@1120,Brood
1107-16329,02-08-1994,N of boussieres,MD,N/A,,Brood
1107-16329,07-07-1994,Unknown,SR,N/A,@1735,Brood
1107-16329,02-08-1994,Pd N of Boussieres,SL,N/A,@1515,Brood
1107-16329,04-08-1994,Pd N of Boussieres,SL,N/A,@1815,Brood
1107-16329,07-08-1994,AWOL,"JF, MD",N/A,N/A,Brood
1107-16329,09-08-1994,AWOL,SL,N/A,N/A,Brood
1107-16330,21-04-1995,NE side Pd20,SWL,Pr,N/A,Resighting
1107-16330,31-05-1996,Pd20,STR,Pair,@1540,Resighting
1107-16330,09-07-1994,NE side Pd20,SL,N/A,@1808,Brood
1107-16330,10-07-1994,NE side Pd20,SL,N/A,@0830-1200,Brood
1107-16330,15-07-1994,Pd 70 or 71,SL,N/A,@850,Brood
1107-16330,15-07-1994,Pd 75,N/A,N/A,@1555,Brood
1107-16330,17-07-1994,Pd 70 duckling 1b,MD,N/A,@1510,Brood
1107-16330,21-07-1994,W end Pd79,"LH, STR",N/A,@1605,Brood
1107-16330,22-07-1994,W end Pd79,"STR, VL",N/A,@1530,Brood
1107-16330,23-07-1994,Pd76,SL,N/A,@1105,Brood
1107-16330,24-07-1994,Pd76,"JF, VL",N/A,@1120,Brood
1107-16330,25-07-1994,Pd76,N/A,N/A,@1202,Brood
1107-16330,26-07-1994,Pd76 no sighting,VL,N/A,@1345-1515,Brood
1107-16330,28-07-1994,Pd76,SWL,N/A,am,Brood
1107-16330,29-07-1994,Pd76 no sighting,N/A,N/A,@1730-1830,Brood
1107-16330,30-07-1994,W side of 76,RGC,N/A,@900,Brood
1107-16330,31-07-1994,S side Pd 76,"MC, LH",N/A,@1427,Brood
1107-16330,01-08-1994,SE side Pd 66,"MC, LH",N/A,@1142,Brood
1107-16330,02-08-1994,N side Pd 76,MD,N/A,@830,Brood
1107-16330,02-08-1994,Pd76,"MC, LH",N/A,@1230-1400,Brood
1107-16330,03-08-1994,Pd76,SL,N/A,@1104,Brood
1107-16330,04-08-1994,Pd76?,SL,N/A,@1815,Brood
1107-16330,06-08-1994,Pd76,"JF, MD",N/A,,Brood
1107-16330,07-08-1994,Pd76,"JF, MD",N/A,@1103,Brood
1107-16330,07-08-1994,Pd76,MD,N/A,@1230-1430,Brood
1107-16330,08-08-1994,Pd76,SL,N/A,@1131,Brood
1107-16330,08-08-1994,Pd76,SL,N/A,morning,Brood
1107-16330,09-08-1994,Pd76,SL,N/A,morning,Brood
1107-16330,12-08-1994,Pd66,"SL,LH",N/A,morning/afternoon,Brood
1107-16330,13-08-1994,Pd 71,LH,N/A,afternoon,Brood
1107-16330,14-08-1994,Pd 71,LH,N/A,afternoon,Brood
1107-16330,15-08-1994,Pd 71,SL,N/A,@1502,Brood
1107-16330,16-08-1994,S Pd 71,LH,N/A,@1400,Brood
1107-16330,18-08-1994,Pd 71,SL,N/A,@1417,Brood
1107-16330,19-08-1994,Pd 75,SL,N/A,@1602,Brood
1107-16330,20-08-1994,Pd 71,SL,N/A,@1515,Brood
1107-16330,21-08-1994,Pd 71,SL,N/A,@1430,Brood
1107-16330,23-08-1994,not sure if theeir hers she flushed earlier,SL,N/A,@1232,Brood
1107-16330,24-08-1994,Pd71,SL,N/A,evening,Brood
1107-16330,29-08-1994,Morning barely heard E of Pd66 afternoon AWOL,SL,N/A,N/A,Brood
1107-16330,30-08-1994,AWOL,SL,N/A,N/A,Brood
1107-16330,31-08-1994,Schomars Pd N of duckpen,SL,N/A,@1532,Brood
1107-16330,01-09-1994,Schomars Pd N of duckpen,SL,N/A,@1120,Brood
1107-16330,02-09-1994,AWOL,SL,N/A,N/A,Brood
1107-16331,25-04-1995,NE side Pd20,SWL,Pr,N/A,Resightings
1107-16331,26-06-1995,NE N241,JC/VL,N/A,@1210,Resightings
1107-16331,03-08-1995,SW of Skomars Pd,SWL,N/A,Same LOC as lastyear,Resightings
1107-16331,15-05-1996,SE of Pd5056,SWL,Pair,@1644,Resightings
1107-16331,10-06-1996,N011,SWL,5 duckling hatched,N of trail between tres horas #2-3,Resightings
1107-16331,08-07-1996,Pd4857,RGC/JM,W4IIb,N/A,Resightings
1107-16331,31-05-1997,S of Pd 17 N#011,"PCG, JS, MG, RT",N/A,@1020,Resightings
1107-16331,04-06-1997,S of Pd 17 N#011,"PCG, JS, MG, RT",10 starred,N/A,Resightings
1107-16331,09-07-1994,NW of Pd20W ,SL,N/A,@1812,Brood
1107-16331,10-07-1994,NW of Pd20W ,SL,N/A,@0870-1201,Brood
1107-16331,10-07-1994,North of La Breques,"UL, MD",N/A,@1515,Brood
1107-16331,13-07-1994,North of La Breques,"TD, MD",N/A,@2147,Brood
1107-16331,14-07-1994,North of La Breques,"MC, VH",N/A,@1424,Brood
1107-16331,15-07-1994,Northeast of La Braques,UL,N/A,@1712,Brood
1107-16331,16-07-1994,North of La Breques,MD,N/A,@0900,Brood
1107-16331,18-07-1994,Northeast of La Braques,MD,N/A,@0815,Brood
1107-16331,19-07-1994,Northeast of La Braques,SL,N/A,@1059,Brood
1107-16331,21-07-1994,Northeast of La Braques,VL,N/A,@1545-1700,Brood
1107-16331,22-07-1994,Northeast of La Braques,STR,N/A,@1455,Brood
1107-16331,23-07-1994,Northeast of La Braques,JF,N/A,@1607,Brood
1107-16331,24-07-1994,Northeast of La Braques,"JF, VL",N/A,@1243,Brood
1107-16331,25-07-1994,Northeast of La Braques,SL,N/A,N/A,Brood
1107-16331,26-07-1994,Northeast of La Braques,SL,N/A,@1301,Brood
1107-16331,29-07-1994,Northeast of La Braques,SL,N/A,@1720,Brood
1107-16331,31-07-1944,Northeast of La Braques,"MC, LH",6 Ducklings 1C-2A @1730,@1530,Brood
1107-16331,01-08-1994,Northeast of La Braques,"MC, LH",N/A,@1148,Brood
1107-16331,06-08-1994,North of La Breques,N/A,N/A,@0930,Brood
1107-16331,07-08-1994,North of La Breques,N/A,No sightily,@1830,Brood
1107-16331,08-08-1994,North of La Breques,SL,N/A,@1052,Brood
1107-16331,31-07-1994,"Northeast of La Braques, lentil field in wetland on muskrat house",LH,6 - IC's - IIA's,@1730,Brood
1107-16331,08-08-1994,"Northeast of La Braques, lentil field in wetland on muskrat house",SL,N/A,@1052,Brood
1107-16331,09-08-1994,"Northeast of La Braques, lentil field in wetland on muskrat house",SL,N/A,@1333,Brood
1107-16331,09-08-1994,N,SL,"Saw mall hen on muskrat house, no sighting",@1530-1610,Brood
1107-16331,13-08-1994,Centre of 1/4 sec south of Bousierre's Farms ,SL,N/A,Afternoon,Brood
1107-16331,14-08-1994,"Centre of 1/4 sec south of Bousierre's Farms, 1/2 mile futher South of Bousierre's Farm",SL,N/A,@1300-1500,Brood
1107-16331,15-08-1994,N/A,SL,Awol,Afternoon,Brood
1107-16331,16-08-1994,N/A,SL,Awol,Afternoon,Brood
1107-16331,18-09-1994,1/2 miles West on North border study area ,SL,N/A,@1503,Brood
1107-16331,20-08-1994,1/2 miles West on North border study area ,SL,N/A,@1640,Brood
1107-16331,23-08-1994,1/2 miles West on North border study area ,SL,N/A,@1736,Brood
1107-16331,25-08-1994,1/2 miles West on North border study area ,SL,N/A,Evening,Brood
1107-16331,29-08-1994,1/2 miles West on North border study area ,SL,N/A,@1548,Brood
1107-16331,01-09-1994,1/2 miles West on North border study area ,SL,N/A,@1429,Brood
1107-16331,13-09-1994,1/2 miles West on North border study area ,SL,N/A,Afternoon,Brood
1107-16331,14-09-1994,1/2 miles West on North border study area ,SL,N/A,Afternoon,Brood
1107-16332,N/A,N/A,N/A,N/A,*See attached brood observation form ,Resightings
1107-16333,09-07-1994,Southeast of Pd92,SL,N/A,@1851,Resightings
1107-16334,10-07-1994,Southeast of Pd93,SL,N/A,@1210,Resightings
1107-16335,14-07-1994,90 meters of road; 150 meters East of skunkper,"MG, VL",N/A,@1514,Resightings
1107-16336,15-07-1994,1/2 miles East of skunkper,MD,dead,@1613,Resightings
1107-16333,N/A,N/A,N/A,N/A,See the attached brood observation form,Resightings
1107-16333,15-07-1994,Nest Southeast Arthur's,N/A,N/A,@1750,Brood
1107-16333,17-07-1994,No sighting,JF,N/A,@1420-1450 (S 5338),Brood
1107-16333,18-07-1995,South of 5338,JF,N/A,@0833,Brood
1107-16333,19-07-1994,South of 5338,SL,N/A,@0915 (Then signal went dead),Brood
1107-16333,21-07-1994,South of 5338,JF,N/A,@1545 (Cam Jackson),Brood
1107-16333,22-07-1994,South of 5338,"STR, VL",N/A,@1620,Brood
1107-16333,24-07-1994,South Pd South of 5338,"JF, VL",N/A,@1740,Brood
1107-16333,25-07-1994,South of Pd 5338 Norhwest Siae,SL,N/A,@1200,Brood
1107-16333,26-07-1994,South of Pd 5338 Norhwest Siae,SL,N/A,@1750,Brood
1107-16333,29-07-1994,South of 5338 Northwest Tip,SL,N/A,@1715,Brood
1107-16333,31-07-1994,Southeast of Arthur's house,"MC, LH",N/A,@1530,Brood
1107-16333,01-08-1994,Pd South of 5538,"MC, LH",N/A,@1150,Brood
1107-16333,02-08-1994,Pd South of 5538,LH,N/A,@0845 (Visual acting Broody),Brood
1107-16333,03-18-1994,Pd South of 5538,SL,N/A,@1106,Brood
1107-16333,04-08-1994,Pd South of 5538,SL,N/A,@1805,Brood
1107-16333,06-08-1994,N/A,"JF, MD",N/A,N/A (Awel),Brood
1107-16333,07-08-1994,N/A,"JF, MD",N/A,@1109,Brood
1107-16333,07-08-1994,Pd South of 5538,JF,N/A,@1230-1430 (No visual),Brood
1107-16333,08-08-1994,Southwest end South of 5338,SL,N/A,@1051,Brood
1107-16333,09-08-1994,Northwest end South of 5338,SL,N/A,@1149,Brood
1107-16333,12-08-1994,Southwest end of 5338,LH,N/A,@1140 (Visual acting brood),Brood
1107-16333,13-08-1994,Southwest end of 5338,SL,N/A,Morning afternoon,Brood
1107-16333,14-08-1994,Southwest end of 5338,LH,N/A,@1350,Brood
1107-16333,15-08-1994,Southwest end of 5338,SL,N/A,@1452,Brood
1107-16333,16-08-1994,Southwest end of 5338,LH,N/A,@1305,Brood
1107-16333,18-08-1994,Southwest end of 5338,SL,N/A,@1352,Brood
1107-16333,21-07-1994,South of 5338,"JF, CJ",N/A,@1545,Brood
1107-16333,20-08-1994,South of 5338,SL,N/A,@1534,Brood
1107-16333,21-08-1994,South of 5338,SL,N/A,@1426,Brood
1107-16333,23-08-1994,South of 5338,SL,N/A,Afternoon (Baittrap 3IIB's - IIC's),Brood
1107-16333,25-08-1994,Southeast of South of 5338,SL,N/A,Afternoon,Brood
1107-16333,29-08-1994,Awol,SL,N/A,N/A,Brood
1107-16333,31-08-1994,Awol,SL,N/A,N/A,Brood
1107-16333,01-09-1994,Awol,SL,N/A,N/A,Brood
1107-16333,02-09-1994,Awol,SL,N/A,N/A,Brood
1107-16334,N/A,N/A,N/A,N/A,N/A,Resightings
1107-16334,14-07-1994,Pd West of Bousierres,"MC, VL",N/A,@1435,Brood
1107-16334,14-07-1994,Pd West of Bousierres,"MC, VL",N/A,N/A,Brood
1107-16334,22-07-1994,3 to 4 miles southeast of awa on huge wetland (See map in the clipboard),"UL, SR",N/A,@1345,Brood
1107-16334,25-07-1994,Awol,SL,N/A,N/A,Brood
1107-16334,26-07-1994,Awol,SL,N/A,N/A,Brood
1107-16334,31-07-1994,Awol,"MC, LH",N/A,N/A,Brood
1107-16334,01-08-1994,Awol,"MC, LH",N/A,N/A,Brood
1107-16334,07-08-1994,Awol,"JF, MP",N/A,N/A,Brood
1107-16334,09-08-1994,Awol,SL,N/A,N/A,Brood
1107-16336,N/A,N/A,N/A,N/A,N/A,Resightings
1107-16336,22-07-1994,On nest,N/A,N/A,@1625,Brood
1107-16336,24-07-1994,Pd 4439,JF. UL,N/A,@1258,Brood
1107-16336,25-07-1994,South Pd 4439 central South pond,N/A,N/A,@1251,Brood
1107-16336,26-07-1994,South of 4439 East side ,SL,5 or more class Ia's,@1321,Brood
1107-16336,28-07-1994,South of 4439 East side ,SL,5 or more class Ia's,@1050,Brood
1107-16336,29-07-1994,Awol,SL,N/A,N/A,Brood
1107-16336,31-07-1994,Awol,"MC, LH",N/A,N/A,Brood
1107-16336,01-08-1994,N/A,N/A,N/A,@allday,Brood
1107-16336,04-08-1994,Awol,SL,Walked in Southwest quartier South of Area,@1730-1800,Brood
1107-16336,07-08-1994,Awol,"JF, MD",N/A,N/A,Brood
1107-16336,08-08-1994,Awol,SL,N/A,N/A,Brood
1107-16336,09-08-1994,Awol,SL,N/A,N/A,Brood
1107-16336,12-08-1994,Awol,SL,South of Arthu's,Handheld seached,Brood
1107-16338,27-04-1995,Pd 125N,SWL,Paired,@1901,Resightings
1107-16338,04-06-1995,Pd 6753,UL,Paired,@1300,Resightings
1107-16338,23-06-1995,Pd 6753,STR,Alone,@1438 (2 Years),Resightings
1107-16338,08-06-1995,Pd6753,SWL,Paired,@1454,Resightings
1107-16338,19-06-1995,Pd6753,SWL,Paired,@1140,Resightings
1107-16338,23-09-1995,Pd6753,SWL,Alone,@1438,Resightings
1107-16338,26-06-1995,Pd6753,RGC,Alone,@1430,Resightings
1107-16338,06-05-1996,Pd 6753,STR,Paired,@1522,Resightings
1107-16338,15-05-1996,Pd 6753,MG,Paired,N/A,Resightings
1107-16338,18-06-1996,East Pd 133 Nest #239,N/A,Hatched,See Brood observation 96 172.262,Resightings
1107-16338,01-07-1996,Pd50,"JM, STR",Paired,@1036 Last ssen 30-07-1995 Pd 6954 by VL W6IIc,Resightings
1107-16341,09-06-1995,Pd50,STR,Paired,@0848,Resightings
1107-16341,25-06-1995,Pd50,SWL,Paired,@1008,Resightings
1107-16341,26-06-1995,Pd50,VL,Paired,@1635,Resightings
1107-16341,11-06-1996,Nest1168,N/A,N/A,Depredated (See Brood Observtion 96 172.660),Resightings
1107-16341,26-06-1996,South of Pd 5338 First Pd South of power lines in crop,STR,Loc Radiotelemetry,N/A,Resightings
1107-16341,09-06-1999,North 072,"BBB, RDD, CAG",10 Eggs,Lost tags (Replaced tags new combo),Resightings
1107-16342,N/A,N/A,N/A,N/A,N/A,Resightings
1107-16345,27-04-1996,Pd 1 North,REZ,Paired,N/A,Resightings
1107-16346,N/A,N/A,N/A,N/A,N/A,Resightings
1107-16365,15-05-1996,Pd 94,MG,Paired,See other 1995 combo,Resightings
1107-16365,15-05-1996,350 East Pd 5056,SWL,Paired,@1707,Resightings
1107-16365,11-08-1996,?,MG,W 3IIA,N/A,Resightings
1107-16365,18-08-1996,Pd 65,SWL,W 3II6,@1035,Resightings
1107-16365,22-08-1996,Pd 65,VL,W 3II6,@1605,Resightings
1107-16365,25-04-1997,Pd 67,SWL,Paired,@1444,Resightings
1107-16382,10-06-1996,Nest 038,N/A,*trappers,N/A,Resightings
1107-16382,12-06-1996,Pd 20,SWL,W8Ia,@2052,Resightings
1107-16382,01-08-1997,Pd 25,STR,W7IIb,@0750,Resightings
1107-16382,05-08-1997,Pd 4156 Skomar's ,STR,W8IIb,@0930 nor 100% sighting,Resightings
1107-16382,22-08-1997,Pd 26,SWL,W>= 5IIc's,N/A,Resightings
1107-16382,23-04-1998,Pd 35,SWL,Paired,@0832,Resightings
1107-16382,29-04-1998,Pd 25,BB,Paired,Very good sighting,Resightings
1107-16382,06-05-1998,Pd 35,RGC,Paired,@1610 (Very good),Resightings
1107-16382,12-05-1998,Pd 35,RGC,Paired,@0840,Resightings
1107-16382,29-05-1998,N/A,JJK,N/A,Bird flushed from her nest 021 to Pd 25,Resightings
1107-16382,05-06-1998,Nest 021,"JCS, BBB",Depredaded,N/A,Resightings
1107-16388,20-05-1995,Nest 54,"JC, SWL",10 eggs ,12-14 days incubation @1354,Resightings
1107-16388,12-08-1995,Pd Southwest Labreque's,STR,2IIA's,@1500,Resightings
1107-16388,29-06-1995,Nest 251,SWL,N/A,Found by telemetry,Resightings
1107-16389,21-07-1995,Pd79W,RW,6III,Full count,Resightings
1107-16389,23-04-1996,Pd1W,RGC,Paired,N/A,Resightings
1107-16389,15-05-1996,East of 5056,SWL,Paired,@1655,Resightings
1107-16389,18-05-1996,Pd1W,STR,Alone,@1445 (While we were beating island),Resightings
