band_num,date_resighted,location,observer,status,comments,Other notes: there are sometimes handwritten notes such as the one in this binder before page 49
1237-28528,1983-05-13,p62,JMS,wtih mate,NA,
1237-28528,1983-05-31,SE lobe of #66,JMS,NA,"""nesting...8 egg clutch...successful hatch nest #18"", does not specify if location was pond or nest ",
1237-28528,1983-05-31,?,ROB,NA,there was a literal question mark ,
1237-28538,1982-06-01,p1,NA,with mate,NA,
1237-28538,1982-06-08,p1,NA,with mate ,NA,
1237-28538,1982-06-15,p1,NA,with mate,NA,
1237-28538,1982-06-16,p1,NA,with mate ,NA,
1237-28538,1982-06-18,p90,NA,with mate ,NA,
1237-28538,1982-06-25,p1,NA,with mate ,NA,
1237-28538,1982-06-29,p1,NA,with mate ,NA,
1237-28538,1982-06-30,"p1,p125",NA,with mate ,NA,
1237-28538,1983-05-16,p1,NA,with mate ,NA,
1237-28538,1983-07-07,old foundation near house,NA,NA,"""nest trapped... 8 egg clutch...successful hatch nest #88...this bird is an adult""",
1237-28554,1983-05-12,p1,ROB,with mate ,NA,
1237-28581,NA,NA,NA,NA,there were no data entries on this page ,
1357-20101,1984-05-05,p1,JEG,with mate ,"""male has no band on left leg""",
1357-20101,1984-05-06,p1,MRM,with mate,"""male has no band on left leg""",
1357-20101,1984-05-21,p1,JTJ,with male,NA,
1357-20101,1985-05-28,n17 (hatched),"JMS,TGJ,JEG",NA,"""Incubating caught with nest trap. This bird was originally banded and nasal tagged on 7 June 1982. When caught on 28 May 1985 her original nasal tag was gone. She was tagged with a new combination (red square-black square)",
1357-20110,NA,NA,NA,NA,there were no data entries on this page ,
1357-20116,1982-06-15,p1,NA,with mate ,NA,
1357-20116,1982-06-25,p25,NA,?,there was a literal question mark ,
1357-20116,1983-05-30,p65,EJW,with mate,NA,
1357-20116,1984-04-30,p50,MRM,with mate ,"""yellow disc-yellow disc chased by male that is paired with red tri-yellow - yellow tri...yellow disc-yellow disc pair flew around slough, landed in middle, swam back to NE corner...an unmarked pair chased yellow disc-yellow disc when in pond middle""",
1357-20116,1984-05-06,p50,MRM,with mate ,"""flushed from stubble E of #50""",
1357-20116,"1984-05-10, 0915-0920",flushed from nature prairie N of #65 and flew into #65,JEG,with male,"""landed in #65, female swam into shore veg, male stayed in open water just in front of her. Female stayed in veg for 3 min then joined male. Male approached lone female orange tri-yellow tri- she flushed and male followed her over prairie then circled back and joined his female""",
1357-20116,"1984-05-10, 0913,0950",p66,JMS,with male,"there were random numbers placed in the date section, I think this is time",
1357-20116,1984-05-14,#50,"JMS,JTJ",NA,I assume they mean pond 50,
1357-20116,1984-05-16,#50,"JEG,JTJ",with male,NA,
1357-20116,1984-05-25,#50,"JEG,JTJ",with male,NA,
1357-20116,1984-05-27,#50,JEG,with male,NA,
1357-20116,1984-07-05,#50,"JEG,JMS",with marked female mal (white tri-blue tri),NA,
1357-20116,1984-07-12,#50,JTJ,alone,NA,
1357-20116,1984-07-17,#50,"JTJ,JMS",alone,NA,
1357-20116,1985-04-22,3rd pond S of xroads,JMS,with male ,I assume they mean cross-roads,
1357-20117,1982-06-22,p50,NA,with mate ,NA,
1357-20117,1983-04-22,pond S of xroads,EJW,with mate ,NA,
1357-20117,1983-04-28,pond S of xroads,NA,with mate ,NA,
1357-20117,1983-05-12,pond S of xroads,NA,with mate ,NA,
1357-20117,1983-05-15,pond S of xroads,ROB,with mate ,NA,
1357-20117,1983-05-16,pond S of xroads,JMS,with mate,NA,
1357-20118,1982-06-15,p90,NA,with mate ,NA,
1357-20118,1982-06-16,p90,NA,with mate ,NA,
1357-20118,1983-04-29,p2,EJW,?,there was a literal question mark ,
1357-20118,1983-05-04,#2,EJW,?,"there was a literal question mark, I would assume they mean p2",
1357-20118,1983-05-12,pond S of xroads,JEG,with mate ,"""FOUND DEAD 2 June 1983 S.E. corner of island on pond #1""",
1357-20122,1982-06-15,p1,NA,with mate ,NA,
1357-20122,1982-06-18,p1,NA,with mate ,NA,
1357-20122,1983-08-17,p125,EJW,with 3 yng (IIe or III),NA,
1357-20122,1984-07-24,p65,"MRM,JEG,JMS,JTJ",NA,"""? uncertain-brood patch uncertain-bird caught in drive trap- original tags missing-new tag combination put on: yellow tri-white disc""",
1357-20122,1984-07-26,p1,JEG,with 2 yng (Ie),NA,
1357-20122,1984-08-01,p125,JEG,with 4 yng (Ie or IIa),NA,
1357-20122,1984-08-02,p125,JEG,with 4 yng ,NA,
1357-20122,1984-08-08,p125,"MRM,JEG,JTJ",with 4 yng (Ie),"""3 yng caught by dogs and released unmarked""",
1357-20122,1984-08-14,p125,MRM,with 4 yng (Ie),NA,
