band_num,date_resighted,location,observer,status,comments,Other notes: there are sometimes handwritten notes such as the one in this binder before page 49
1337-44763,1984-08-08,p125,MRM,"with 3 males and 3 females (all marked) (blue y-white y, white y- white y, blue y-blue y) banded pd#6753 banded pd#1 banded on pd#6753",NA,
1337-44763,1984-08-09,p125,JEG,"with 9 other yng (3 marked) (blue tri-orange disc, blue y- white y, blue y-blue y) ",NA,
1337-44763,1984-08-14,p125,MRM,NA,NA,
1337-44763,1984-08-16,p125,JEG,NA,NA,
1337-44763,1984-08-30,p125 - flew to p1,JEG,with 6 other yng (non marked),NA,
1337-44763,1984-09-06,p125,MRM,(with 4 other yng? (2 males and 2 female- 1 male w/ leg band)),NA,
1337-44763,1986-06-06,"midpoint of North fence, East block","JBI, RGC",DEAD,caught in fence and scavanged. nasal tags intact,
1337-44765,1984-08-08,p125,MRM,"with three males and 3 females (all marked) (blue y-white y, white y- blue y, blue y-blue y) banded on pd#6753 banded on pd #6753 banded on pd #6753","When they list the markings, I think that the ponds they were banded on are presented respectively ",
1337-44765,1984-08-16,p125,JEG,NA,NA,
1337-44765,1984-08-28,p26,"JMS,JTJ",NA,NA,
1337-44765,1985-09-11,pond #3670,RGC,with 2 females mallard (NT) and 2 male mallards (no pairs),,
1337-44770,NA,NA,NA,NA,there are no data entries on this page ,
1337-44771,1984-07-26,p1,JEG,feeding with unmarked mallard ,NA,
1337-44771,1984-08-14,p1,"MRM,JTJ,JEG",caught by dog - DIED probably from injuries (munched by dog),NA,
1337-44771,1984-08-01,p1,JEG,alone,NA,
1337-44771,1984-08-30,pond #4857,JEG,feeding with 1 unbanded ad. male mallard ,NA,
1337-44773,1984-08-02,p65,"JMS,JTJ,MRM",NA,NA,
1337-44773,1984-08-14,p50,MRM,NA,NA,
1337-44773,1984-08-28,p26,"JMS,JTJ",NA,NA,
1337-44773,1984-08-30,p25,JEG,feeding wth 3 other mallards (one with a leg band),NA,
1337-44773,1984-09-06,p26,MRM,(with unmarked female yng)(bill dark like adult),NA,
1337-44773,1985-05-06,S of 79 (across road),JEG,feeding with male ,NA,
1337-44773,1985-05-16,p66,JMS,with male,NA,
1337-44773,1985-05-23,p65,JMS,with male (banded on right leg),NA,
1337-44773,1985-05-27,p66,JEG,with male ,NA,
1337-44773,1985-05-30,p66,JMS,with male ,NA,
1357-20122,NA,NA,NA,NA,"""This bird was originally banded and nasal tagged on 11 June 1982. Pond #65 was drive trapped on 24 July 1984 and this bird was caught but her original nasal tag (yellow sq-white sq) was gone. She was tagged with a new combination (yellow tri- white disc). REFER TO PAGE 20 FOR ALL OBSERVATIONS"", refer to row 129 in this spreadsheet",
1337-44774,NA,NA,NA,NA,there are no data entries on this page ,
1337-44777,NA,NA,NA,NA,there are no data entries on this page ,
1337-44786,1984-08-14,p65,"MRM,JTJ,JEG",NA,"""caught by dog and released""",
1337-44787,NA,NA,NA,NA,there are no data entries on this page ,
1337-44790,NA,NA,NA,NA,"""From same brood as: blue tri-orange disc (L. female) 1337-44792 (L. male)",
1337-44791,NA,NA,NA,NA,"""From same brood as: orange tri- white disc (L. female) 1337-44792 (L. male)",
1337-44791,1984-08-09,p125,JEG,"feeding with 9 other young (3 marked) (blue y-white y, white y-blue y, blue y-blue y)",NA,
1337-44796,1984-09-06,p25,MRM,alone,NA,
1337-44775,1984-08-14,p25,"MRM,JTJ,JEG",NA,caught by dog- nasal tagged ,
1337-44775,1987-05-26,on road South of NWA to (main grid) St Denis +/- 200m,RGC,paired ,NA,
1337-44800,1984-08-23,p1,JTJ,NA,"""RELEASED ON POND #1""",
1337-44805,1984-08-23,p1,JTJ,with 1 yng (IIa),"""RELEASED ON POND #1""",
1337-44807,NA,NA,NA,NA,there are no data entries on this page ,
1337-44818,1986-04-22,p25,RGC,paired ,NA,
1337-44818,1986-04-30,p27,RGC,w/ mate,NA,
1337-44818,1986-05-29,n52,RGC,nesting 9 eggs ,NA,
1337-44818,1986-06-12,n52,RGC,"8 eggs hatched, 5 young web-tagged",NA,
1357-20133,NA,NA,NA,NA,"""This bird was originally banded and tagged on 15 June 1982. See page 26. When trapped on 21 May 1985 her original nasal tag (orange sq-white sq) was gone. She was tagged with a new combination (yellow sq-red sq). Not seen in 83 or 84"", refer to row 141 in this speadsheet ",
1357-20133,1985-07-11,p90,"TGJ,AMT",alone,"""acting broody""",
1357-20133,1986-05-14,n4,RGC,Nesting,"""trapped on nest near pipping (13 eggs)""",
1357-20133,1986-05-24,n4,RGC,female not present. Successful hatch of 11 eggs. 1 egg did not pip and 1 egg was lost,NA,
1357-20101,NA,NA,NA,NA,"""This bird was originally banded and tagged on 7 June 1982. When trapped on 28 May 1985 her original nasal tag (yellow disc-black disc) was missing. She was tagged with a new combination (red sq-black sq)"", ""REFER TO PAGE 16 FOR ALL OBSERVATIONS"", refer to row 98 of this spreadsheet",
1337-44555,1986-05-13,Temp pond =50 m E of main grid about 200 m S of SW corner of East block,GWB,w/mate,NA,
1337-44566,1986-04-11,p6751,RGC,paired ,w/mate,
1337-44566,1986--04-17,p6751,RGC,paired ,w/mate,
1337-44567,NA,NA,NA,NA,there are no data entries on this page ,
1337-44568,1986-05-29,p15 dugout (not far from 85 nest site),RGC,w/8 class I ducklings (100% ID),NEST NOT FOUND IN 1986,
1337-44568,1987-04-28,p67,GWB, paired ,NA,
1337-44568,1987-07-03,n93,RGC,trapped on nest ,successful- 9 ducklings web tagged,
1337-44569,NA,NA,NA,NA,"""SHOT, OCT 14/85, AT CONSORT AREA, ALBERTA""",
1337-44570,1985-08-07,p66,"TGJ, JBI",NA,NA,
1337-44570,1985-08-08,p66,"TGJ, JBI",NA,NA,
1337-44570,1985-08-15,p66,"TGJ, JBI",NA,NA,
1337-44570,1986-06-25,n86,"TGJ, AMT",NA,"""NEST TRAPPED- GIVEN NEW TAG COMBINATION AS ABOVE- NEST WAS SUCCESSFULLY HATCHED, SAVE 2EGGS OUT OF 9"", ""NEW COMBINATION IS BLUE TRI-BLUE TRI""",
1337-44571,1985-07-08,p65,"EHD,AMT",alone,"""-on land"", ""shot 5 miles East of Clarksdale Miss. 8 Jan '86""",
1337-44572,NA,NA,NA,NA,there are no data entries on this page ,
1337-44573,1985-07-11,p120,"TGJ,AMT",witht 3 young,"""(about 17 days old)""",
1337-44573,1986-04-09,p125,"RGC, GWB",paired ,":w/ another pair (NT) standing on ice"", I think NT means not tagged",
1337-44573,1986-05-07,pond 4857,RGC,w/ 2 males,NA,
1337-44573,1986-05-13,p6,GWB,with male ,NA,
1337-44573,1987-04-22,p66,GWB,paired ,NA,
1337-44573,1987-04-22,p66,GWB,paired ,NA,
1337-44573,1987-05-27,p70,RGC,paired ,NA,
1337-44573,1987-05-28,p70,"GWB,AMW",paired ,NA,
1337-44573,1987-06-10,p71,RGC ,alone,feeding at S side of 71,
1337-44573,1987-09-03,p25,RGC ,Excellent observability with 2 class IIa or b ducklings,NA,
1337-44573,1987-09-30,p25,RGC ,NA,"""Alone""",
1337-44573,1987-10-14,p25,RGC ,paired ,NA,
1337-44573,1988-07-20,p25,NA,NA,"""recap in drive trap renasal tagged white circle-blue y (975g, 278mm)",
1337-44573,1988-07-21,p25,census,NA,"""w/10IIb""",
1337-44573,1988-07-28,p25,KDW,NA,"""w/5II""",
1337-44573,1988-08-04,p25,KDW,NA,"""w/5IIb""",
1337-44573,1988-08-11,p25,BP,NA,"""w/4IIc""",
1337-44573,1989-04-26,p25,RGC ,paired ,NA,
1337-44573,1989-04-27,p25,RGC ,paired ,NA,
1337-44573,1989-05-03,p25,KDW,paired ,NA,
1337-44573,1989-05-04,p25,KDW,paired ,NA,
1337-44573,1989-05-05,p25,RGC ,paired ,NA,
1337-44573,1989-05-07,p25,RGC ,paired ,NA,
1337-44574,NA,NA,NA,NA,there are no data entries on this page ,
1337-44575,1985-08-15,p97,"RGC,AMT",NA,"""can fly""",
1337-44575,1985-08-29,pond #5335,RGC,NA,"""with large flock of mallard /pintail (about 200 birds)""",
1337-44575,1986-04-11,p94,RGC,paired ,NA,
1337-44575,1986-04-17,p97,RGC,w/ mate ,NA,
1337-44575,1986-04-18,p97,RGC,w/ mate,NA,
1337-44575,1986-04-19,p97,RGC,w/ mate ,NA,
1337-44580,NA,NA,NA,NA,there are no data entries on this page ,
1337-44581,NA,NA,NA,NA,"""SHOT JAN 3/'86 AT REX HANCOCK W.M.A, ARKANSAS""",
1337-44582,NA,NA,NA,NA,there are no data entries on this page ,
1337-44584,NA,NA,NA,NA,there are no data entries on this page ,
1337-44951 +CB,1986-08-01,pond 1 E,JBI,NA,NA,
1337-44951 +CB,1987-07-09,p67,RGC,alone,"""acting brood and presistent quacking""",
1337-44951 +CB,1987-07-11,15:45 p67,RGC,alone,"""as above""",
1337-44951 +CB,1987-07-11,18:00 p67,MLG,female brought to Mark by lab (dog). Released in good condition female was roughly in shrub on West slope of pond 67,this status and comment overlap,
1337-44951 +CB,1987-07-20,p67,GWB,female w/ 2 Ic +/- ducklings,,
1337-44953+CB,NA,NA,NA,NA,there are no data entries on this page ,
1337-44956 +CB,1986-06-03,n12,RGC,"Nest hatched, web tagged 8 ducklings. This female was web tagged (A0207) at nest #32 on 4 June 1985",comments and status overlap on page ,
1337-44956 +CB,1987-04-16,1 W,RGC,paired ,"""has been seen (presumably the same female) several times (54) on pond 125N"" , not sure about the writing of the ""54""",
1337-44956 +CB,1987-04-20,125N,RGC,paired ,"""has been seen (presumably the same female) several times (54) on pond 125N"" ",
1337-44956 +CB,1987-04-23,South of 60 at gate to West block (pond at gate),RGC,paired ,NA,
1337-44957+CB,1986-06-03,n67,"RGC,JBI",pipping,"""hatched when visited by RGC/JBI on 4 June""",
1337-44975+CB,NA,NA,NA,NA,there are no data entries on this page ,
1337-44980 + yellow band ,1987-07-01,Nest #101 (abandoned),RGC,nesting,"""Nesting South of bluff 129 on hill top in hayfield. Clutch size was 7 when found and is now 3. Hatch date of 3 July +/-. Weight 860;wing chord 278mm, yellow band too tight and was removed",
1337-44980 + yellow band ,1988-04-30,p97,RGC,female and banded male (1337-        ) captured in same cell of a decoy trap on pd 97. female mass 1130g/ wing278mm and pre-laying status male mass 1080 and possible ASY male,NA,
1337-44993+yellow CB,1987-05-16,n4,"MLG,RGC",nesting,"""accidentally killed by halothane overdose"" ""DEAD"", the drug name was hard to read",
1337-44995+CB,1987-04-22,p84,GCG,paired ,NA,
1337-44996+CB,1986-06-21,n66,RGC,continuing pipping,"""nest hatched when checked by GWB on 23 June/86""",
1337-44996+CB,1988-05-12,pd 1255,RGC via MLG,paired ,NA,
1337-44996+CB,1988-05-12,pd 1255,MG,paired ,NA,
1337-44996+CB,1988-05-16,p20,RGC via MLG,NA,"""come as a pair to feed""",
1337-44996+CB,1988-05-16,p20,MLG,paired ,NA,
1337-44996+CB,1988-05-26,pd 1255,MLG,NA,NA,
1337-44996+CB,1988-06-02,pd 1255,MLG,paired ,"MLG sometimes just written as ""MG""",
1337-44999,1986-06-25,n124,"GCG,AMT,JBI",pipping,"""hatched when visited by GWB and AMT on 26 June""",
1337-45000+CB,NA,NA,NA,NA,there are no data entries on this page ,
1447-40101,1986-07-12,n146,RGC,pipping,"""nest hatched when visited by RGC on 14 July""",
1447-40101,1988-06-04,p25,NA,NA,NA,
1447-40101,1988-06-20,n49,NA,NA,"""nest trap (spring)""",
1447-40101,1988-06-30,n49,NA,NA,"""nest abandoned""",
1447-40103+CB,1986-10-01,p25,GCG,NA,NA,
1447-40103+CB,1987-04-23,p67,"RGC,GWB",likely paired ,"""male caught in decoy trap- (banded and colour banded) female stayed near trap and gave persistent quacking- could be her mate""",
1447-40103+CB,1987-06-10,p67,"RGC,GWB",paired (w/male),NA,
1447-40104+CB,1986-07-18,n158,RGC,hatched ,"""web tagged 5 (of 7) ducklings""",
1447-40107+CB,1987-05-08,125n,GWB,paired,NA,
1447-40107+CB,1987-05-12,125n,RGC,paired,NA,
1447-40107+CB,1987-05-14,125n,RGC,paired,NA,
1447-40107+CB,1987-05-16,field west of 125n,RGC,w/male,"""feeding in seeded spring wheat field male is banded right, but no colour band""",
1447-40107+CB,1988-04-18,pond 125n,RGC,paired,NA,
1447-40107+CB,1988-04-22,pond ,GCG,w/male,does not include pond number ,
1447-40107+CB,1988-04-23,pond 1 W,RGC,w/male,"""male not banded""",
1447-40107+CB,1988-04-25,pd 125n,RGC,paired,NA,
1447-40107+CB,1988-04-27,pd 125n,RGC,paired,"""yellow CB""",
1447-40107+CB,1988-04-28,pd 125n,RGC,paired,"""yellow CB""",
1447-40107+CB,1988-05-05,p125N,GWB,paired,NA,
1447-40107+CB,1988-05-17,p125N,MLG,paired,NA,
1447-40107+CB,1988-05-25,p125N,RGC,paired,NA,
1447-40107+CB,1988-05-30,p125N,NA,NA,NA,
1447-40107+CB,1988-06-13,p125N,RGC,NA,NA,
1447-40107+CB,1988-06-14,p125N,MLG,alone,NA,
1447-40108,NA,NA,NA,NA,there are no data entries on this page ,
1447-40110,1986-06-03,n12,RGC,NA,"""web tagged in nest (A937)""",
1447-40110,1986-08-17,pond 1,RGC,NA,"""Nasal tagged (wt=980g) caught in bait trap""",
1447-40129 + red band left,1987-04-15,pond 1 E,RGC,paired,"""(no red CB seen)""",
1447-40129 + red band left,1987-06-23,pond 1 W,MLG,alone-feeding,NA,
1447-40129 + red band left,1988-04-27,p70,RGC,paired,"""no CB""",
1447-40129 + red band left,1988-04-28,p70,RGC,paired,"""no CB""",
1447-40129 + red band left,1988-04-30,pond 1 W,RGC,paired,NA,
1447-40129 + red band left,1988-05-03,pond 1,GWB,paired,NA,
1447-40129 + red band left,1988-05-23,pd 1 (S end),NA,NA,NA,
1447-40129 + red band left,1988-06-25,pd 1,"RGC,MLG",nesting,"""at nest SW island""",
1447-40129 + red band left,1988-06-29,n85,"GCG,GWB",NA,"""hatched""",
1447-40129 + red band left,1989-04-28,pd 1,RGC,paired,NA,
1447-40129 + red band left,1989-05-01,pd 1,"RGC, KDW",paired,NA,
1447-40131 + red band left,NA,NA,NA,NA,there are no data entries on this page ,
1447-40145,1987-07-07,p67,RGC,with male ,NA,
1447-40148,1987-04-28,p50,RGC ,paired,NA,
1447-40148,1987-05-07,p50,RGC ,paired,NA,
1447-40148,1987-06-16,n72 (successful),RGC,captured at nest NE of pond 50 with 7 eggs. Weight 850g;wing 272mm,NA,
1447-40148,1987-06-17,n72,RGC,nest hatched,"""7 ducklings tagged: CWS 2344 to CWS 2349 inclusive and CWS 2351""",
1447-40148,1987-06-23,p50,AMW,w/ 6 Ia's,NA,
1447-40148,1987-06-30,p50,AMW,w/ 5 III,NA,
1447-40164+red CB,NA,NA,NA,NA,there are no data entries on this page ,
1447-40160+red CB,1987-07-09,n112,"RGC, MLG",renesting,"""Captured at renest. 9 eggs (wt:88g; wing 284mm)"", ""Eggs destroyed when near pipping. Female was unsuccessful twice in 1987""",
1447--40183+red CB,1989-04-27,pd. 6753,RGC,paired,NA,
1447--40184+red CB,1987-05-29,p67 (NE),RGC,paired,NA,
1447--40191+red CB,NA,NA,NA,NA,there are no data entries on this page ,
1447--40192+red CB,1988-06-04,pd 125 N,NA,NA,,
1447--40192+red CB,1988-06-07,pd 125 N,NA,NA,,
1447--40192+red CB,1988-06-09,pd 125 N,NA,NA,,
1447--40192+red CB,1988-06-09,pd 125 N,NA,GCG,"""red collar band""",
1447-40180,NA,NA,NA,NA,there are no data entries on this page ,
1447-40201+red band ,NA,NA,NA,NA,there are no data entries on this page ,
1447-40202,1988-04-30,pond 79 SW,RGC,paired ,NA,
1447-40203 +red band ,1987-06-28,NA,RGC,captured,"""nest abandoned following predation of 2 eggs by Franklin's Gound Squirrels. Eggs incubated (7) at PMBRC and ducklings raised""",
1447-40203 +red band ,1988-04-13,p 125 S,RGC,paired,NA,
1447-40203 +red band ,1988-04-15,p 125 S,RGC,w/male,NA,
1447-40203 +red band ,1988-04-18,p 125 S,RGC,w/male,NA,
1447-40203 +red band ,1988-04-25,pd 98,RGC,w/male,red CB,
1447-40204,NA,NA,NA,NA,there are no data entries on this page ,
1447-40205,1988-07-28,pd 65 S,NA,NA,NA,
1447-40205,1988-08-11,pd 65 S,RGC,NA,NA,
1447-40206 +red band ,NA,NA,NA,NA,there are no data entries on this page ,
1447-40207 +red band ,NA,NA,NA,NA,there are no data entries on this page ,
1447-40208 +blue band ,1987-07-13,NA,NA,NA,"""captured with adult female 1447-40209""",
1447-40209 +red band ,1987-07-13,NA,NA,successful hen?,"""captured in bait trap with a female 2B mallard (not nasal tagged)- this adult hen's duckling likely. (see 1447-40208)""",
1447-40212 +blue band ,NA,NA,NA,NA,"""NOTE this bird was from an egg laid in nest #26 (1987) and was incubated artificially at PMBRC. Bird had long exposure to pond I, but has no exposure to a nest site. Released 21/07/87 (pond 1)""",
1447-40218 +blue band ,NA,NA,NA,NA,"""NOTE this bird was from an egg laid in nest #26 (1987) and incubated artificially at PMBRC. It hd a long exposure to pond I, but no exposure to a nest site, released 21 July 1987, pond I. CWS band left, blue colour band right.""",
1447-40218 +blue band ,1988-04-23,pond 1 (SW),RGC,paired,NA,
1447-40218 +blue band ,1988-04-28,pond 25 N,RGC,w/male,NA,
1447-40218 +blue band ,1988-04-29,pd 79E,NA,NA,"""decoy trap""",
1447-40218 +blue band ,1988-04-30,pd 67,RGC,paired ,NA,
1447-40218 +blue band ,1988-06-23,on nest ,KDW,NA,"does not specify nest number, however nest 26 is circled on the map",
1447-40219,NA,NA,NA,NA,"""NOTE this bird was from an egg laid in nest #4 (1987) and artificially incubated at PMBRC. It has long exposure to pond 1, but no exposure to a nest site. Released 21/07/87, pond 1""",
1447-40241,1988-05-05,p70,RGC,paired ,"""male banded + white C1B, female band on right""",
1447-40120,NA,NA,NA,NA,"""Hen was banded originally as a HY female in 1986 on pond 1. Recaptured 22 April/88 and green nasal tags""",
1447-40120,1988-05-11,pd67,RGC via MLG,paired,NA,
1447-40120,1988-05-11,pd67,MLG,paired,NA,
1447-40120,1988-05-25,pd67,MLG,paired,NA,
1447-40120,1988-06-19,pd50,NA,NA,NA,
1447-40120,1989-05-25,pd20,RGC,paired,"""white CB""",
1447-40120,1991-06-07,n24,BRW,on nest,"""captured- 5 yr old""",
1447-40120,1992-05-08,WEST 8 (hatch),RDD,on nest,NA,
1447-40120,1993-04-22,pd19,RGC,paired,NA,
1447-40120,1994-07-21,E of pd 66,VL/LH/SR/JF,on nest,"""Note: new nasal markers are Br. O/Br.y"", I think they mean brown circle-brown y",
1447-40120,1995-04-20,pd67,RGC,paired,NA,
1447-40120,1995-04-21,pd67,SWL,PR,"""@1847""",
1447-40120,1995-04-23,pd67,SWL,PR,"""@1630""",
1447-40120,1995-05-04,pd67,STR,PR,"""@0815""",
1447-40120,1995-05-11,pd67,STR/RW,PR,"""@0920""",
1447-40120,1995-07-07,pd79E,SWL,PR,"""@1255""",
1447-40120,1995-07-12,NE pd66/pd67,STR/SWL,on nest #303,"""@1140 hrs flushed from nest to pd 67 where female was identified""",
1447-40251,1988-05-06,pd50,RGC via MLG,paired,NA,
1447-40251,1988-05-14,pd67,NA,NA,NA,
1447-40251,1990-06-07,pd 4439,RGC,paired ,NA,
1447-40211,1988-04-28,pd25,RGC,decoy trapped,"""nasal tagged, captive-reared in 1987""",
1447-40257,1989-06-01,pd50,RGC,paired,"""leg band on right""",
1447-40257,1989-06-17,pd25,RGC,paired ,NA,
1447-40257,1990-04-16,pd25,RGC,paired ,"""pair and 1 spare, SE side pd25""",
1447-40257,1990-05-05,pd25,RGC,paired ,NA,
1447-40257,1990-05-10,pd25,RGC/ABD,paired ,NA,
1447-40265,NA,NA,NA,NA,"""Hen was web-tagged at nest #12 in 1986""",
1447-40265,1988-05-01,pd65,NA,NA,"""decoy trap 10109 274mm""",
1447-40278,1988-05-13,pd50,RGC,NA,"""counted""",
1447-40278,1988-05-26,pd50,RGC,NA,NA,
1447-40278,1990-04-16,pd50,RGC,NA,"""paired""",
1447-40278,1990-04-30,pd50,RDD,NA,"""paired""",
1447-40278,1990-05-17,pd50,ABD,pair,NA,
1447-40278,1990-05-21,E of pd50 (in stubble),RGC,pair,"""hen no CB (male-black CB)""",
1447-40278,1990-05-24,pd50,RGC,pair,NA,
1447-40278,1990-06-06,on nest 071 (destroyed),RDD/RGC,NA,NA,
1447-40128,1988-05-09,295,NA,NA,"""recap mass 1210 wing 279mm"", 295 could also be 795, handwriting unclear",
1447-40289,NA,NA,NA,NA,there are no data entries on this page ,
1447-40295,1988-05-10,pond 79E-S,NA,NA,"""captured with male 1447-40294""",
1447-40295,1988-05-28,S of 79 E,RGC,NA,"""recpture""",
1447-40295,1989-04-25,pd-79E,RGC,paired,NA,
1447-40295,1989-04-27,pd-79E,RGC,paired,NA,
1447-40308,1992-05-12,pd113,BKW,pair,NA,
1447-40313,NA,NA,NA,NA,there are no data entries on this page ,
1447-40174,1987-05-19,n26,NA,NA,"""AHY red CB mass 980g wing 278mm no nasal tag"", ""abandon after trap""",
1447-40174,1988-06-21,n50,NA,NA,"""nest trapped and nasal-tagged mass 960g/wing 283mm""",
1447-40174,1988-06-22,n50 S of pd 20,"GCG,RGC",eggs pipped,"""abandoned 22-June/88""",
1447-40174,1989-05-05,pd 1 E,KDW,paired,NA,
1447-40174,1990-05-21,pd20,"RDD,RGC",in decoy trap-no nasal tags-new set put on female,"""see 2 pages forward""",
1447-40174,1987-05-19,n26 (9 egg clutch),MLG,"nesting female was banded only, mass 980g wing 278mm","""female abandoned w/+/- 27 days incub. Eggs were hatched artificially young were raised and released. Two females were observed/captured and/or nested in later years. E.G. yellow triangle-white y""",
1447-40174,1988-06-21,n50 (started with 8 egg clutch),CLARK,nesting,"""female abandoned w/ pipping eggs, mass 960g wing 283mm""",
1447-40174,1989-05-05,pond 1 E,KDW,paired,NA,
1447-40174,1990-04-26,pd20,RGC,paired,NA,
1447-40174,1990-05-03,pd20,RGC,paired,NA,
1447-40174,1990-05-10,pd20,RGC/ABD,NA,NA,
1447-40174,1990-05-21,pd20,RGC/RDD,in decoy trap-no nasal tags-new set put on female,NA,
1447-40331,1988-06-24,n23,RGC,NA,"""hatched""",
1447-40331,1990-04-26,p20,MLG,paired,NA,
1447-40331,1990-05-17,field S of driveway,MLG,NA,NA,
1447-40332,1988-07-08,n99,RGC,NA,"""hatched""",
1447-40332,1990-06-06,nest 070,RGC/RDD,dead (within 2 days),"""wing 261, head and bill 109.4, 8 eggs""; ""nasal tags removed web tag # A0275 white CB""",
1447-40373,1989-04-20,pd 25,RGC,paired ,NA,
1447-40373,1989-04-26,pd 35,RGC,paired ,NA,
1447-40373,1989-04-27,pd 35,RGC,paired ,NA,
1447-40373,1989-05-12,pd 35,CJF,paired ,"""nest #27 hatch 6 yng 19 June 1989""",
1447-40373,1989-06-20,pd 25,RGC,w 4 Ia's,NA,
1447-40373,1990-05-14,nest 006,DF,7 eggs 0 incubation ,NA,
1447-40373,1990-06-10,nest 006,"RDD,RGC",8 eggs hatched ,NA,
1447-40373,1990-08-09,pd 25,RGC,3 III's,NA,
1447-40412,NA,NA,NA,NA,there are no data entries on this page ,
1447-40416,1989-06-20,pd26,RGC,w 6 IB,NA,
1447-40416,1989-06-21,pd20,RGC,w 6 IB,NA,
1447-40416,1989-06-24,pd25,KDW,w 6 IB,NA,
1447-40416,1989-07-03,pd25,RGC,w 6 Ic's,NA,
1447-40416,1989-07-20,pd25,GCG,w 5 IIa,NA,
1447-40416,1989-07-28,pd20,KDW,"""+/- 3 young""",NA,
1447-40416,1990-04-24,pd66,RGC,paired ,NA,
1447-40417,1990-06-09,pd 1 W,RGC,paired,NA,
1447-40417,1990-06-16,pd 1 W,RGC,paired,NA,
1447-40417,1990-07-08,nest #100,"RDD,RGC",nesting,"""abandoned nest (9 July 90)""",
1447-40417,1991-04-12,pd 1 W,RGC,paired,NA,
1447-40417,1991-04-18,pd 1 W,RGC,paired,NA,
1447-40417,1991-04-21,pd 1 W,RGC,paired,NA,
1447-40417,1991-04-25,pd 1 W,RGC,paired,NA,
1447-40417,1991-06-10,n25,RGC,captured on nest ,NA,
1447-40417,1992-04-22,pd66,GCG,paired ,NA,
1447-40417,1992-05-12,n15,RDD,on nest ,NA,
1447-40418,NA,NA,NA,NA,there are no data entries on this page ,
1447-40419,1985-07-22,pd50,NA,class Ia duckling- web tag A0274,NA,
1447-40419,1990-04-30,pd1,RGC,paired,"""green CB""",
1447-40419,1990-05-05,pd26,RGC,paired,NA,
1447-40419,1990-05-06,in stubble S of pd24,RGC,NA,NA,
1447-40419,1990-05-09,pd26,RDD,NA,NA,
1447-40419,1990-06-01,nest 045,NC,NA,NA,
1447-40419,1990-06-07,nest 045,RGC,25 days incubation ,NA,
1447-40419,1990-06-09,nest 045,RGC,11 hatched,NA,
1447-40419,1990-08-16,pd65,RDD,w/146 mallards,NA,
1447-40419,1991-05-17,decoy trap (pd27),RDD,paired,NA,
1447-40419,1991-06-17,n44,RGC,"captured on nest 945g, 265 wing, HB 108.9",NA,
1447-40419,1992-06-01,n81,RGC,NA,"""West of pd 28 in shrub patch""",
1447-40420,1989-07-03,pd20,RGC,w 8 Ia's,NA,
1447-40420,1990-06-01,nest 021,"CJF,RDD",2 eggs hatched ,NA,
1447-40420,1991-04-08,pd 1 (E),RGC,paired - male banded and black CB,NA,
1447-40420,1991-04-11,pd 1 (E side),RGC,paired - male banded and black CB,NA,
1447-40420,1991-04-25,pd 1 (E),RGC,paired - male black CB,,
1447-40420,1991-05-16,island,RDD,Nest #10,NA,
1447-40420,1991-05-28,island,RDD,Nest #10 (H),"""mist net web tag 10 (hatch yes)""",
1447-40420,1992-05-25,n55 (H),RGC,NA,NA,
1447-40420,1993-04-15,pd1,RGC,paired,"""NNE tip of island""",
1447-40420,1993-04-22,pd1,RGC,"paired- male is banded, right leg",NA,
1447-40420,1993-05-08,pd1 nest 008,RGC,on nest,11 eggs,
1447-40420,1993-05-14,nest 008,RGC,on nest,NA,
1447-40420,1993-05-22,nest 008,RGC,on nest,NA,
1447-40420,1993-05-27,nest 008,RGC et al.,on nest,NA,
1447-40420,1993-05-28,nest 008,RGC,hatched and alone,NA,
1447-40420,1995-05-21,nest 21 (ISL),"RGC, SWL",female DEAD (propofol complications),"""95 update nest-island female killed overdose of propofol anesthetic""",
1447-40425,1989-08-07,pd1,KDW,NA,NA,
1447-40425,1989-08-10,pd1,RDD,NA,NA,
1447-40425,1989-08-16,pd1,RDD,NA,"""NO colour band""",
1447-40425,1989-08-17,pd1,CJF,NA,NA,
1447-40425,1990-04-20,pd1 E,RGC,paired,"""band right, no colour band""",
1447-40425,1990-05-17 (12:30),"Nest #19, Island pd 1, middle of W bluff",RGC,8 days incubation,"""11 eggs""",
1447-40425,1990-05-21,Nest 019,"MLG,NC",contin. incubation,"""installed microclimate sensor""",
1447-40425,1990-05-28,Nest 019,MLG,22 days incubation,"""removed microclimate sensor""",
1447-40425,1990-06-02,Nest 019,"RGC, WBD",hatched,"""9 young/2eggs""",
1447-40425,1991-04-21,pd 1 W,RGC,paired ,NA,
1447-40425,1991-04-25,pd 1 W,RGC,paired ,NA,
1447-40427,1989-08-07,pd 1,KOW ,NA,NA,
1447-40427,1989-08-10,pd 1,RDD,NA,NA,
1447-40427,1989-08-16,pd 1,RDD,NA,NA,
1447-40427,1989-08-17,pd 1,CJF,W 3 III,NA,
1447-40427,1990-05-06,pd 1,RGC,pair,NA,
1447-40427,1990-05-07,pd 1 (decoy trap),CFJ/RDD,NA,NA,
1447-40361,1990-04-27,pd 1,RGC,paired,red CB,
1447-40361,1990-05-01,pd 1 ,RGC,paired ,NA,
1447-40361,1990-05-06,pd 1,RGC,paired,NA,
1447-40361,1990-05-27,pd 1 W,RGC,paired,NA,
1447-40361,1990-05-28,Nest 009,MG,7 eggs,NA,
