,band_num,species,SPECIES,DATE,EVENT,COORDINATES,LOCATION DESCRIPTION,NOTES FOR INTEREST,
49,775-74117,Unknown,BWTE,6/1/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
50,775-74119,Unknown,BWTE,6/9/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
51,775-74120,Unknown,BWTE,6/9/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
52,775-74121,Unknown,BWTE,6/11/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
53,775-74122,Unknown,BWTE,6/11/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
54,775-74123,Unknown,BWTE,6/13/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
55,775-74124,Unknown,BWTE,6/13/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
56,775-74125,Unknown,BWTE,6/14/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
57,775-74126,Unknown,BWTE,6/14/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
58,775-74127,Unknown,BWTE,6/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
59,775-74128,Unknown,BWTE,6/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
60,775-74129,Unknown,BWTE,6/19/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
61,775-74130,Unknown,BWTE,6/24/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
62,775-74131,Unknown,BWTE,6/24/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
63,775-74132,Unknown,BWTE,6/25/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
64,775-74134,Unknown,BWTE,6/27/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
65,775-74136,Unknown,BWTE,7/3/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
66,775-74138,Unknown,BWTE,7/9/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
67,775-74144,Unknown,BWTE,7/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
68,775-74156,Unknown,BWTE,7/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
69,775-74158,Unknown,BWTE,7/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
70,775-74157,Unknown,BWTE,7/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
71,775-74166,Unknown,BWTE,7/16/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
72,775-74176,Unknown,BWTE,7/22/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
73,775-74177,Unknown,BWTE,7/22/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
74,775-74190,Unknown,BWTE,7/23/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
75,775-74309,Unknown,BWTE,7/24/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
76,775-74321,Unknown,BWTE,7/25/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
77,775-74323,Unknown,BWTE,7/25/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
78,775-74325,Unknown,BWTE,7/25/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
79,775- 74327,Unknown,BWTE,7/25/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
80,775-74327,Unknown,,see above,,,,,
81,775-74348,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
82,775-74350,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
83,775-75353,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
84,775-74355,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
85,775-74356,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
86,775-74358,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
87,775-74362,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",Shot in Minnesota Oct 1986,
88,775-74369,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
89,775-74370,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
90,775-74379,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
91,775-74383,Unknown,BWTE,8/1/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
92,775-74386,Unknown,BWTE,8/1/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
93,775-74388,Unknown,BWTE,8/1/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
94,775-74390,Unknown,BWTE,8/1/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
95,775-74391,Unknown,BWTE,8/1/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
96,775-74399,Unknown,BWTE,8/6/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
97,775-74201,Unknown,BWTE,8/6/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
98,775-74400,Unknown,BWTE,8/6/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
99,775-74202,Unknown,BWTE,8/6/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
100,775-74206,Unknown,BWTE,8/6/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
101,775-74207,Unknown,BWTE,8/6/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
102,775-74219,Unknown,BWTE,8/8/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
103,775-74221,Unknown,BWTE,8/8/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
104,775-74222,Unknown,BWTE,8/8/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
105,775-74223,Unknown,BWTE,8/8/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
106,775-74224,Unknown,BWTE,8/8/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
107,775-74225,Unknown,BWTE,8/8/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
108,775-74226,Unknown,BWTE,8/8/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
109,775-74228,Unknown,BWTE,8/8/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
110,775-74233,Unknown,BWTE,8/8/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
111,775-74251,Unknown,BWTE,8/12/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
112,775-74252,Unknown,BWTE,8/12/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
113,775-74253,Unknown,BWTE,8/12/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
114,775-74254,Unknown,BWTE,8/13/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
115,775-74255,Unknown,BWTE,8/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
116,775-74256,Unknown,BWTE,8/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
117,775-74257,Unknown,BWTE,8/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
118,775-74259,Unknown,BWTE,8/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
119,775-74260,Unknown,BWTE,8/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
120,775-74262,Unknown,BWTE,8/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
121,775-74264,Unknown,BWTE,8/19/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
122,775-74267,Unknown,BWTE,8/19/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
123,775-74277,Unknown,BWTE,8/19/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
124,775-74278,Unknown,BWTE,8/19/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
125,775-74279,Unknown,BWTE,8/19/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
126,775-74280,Unknown,BWTE,8/19/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
127,775-74281,Unknown,BWTE,8/19/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
128,775-74282,Unknown,BWTE,8/19/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
129,775-74433,Unknown,BWTE,8/27/1985,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
130,775-74434,Unknown,BWTE,8/27/1985,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
131,775-74435,Unknown,BWTE,8/27/1985,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
132,775-74436,Unknown,BWTE,8/27/1985,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
133,775-74301,Unknown,BWTE,7/24/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
134,775-74457,Unknown,BWTE,8/29/1985,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
135,775-74458,Unknown,BWTE,8/29/1985,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
136,775-74460,Unknown,BWTE,8/29/1985,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
137,775-74465,Unknown,BWTE,8/29/1985,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
138,775-74463,Unknown,BWTE,8/29/1985,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
139,865-18504+CB,Unknown,BWTE,6/16/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
140,865-18506+CB,Unknown,BWTE,6/17/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
141,865-18508+CB,Unknown,BWTE,6/19/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
142,865-18509+CB,Unknown,BWTE,6/20/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
143,865-18511+CB,Unknown,BWTE,6/24/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
144,865-18512+CB,Unknown,BWTE,6/24/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
145,865-18514+CB,Unknown,BWTE,6/27/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
146,865-18532+CB,Unknown,BWTE,7/14/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
147,865-18533+CB,Unknown,BWTE,7/16/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
148,865-18540+CB,Unknown,BWTE,7/16/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Trapped again in 1988,
149,865-18544+CB,Unknown,BWTE,7/16/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
150,865-18559+CB,Unknown,BWTE,7/29/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
