,band_num,species,SPECIES,DATE,EVENT,COORDINATES,LOCATION DESCRIPTION,NOTES FOR INTEREST,
215,885-43224+CB,Unknown,BWTE,8/10/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
216,885-43225+CB,Unknown,BWTE,8/10/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
217,755-49468+CB,Unknown,BWTE,8/17/1989,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
218,865-18948,Unknown,BWTE,7/20/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
219,885-43375,Unknown,BWTE,6/23/1991,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
220,885-43377,Unknown,BWTE,7/17/1991,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
221,885-43378,Unknown,BWTE,7/19/1991,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
222,885-43405,Unknown,,,,,,,
223,885-43421,Unknown,BWTE,8/28/1991,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
224,,Unknown,,,,,,,
225,NA,Unknown,,,,,,,
226,876-04949,Unknown,GADW,6/25/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Texas in 1987,
227,876-04950,Unknown,GADW,6/28/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
228,876-04951,Unknown,GADW,7/8/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
229,876-04952,Unknown,GADW,7/8/1986,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
230,876-04967,Unknown,GADW,6/25/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
231,876-04970,Unknown,GADW,7/1/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
232,876-04971,Unknown,GADW,7/2/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
233,876-04972,Unknown,GADW,7/6/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
234,876-04973,Unknown,GADW,7/14/1987,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
235,876-04984,Unknown,GADW,5/25/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
236,876-04985,Unknown,GADW,6/20/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
237,876-04986,Unknown,GADW,6/23/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
238,876-04988,Unknown,GADW,6/23/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
239,876-04989,Unknown,GADW,6/30/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
240,876-04990,Unknown,GADW,6/30/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
241,876-04902,Unknown,AMWI,8/4/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
242,876-04997,Unknown,GADW,7/22/1988,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
243,596-68116,Unknown,GADW,7/2/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
244,596-68127,Unknown,GADW,7/7/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
245,596-68130,Unknown,GADW,7/11/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
246,596-68132,Unknown,GADW,7/13/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
247,596-68126,Unknown,GADW,7/6/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
248,596-68115,Unknown,GADW,7/2/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
249,596-68129,Unknown,GADW,7/8/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
250,596-68113,Unknown,GADW,6/22/1989,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
251,596-68168,Unknown,GADW,6/25/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
252,596-68177,Unknown,GADW,7/3/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
253,596-68176,Unknown,GADW,7/1/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
254,596-68180,Unknown,GADW,7/5/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
255,596-68183,Unknown,GADW,7/5/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
256,596-68186,Unknown,GADW,7/9/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
257,596-68187,Unknown,GADW,7/9/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
258,596-68189,Unknown,GADW,7/13/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
259,596-68188,Unknown,GADW,7/10/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
260,596-68196,Unknown,GADW,7/19/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
261,596-68198,Unknown,GADW,8/10/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
262,596-68174,Unknown,GADW,6/30/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
263,596-68167,Unknown,GADW,6/3/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
264,596-68165,Unknown,GADW,5/13/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
265,596-68169,Unknown,GADW,6/27/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
266,596-68171,Unknown,GADW,6/28/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
267,596-68175,Unknown,GADW,6/30/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
268,896-62801,Unknown,GADW,8/2/1990,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
269,896-62896,Unknown,GADW,6/28/1991,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
270,896-62895,Unknown,GADW,6/26/1991,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
271,896-62898,Unknown,GADW,7/6/1991,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
272,896-75105,Unknown,GADW,7/18/1991,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
273,896-75106,Unknown,GADW,7/20/1991,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
274,896-75117,Unknown,GADW,7/26/1991,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
275,896-75118,Unknown,GADW,7/31/1991,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
276,896-75110,Unknown,GADW,7/26/1991,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",Shot in Missouri Nov 1991,
277,896-75115,Unknown,GADW,7/26/1991,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
278,896-75159,Unknown,GADW,7/14/1992,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
279,896-75157,Unknown,GADW,7/10/1992,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
280,896-75156,Unknown,GADW,7/9/1992,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
281,896-75153,Unknown,GADW,7/9/1992,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Arkansas Nov 1992,
282,896-75152,Unknown,GADW,7/8/1992,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
283,896-75145,Unknown,GADW,7/3/1992,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
284,896-75146,Unknown,GADW,6/30/1992,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
285,896-75144,Unknown,GADW,6/26/1992,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
286,896-75168,Unknown,GADW,8/7/1992,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
287,896-75165,Unknown,GADW,8/7/1992,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
288,896-75167,Unknown,GADW,8/7/1992,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
289,896-75149,Unknown,GADW,7/3/1992,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
290,896-75147,Unknown,GADW,7/3/1992,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
291,896-75150,Unknown,GADW,7/6/1992,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
292,896-75143,Unknown,GADW,6/26/1992,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
293,896-75141,Unknown,,,,,,,
294,896-75113,Unknown,GADW,7/26/1991,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
295,896-75204,Unknown,GADW,7/2/1993,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
296,896-75207,Unknown,GADW,6/16/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
297,896-75208,Unknown,GADW,6/17/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Found dead in SK in 2000,
298,896-75209,Unknown,GADW,6/23/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
299,896-75210,Unknown,GADW,6/25/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
300,896-75211,Unknown,GADW,6/27/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Found dead in SK in 1995,
301,896-75212,Unknown,GADW,6/22/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
302,896-75215,Unknown,GADW,7/1/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
303,896-75216,Unknown,GADW,7/4/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
304,896-75217,Unknown,GADW,7/8/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
305,896-75218,Unknown,GADW,7/9/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
306,896-75219,Unknown,GADW,7/10/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
307,896-75220,Unknown,GADW,7/12/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
308,896-75221,Unknown,GADW,7/13/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
309,896-75224,Unknown,GADW,7/16/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
310,896-75225,Unknown,GADW,7/17/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Ohio Dec 1994,
311,896-75236,Unknown,GADW,8/4/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
312,896-75237,Unknown,GADW,8/4/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
313,896-75250,Unknown,GADW,8/4/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
314,896-75266,Unknown,GADW,8/10/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
315,896-75267,Unknown,GADW,8/10/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
316,896-75263,Unknown,GADW,8/10/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
317,896-75290,Unknown,GADW,7/7/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in Nov 1995,
318,896-75296,Unknown,GADW,7/14/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
319,896-75286,Unknown,GADW,6/23/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
320,896-75288,Unknown,GADW,7/6/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
321,896-75292,Unknown,GADW,7/10/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
322,896-75291,Unknown,GADW,7/9/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
323,896-75293,Unknown,GADW,7/11/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
324,896-75294,Unknown,GADW,7/13/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
325,896-75295,Unknown,GADW,7/13/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in 1996,
326,896-75299,Unknown,GADW,7/16/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
327,896-75300,Unknown,GADW,7/17/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
328,896-75303,Unknown,GADW,7/25/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in 1997,
329,896-75304,Unknown,GADW,7/17/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
330,896-75305,Unknown,GADW,7/18/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in 2000,
331,896-75306,Unknown,GADW,7/19/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
332,896-75307,Unknown,GADW,7/21/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
333,896-75308,Unknown,GADW,7/22/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
334,896-75309,Unknown,GADW,7/25/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
335,896-75349,Unknown,GADW,8/28/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
336,896-75351,Unknown,GADW,8/31/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
337,686-13932,Unknown,GADW,7/11/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
338,896-75287,Unknown,GADW,7/5/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
339,686-13916,Unknown,GADW,7/7/1992,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",Found dead in SK in 1995,
340,686-13935,Unknown,GADW,6/26/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
341,686-13937,Unknown,GADW,7/9/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
342,686-13938,Unknown,GADW,7/10/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
343,686-13939,Unknown,GADW,7/10/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
344,686-13940,Unknown,GADW,7/11/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
345,686-13941,Unknown,GADW,7/12/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
346,686-13942,Unknown,GADW,7/12/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
347,686-13943,Unknown,GADW,7/12/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Found dead from botulism in MB in 1997,
348,686-13944,Unknown,GADW,7/12/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
349,686-13945,Unknown,GADW,7/14/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
350,686-13946,Unknown,GADW,7/14/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
351,686-13947,Unknown,GADW,7/14/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
352,686-13948,Unknown,GADW,7/16/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
353,686-13949,Unknown,GADW,7/18/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
354,686-13950,Unknown,GADW,7/18/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
355,686-13952,Unknown,GADW,7/18/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
356,686-13953,Unknown,GADW,7/18/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
357,686-13954,Unknown,GADW,7/18/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in 1997,
358,686-13955,Unknown,,,,,,,
359,686-13956,Unknown,GADW,7/26/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
360,686-13957,Unknown,GADW,7/27/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
361,686-13958,Unknown,GADW,7/28/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
362,686-13959,Unknown,GADW,8/28/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
363,686-13960,Unknown,GADW,8/28/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
364,686-13961,Unknown,GADW,8/28/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in 2002,
365,686-13963,Unknown,GADW,8/28/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
366,686-13965,Unknown,GADW,8/28/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
367,1056-37162,Unknown,GADW,7/12/2000,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
368,686-13971,Unknown,GADW,8/31/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Arkansas in 1997,
369,686-13974,Unknown,GADW,6/22/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
370,686-13981,Unknown,GADW,6/28/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
371,686-13983,Unknown,GADW,7/18/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",For interest: retrapped in SK in 1997,
372,686-13984,Unknown,GADW,7/2/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
373,686-13986,Unknown,GADW,7/3/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in Dec 1997,
374,686-13987,Unknown,GADW,7/4/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
375,686-13991,Unknown,GADW,7/5/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in 2000,
376,686-13992,Unknown,GADW,7/5/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
377,686-13993,Unknown,GADW,7/5/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
378,686-13994,Unknown,GADW,7/5/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Arkansas in 2001,
379,686-13995,Unknown,GADW,7/7/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
380,686-13997,Unknown,GADW,7/7/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
381,686-13998,Unknown,GADW,7/7/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
382,686-13999,Unknown,GADW,7/8/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
383,686-14000,Unknown,GADW,7/8/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
384,896-75163,Unknown,GADW,8/7/1992,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
385,896-75274,Unknown,GADW,8/10/1994,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
386,896-75297,Unknown,GADW,7/14/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
387,896-75344,Unknown,GADW,8/19/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
388,896-75345,Unknown,GADW,8/23/1995,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
389,896-75356,Unknown,GADW,6/27/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
390,896-75359,Unknown,GADW,6/29/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
391,896-75360,Unknown,GADW,7/1/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in 1997,
392,896-75361,Unknown,GADW,7/2/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
393,896-75362,Unknown,GADW,7/3/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
394,896-75363,Unknown,GADW,7/3/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
395,896-75364,Unknown,GADW,7/3/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
396,896-75365,Unknown,,,,,,,
397,896-75366,Unknown,GADW,7/6/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",For interest: shot in Tennessee in Dec 1996,
398,896-75367,Unknown,GADW,7/8/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
399,896-75368,Unknown,GADW,7/9/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in SK in 1997,
400,896-75373,Unknown,GADW,7/15/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
401,896-75378,Unknown,GADW,7/29/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
402,896-75380,Unknown,GADW,8/11/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
403,896-75381,Unknown,GADW,8/16/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
404,896-75382,Unknown,GADW,8/19/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
405,896-75393,Unknown,GADW,8/28/1996,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
406,896-75432,Unknown,GADW,6/26/1998,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
407,896-75433,Unknown,GADW,7/2/1998,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Mississippi in Dec 1998,
408,896-75434,Unknown,GADW,7/6/1998,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
409,896-75435,Unknown,GADW,7/10/1998,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
410,896-75437,Unknown,GADW,7/13/1998,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
411,896-75438,Unknown,GADW,7/13/1998,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Arkansas in 2000,
412,896-75440,Unknown,GADW,7/13/1998,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
413,896-75444,Unknown,GADW,7/16/1998,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
414,896-75445,Unknown,GADW,7/16/1998,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
415,1016-61301,Unknown,GADW,7/8/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
416,1016-61302,Unknown,GADW,7/8/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
417,1016-61304,Unknown,GADW,7/9/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in 2003,
418,1016-61308,Unknown,GADW,7/13/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
419,1016-61309,Unknown,GADW,7/13/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in North Dakota in 1998,
420,1016-61310,Unknown,GADW,7/13/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
421,1016-61315,Unknown,GADW,7/18/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
422,1016-61316,Unknown,GADW,7/19/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
423,1016-61318,Unknown,GADW,7/21/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in 1998,
424,1016-61319,Unknown,GADW,7/22/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
425,1016-61321,Unknown,GADW,7/24/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
426,1016-61324,Unknown,GADW,7/26/1997,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Louisiana in Dec 1997,
427,1016-61327,Unknown,GADW,6/17/1998,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
