band_num,date_resighted,location,observer,status,comments
775-74327,1985-09-06,p5335,EHD,NA,"""Same combo used twice"" headline. Same page for 775-74348 and 775-74327 "
775-74348,1985-08-20,p66,JBI,NA,"""in flock of 250 birds, including 775-74355 (yellow sq orange Y)"". ""Same combo used twice"" headline. Same page for 775-74348 and 775-74327 "
775-74348,1985-09-06,p5335,EHD,NA,"""Same combo used twice"" headline. Same page for 775-74348 and 775-74327 "
775-74350,1985-08-27,p66,"RGC, JBI",NA,NA
775-74350,1985-08-29,p66,"TGJ, JBI",NA,"""with large (>200) flock of teal"""
775-74350,1985-08-19,p7152,"EHD, TGJ",NA,"""with ~10 BWT, 2 of wich one marked (yellow sq, yellow Y, yellow sq with Y)"
775-74350,1985-08-28,p66,EHD,NA,"""in a large mixed species feeding flock, was in bait trap temporarily but swam out)"
775-74350,1985-09-05,p66,EHD,NA,"""sleeping near shore near 5 BWT, was scratching at bill region and shaking it's head a lot before it went to sleep"""
775-74350,1985-09-06,p66,RGC,NA,"""~210 BWT (includes sen? BWT)"""
775-74350,1985-09-12,p66,RGC,NA,"""feeding near bait traps with ~10 other real close by"""
775-75353,1985-08-19,p7152,"EHD, TGJ","with about 10 BWT, 2 which are marked (yellow sr, white Y)(white Y, white sq)",NA
775-74355,1985-08-20,p66,JBI,NA,"""in block of ~250 birds including 775-74348 (white Y blue sq) which it was banded with on pond 6954"""
775-74356,NA,NA,NA,NA,NA
775-74358,1985-08-19,p7152,"EHD, TGS","in a group sf about 10 BTW, including 2 others marked BTW (yellow sq, yellow Y, white Y, white sq)",
775-74362,1985-08-08,p6,"EHD, AMT",NA,"""flushed from pond with 5 other BWT, may have been their young. Shot 1986-08-10, Brownton,Minnesota"""
775-74369,1985-08-15,p66,"TGJ, JBI",NA,NA
775-74370,NA,NA,NA,NA,NA
775-74379,1985-08-07,p65,"TGJ, JBI",NA,NA
775-74383,NA,NA,NA,NA,NA
775-74386,NA,NA,NA,NA,NA
775-74388,1985-08-08,p66,"TGJ, JBI",NA,NA
775-74390,NA,NA,NA,NA,NA
775-74391,NA,NA,NA,NA,"""captured alone with 8 III A ducklings"""
775-74399,NA,NA,NA,NA,NA
775-74201,NA,NA,NA,NA,NA
775-74400,1985-09-06,p66,RGC,NA,"""pond had ~210 BWT with some GWT mixed in"""
775-74202,NA,NA,NA,NA,NA
775-74206,NA,NA,NA,NA,NA
775-74207,NA,NA,NA,NA,NA
775-74219,NA,NA,NA,NA,NA
775-74221,NA,NA,NA,NA,NA
775-74222,NA,NA,NA,NA,NA
775-74223,1985-09-12,p50,RGC,feeding with 1-2 other teal ,NA
775-74224,NA,NA,NA,NA,NA
775-74225,1985-08-22,p60,"TGJ, JBI",NA,NA
775-74226,NA,NA,NA,NA,NA
775-74228,NA,NA,NA,NA,NA
775-74233,NA,NA,NA,NA,NA
775-74251,NA,NA,NA,NA,NA
775-74252,1985-08-29,p66,"TGJ, JBI",NA,"""with large flock of teal (>200 birds)"""
775-74253,1985-08-15,p125S,"RGC, AMT",with one tagged(775-74309) and one untagged BWT,NA
775-74309,1985-08-15,p125S,"RGC, AMT","with one tagged (yellow sq, yellow tri) and one untagged BWT",NA
775-74254,NA,NA,NA,NA,NA
775-74255,NA,NA,NA,NA,NA
775-74256,NA,NA,NA,NA,NA
775-74257,NA,NA,NA,NA,NA
775-74259,NA,NA,NA,NA,NA
775-74260,NA,NA,NA,NA,NA
775-74262,NA,NA,NA,NA,NA
775-74264,1985-08-27,5965N,"TGJ, EHD, MLJ",NA,with 5 no tags
