band_num,species,nest_num,nasalTags_LT,nasalTags_RT,date_hatched,ordinal_hatched,fenced,radio_freq,num_hatched,date_trapped,handling_time_min,implant_mauser,drug_pm,dose_cc,num_leaving_nest,comments
896-75297,GADW,642,grn oval,yell square,1997-08-06,218,N,3.03,9,1997-08-04,60,m,p,0.85,9,"""pg. 1, 'N of pd 139', '>100 sec' beside dose"""
896-75297,GADW,642,grn oval,yell square,1997-08-06,218,N,3.03,9,1997-08-04,60,m,p,0.85,9,"""pg. 2, sticky note on page: '11 Sept. (1950) w/ large flock of gadwalls on pond 908 -> flew away + N to 90'"""
1016-61301,GADW,502,grn tri,yell O,NA,NA,NA,3.198,NA,1997-07-08,NA,NA,NA,NA,NA,"""Dead, 'pd 41' below band #. note: ""band reused?"""
1016-61301,GADW,531,grn Y,org square,1997-07-21,202,N,2.84,5,1997-07-19,NA,NA,p,NA,5,"""pg. 1, 'W of pd 90'"""
1016-61301,GADW,531,grn Y,org square,1997-07-21,202,N,2.84,5,NA,NA,NA,NA,NA,5,"""pg. 2"""
NA,GADW,NA,NA,NA,1997-07-21,NA,NA,2.84,NA,NA,NA,NA,NA,NA,NA,"""pg. 3"""
1016-61310,GADW,585,org square,grn O,1997-07-14,195,N,2.95,9,1997-07-13,NA,m,p,NA,9,"""pg. 1, 'N of pd 35"""
1016-61310,GADW,585,org square,grn O,1997-07-14,195,N,2.95,9,NA,NA,NA,NA,NA,9,"""pg. 2"""
1016-61310,GADW,585,org square,grn O,1997-07-14,NA,N,2.95,9,NA,NA,NA,NA,NA,9,"""pg. 3"""
1016-61311,GADW,487,yel Y,grn O,1997-07-16,197,NA,2.129,8,1997-07-14,40,m,p,0.95,8,"""pg. 1, SE island, '/110 sec' beside dose"""
1016-61311,GADW,487,yel Y,grn O,1997-07-16,197,N,2.129,8,1997-07-14,40,NA,p,0.95,8,"""pg. 2, 'previously w/ 8 +9' below date hatched, 'island' above fenced, '/110 sec' beside dose'"
1016-61311,GADW,487,yel Y,grn O,1997-07-16,197,N,2.129,8,1997-07-14,40,m,p,0.95,8,"""pg. 3, 'island' below fenced, possible brood observation entry: '10 1330 sumd SWL 8Ic-IIa's'"""
1016-61315,GADW,542,yel oval,grn oval,1997-07-21,202,N,2.921,9,1997-07-18,25,m,p,1,9,"""pg. 1, (island) beside nest #, 'dose was too light' with arrow pointing to dose"""
1016-61315,GADW,542,yel oval,grn oval,1997-07-21,202,NA,2.921,9,1997-07-18,25,m,p,1,9,"""pg. 2, (island) beside nest #, 'dose was too light' with arrow pointing to dose"""
1016-61315,GADW,NA,yel oval,grn oval,1997-07-21,NA,NA,2.921,9,NA,NA,NA,NA,NA,9,NA
1016-61316,GADW,597,grn tri,org tri,1997-07-24,205,NA,3.321,9,1997-07-19,NA,NA,NA,NA,<=9 or 8,"""pg. 1, 'W pf pd 245' below band #, 'ask RGC' beside # leaving nest"""
1016-61316,GADW,597,grn tri,org tri,1997-07-24,205,NA,3.321,9?,1997-07-19,NA,NA,NA,NA,E9,"""pg. 2, unsure of # hatched and E beside # leaving nest?"""
NA,GADW,NA,grn tri,org tri,1997-07-24,NA,NA,3.321,NA,NA,NA,NA,NA,NA,9,"""pg. 3"""
1016-61319,GADW,659,yel tri,grn tri,1997-07-26,207,NA,2.86,6,1997-07-22,NA,NA,NA,NA,6,"""pg. 1, 'NW pf pd 92' below band #"""
1016-61319,GADW,659,yel tri,grn tri,1997-07-26,207,NA,2.86,6,NA,NA,NA,NA,NA,6,"""pg. 2"""
1016-61319,GADW,NA,yel tri,grn tri,1997-07-26,NA,NA,2.86,6,NA,NA,NA,NA,NA,6,"""possible brood observation entry: last seen c 6Ics (18 Aug), sticky note: 11 Sept 16:30, on 8107, not seen"""
1016-61324,GADW,660,grn oval,org tri,1997-07-28,209,Y,2.462,9,1997-07-26,25,NA,p,1,9,"""pg. 1, 'nest E of pd 92 on fenceline' below date hatched, '90 sec.' beside dose"""
1016-61324,GADW,660,grn oval,org tri,1997-07-28,209,NA,2.462,9,NA,NA,NA,NA,NA,9,"""pg. 2"""
1016-72005,GADW,572,org oval,grn square,1997-07-09,190,Y,3.3,8,1997-07-06,60,NA,p,0.7,7,"""pg. 1, 'SW of pd 17' below band #, Recruit"""
1016-72005,GADW,572,org oval,grn square,1997-07-09,190,Y,3.3,8,1997-07-06,60,m,p,0.7,7,"""PG. 2, 'SW of pd 17'"""
1016-72011,GADW,544,org square,grn tri,1997-07-17,198,N,3.198,10,1997-07-16,NA,m,p,0.7,10,"""pg. 1, 'SE of pd 38', possible brood observation entry: @1215-4328 01 Aug STR LOC"""
1016-72011,GADW,544,org square,grn tri,1997-07-17,198,N,3.198,10,1997-07-16,NA,M,p,0.7,10,"""pg. 2"""
686-13986,GADW,252,wht O ,lt bl Y,NA,NA,NA,3.18,ABAN (Human),1997-07-03,60,NA,NA,,,
686-13987,GADW,485,yel O,wht Y,NA,NA,NA,3.051,NA,1997-07-05,NA,NA,NA,NA,NA,"""E of pd 33, 'Aban(human) in # hatched"""
1016-61318,GADW,641,yel Y,grn square,NA,NA,Y,2.899,NA,1997-07-22,60,NA,p,0.85,NA,"""East of swale; west pd 139, '/85 sec' in dose"""
1016-72003,GADW,577,org O,grn tri,NA,NA,Y,3.008,NA,1997-07-06,60,NA,NA,0.8,NA,"""Depred. in # hatched, 'N of Quonset'"""
1107-16499,MALL,326,wht tri,grn square,1996-07-24,206,N,3.383,9,1996-07-21,65,m,p,1,NA,"""pg. 1, W pd 73, '*missed webtagging' in # leaving nest, 'in 90 sec' beside dose"""
1107-16499,MALL,326,wht tri,grn square,1966-07-24,NA,N,3.383,NA,NA,NA,NA,NA,NA,NA,"""pg. 2, N pd 73"""
1107-16499,MALL,403,wht tri,grn square,1997-07-12,193,Y,2.611,6,1997-07-10,>60,NA,NA,0.7,6,"""pg. 1, S of pd 79E?, *Recap no past data, sticky note: Reradioed Lost Brood 96"""
1107-16499,MALL,403,wht tri,grn square,1997-07-12,193,NA,2.611,6,NA,NA,NA,NA,NA,6,"""pg. 2, (14) beside radio freq"""
1107-16499,MALL,403,wht tri,grn square,1997-07-12,193,NA,2.611,6,NA,NA,NA,NA,NA,6,"""pg. 3"""
2367-85874,MALL,344,wht oval,Lt bl oval,1997-06-25,176,N,2.08,8,1997-06-24,70,NA,NA,0.95,8,"""pg. 1, Recap, Recruit, 'in 120 sec' beside dose, (2.083) beside radio freq, Age = 1yr. old, sticky notes: Recruit, Mother Radioed Same yr., Mike Assumed BSR of 1"""
2367-85874,MALL,344,wht oval,Lt bl oval,1997-06-25,176,N,2.08,8,1997-06-24,70,m,p,0.95,8,"""pg. 2, 'in 120 sec' beside dose"""
2367-85874,MALL,334?,wht oval,Lt bl oval,1997-06-25,176,Y?,2.08,8,1997-06-24,70,NA,p,0.95,8,"""pg. 3, 'in 120 sec' beside dose, same data but different nest # and fenced?"""
1107-16402,MALL,676,yel Y,Lt bl Y,1997-07-28,209,Y,2.45,5,1997-07-26,30,NA,p,1.1,5,"""pg. 1, Nest if E of N end Pd 67 69m, arrow from RT pointing to comment: Formerly Pink Y Yell tri (changed combo's), Age = 3yr. old, (Recap No Past Data), *Note 2443 MALL in Pd 25, sticky note: Reradioed lost brood nest 003/95"""
1107-16402,MALL,676,yel Y,Lt bl Y,1997-07-28,NA,NA,2.45,5,NA,NA,NA,NA,NA,5,"""pg. 2"""
1107-16402,MALL,NA,yel Y,Lt bl Y,1997-07-28,NA,NA,2.45,5,NA,NA,NA,NA,NA,5,"""pg. 3"""
1467-52342,MALL,48,wht Y,grn Y,NA,NA,NA,2.044,NA,1997-05-27,NA,m,p,0.7,NA,"""pg. 1, *Lost nest #048 on 28 May, Nest abandoned and or depredated, 'in 2min 40sec' beside dose"""
1467-52342,MALL,48,wht Y,grn Y,NA,NA,NA,2.044,NA,NA,NA,NA,NA,NA,NA,"""pg. 2"""
1467-52342,MALL,48,wht Y,grn Y,NA,NA,NA,2.043,NA,NA,NA,NA,NA,NA,NA,"""pg. 3"""
1467-52357,MALL,242,grn oval,Lt bl Y,1997-07-05,186,NA,2.461,8,1997-07-03,NA,NA,NA,NA,8,"""pg. 1, N of 3 (I think), SY is circled"""
1467-52357,MALL,242,grn oval,Lt bl Y,1997-07-05,186,NA,2.461,8,1997-07-03,NA,NA,NA,NA,8,"""pg. 2"""
1467-52363,MALL,491,org oval,wht square,1997-07-19,200,Y,2.417,10,1997-07-16,NA,NA,NA,NA,10?,"""pg. 1, bluff(?) south of captives, Age=2yr., Recruit"""
1467-55363,MALL,491,org oval,wht square,1997-07-19,200,Y,2.419,10,NA,NA,NA,NA,NA,10?,"""pg. 2, different band # and radio freq?"""
1467-52363,MALL,491,org oval,wht square,1997-07-19,NA,Y,2.419,10,NA,NA,NA,NA,NA,10?,"""pg. 3, band # was corrected, possibly brood observation entry"" 13 1434 4336 SWL 8IIa's"""
1467-52364,MALL,473,grn Y,Lt bl Y,1997-07-19,200,Y,2.221,10,1997-07-16,50,m,p,0.8,10,"""pg. 1, W of pd 33, age>=2yr."""
1467-52364,MALL,473,grn Y,Lt bl Y,1997-07-19,200,NA,2.221,10,NA,NA,NA,NA,NA,10,"""pg. 2"""
2367-85844,MALL,85,grn tri,Lt bl square,1997-05-31,151,Y,2.204,13?,1997-05-28,NA,m,p,NA,13,"""pg. 1, arrow pointing to # hatched: check #85 w/ BCG, Age=>= 2yr., possible brood observation entry: '11 June 0800 Pd 65 SW side SWL 13Ib's swimming away from us Y 100% hot/shitty'"""
2367-85844,MALL,85,grn tri,Lt bl square,1997-05-31,151,Y,2.204,13,1997-05-28,NA,NA,p,NA,13,"""pg. 2"""
2367-85844,MALL,85,grn tri,Lt bl square,1997-05-31,151,NA,2.204,13,1997-05-28,NA,NA,NA,NA,13,"""pg. 3, possible brood observation entry: '24 Jun Pd 65 wide KLG/EMS/PCG 13 IIa's loafing 100 yes truck scattered clouds"""
2367-85846,MALL,9,org tri,yel O,1997-06-02,153,Y,2.164,11,1997-05-30,60+,m,p,1.35,11,"""pg. 1, (NW Pd 14) beside nest #, NW pd 14 nest # 009 under fenced, Age = >= 2yr."""
2367-85846,MALL,9,org tri,yel O,1997-06-02,153,Y,2.164,11,1997-05-30,NA,NA,NA,NA,11,"""pg. 2"""
2367-85846,MALL,9,org tri,yel O,1997-06-02,153,NA,2.164,11,NA,NA,NA,NA,NA,11,"""pg. 3"""
2367-85846,MALL,9,org tri,yel O,1997-06-02,153,NA,2.164,11,NA,NA,NA,NA,NA,11,"""pg. 4"""
2367-85852,MALL,150,grn tri,Lt bl oval,1997-06-05,156,NA,2.632,8,1997-06-02,60+,m,p,1,7,"""pg. 1, 'island' beside nest #, *see nest sheet for egg #8 beside # leaving nest, (leaving f) under # leaving nest, Age=>= 1yr."""
2367-85852,MALL,150,grn tri,Lt bl oval,1997-06-05,156,NA,2.632,8,1997-06-02,NA,NA,NA,1,7,"""pg. 2, ISL beside nest #, *see nest sheet for #8 beside # leaving nest"""
2367-85852,MALL,150,grn tri,Lt bl oval,1997-06-05,156,NA,2.632,8,NA,NA,NA,NA,NA,7,"""pg. 3, ISL beside nest #, possible brood observation entry: 1 Jul SW Labreque's 5IIb's Loafing SW shore"""
2367-85857,MALL,164,grn tri,yel square,1997-06-08,159,Y,2.724,11 or 10,1997-06-05,45,m,p,0.95,10,"""pg,. 1, pd 33, Age = >= 2yr. is circled, possible brook observation entry: 5 1810  nest SWL Loc"""
2367-85857,MALL,164,grn tri,yel square,1997-06-08,159,Y,2.724,11,1997-06-05,45,NA,p,0.95,10,"""pg. 2, (check if in banding book) at top of page"""
2367-85857,MALL,164,grn tri,yel square,1997-06-08,159,Y,2.724,11,1997-06-05,45,NA,p,0.95,10,"""pg. 3"""
2367-85870,MALL,261,org square,grn oval,1997-06-24,175,Y,2.8,11,1997-06-22,40,m,p,1,11,"""pg. 1, 'ask SWL re/ follow up' beside # hatched and # leaving nest, Age = 1 yr. old"""
2367-85870,MALL,261,org square,grn oval,1997-06-24,175,Y,2.8,11,1997-06-22,40,NA,p,1,11,"""pg. 2"""
2367-85870,MALL,261,org square,grn oval,1997-06-24,175,NA,2.8,11,NA,NA,NA,NA,NA,11,"""pg. 3"""
2367-85878,MALL,206,wht square,grn oval,1997-07-01,182,NA,2.681,8,1997-06-27,47,NA,NA,NA,8,"""pg. 1, 'RGC?' in drug dose, ISL beside nest #, age = >= 1yr."""
2367-85878,MALL,206,wht square,grn oval,1997-07-01,182,NA,2.681,8,1997-06-27,47,NA,NA,NA,8,"""pg. 2, '?' in drug dose, ISL beside nest #"""
2367-85878,MALL,206,wht square,grn oval,1997-07-01,182,NA,2.681,8,NA,NA,NA,NA,NA,8,"""pg. 3, ISL beside nest #"""
2367-85885,MALL,631,Lt bl tri,grn square,1997-07-18,199,NA,2.481,9,1997-07-12,NA,NA,p,1.6,9,"""pg. 1, age = >= 2 yr. old, island (11 eggs) beside nest #"""
2367-85885,MALL,631,Lt bl tri,grn square,1997-07-18,199,NA,2.481,9,NA,NA,NA,NA,NA,9,"""pg. 2, 'island' beside nest #"""
2367-85885,MALL,631,Lt bl tri,grn square,1997-07-18,199,NA,2.481,9,NA,NA,NA,NA,NA,9,"""pg. 3, 'isl.' beside nest #"""
2367-85892,MALL,645,Lt bl O,wht tri,1997-07-23,204,Y,2.443,8,1997-07-21,30,NA,p,1,7,"""pg. 1, '1 dead @ nest' below # hatched, Age =>= 2 yr. old"""
2367-85892,MALL,645,Lt bl O,wht tri,1997-07-23,204,NA,2.443,8,NA,NA,NA,NA,NA,7,"""pg. 2"""
2367-85892,MALL,NA,Lt bl O,wht tri,1997-07-23,NA,NA,2.443,NA,NA,NA,NA,NA,NA,NA,"""pg. 3"""
2367-85895,MALL,673,grn tri,yel O,NA,NA,Y,2.774,NA,1997-07-24,NA,NA,NA,NA,NA,"""W of captives"""
1107-16402,MALL,676,yel Y,Lt bl Y,NA,NA,NA,2.45,NA,NA,NA,NA,NA,NA,NA,"""mauser #1"""
1107-16462,MALL,125,brn oval,Lt bl oval,NA,NA,NA,2.02,NA,NA,NA,NA,NA,NA,NA,"""mauser #2, 'ISL'"""
1467-52342,MALL,48,wht Y,grn Y,NA,NA,NA,2.044,NA,NA,NA,NA,NA,NA,NA,"""mauser #3"""
2367-85874,MALL,344,wht oval,Lt bl oval,NA,NA,NA,2.081,NA,NA,NA,NA,NA,NA,NA,"""mauser #4, 'ISL'"""
2367-85846,MALL,9,org tri,yel O,NA,NA,NA,2.164,NA,NA,NA,NA,NA,NA,NA,"""mauser #5"""
2367-85844,MALL,85,grn tri,Lt bl square,NA,NA,NA,2.204,NA,NA,NA,NA,NA,NA,NA,"""no mauser #"""
1107-16481,MALL,140,grn C,Lt bl tri,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,"""mauser #6, 'ISL'"""
2367-85860,MALL,126,Lt bl tri,yel C,NA,NA,NA,2.32,NA,NA,NA,NA,NA,NA,NA,"""mauser #7, 'ISL'"""
NA,MALL,NA,wht C,wht C,NA,NA,NA,2.343,NA,NA,NA,NA,NA,NA,NA,"""mauser #8"""
2367-85860,MALL,530,grn square,Lt bl square,NA,NA,NA,2.37,NA,NA,NA,NA,NA,NA,NA,"""mauser #9"""
NA,MALL,NA,NA,NA,NA,NA,NA,2.421,NA,NA,NA,NA,NA,NA,NA,"""mauser #10"""
2367-85892,MALL,NA,Lt bl O,wht tri,NA,NA,NA,2.443,NA,NA,NA,NA,NA,NA,NA,"""mauser #11"""
1467-52357,MALL,NA,grn O,Lt bl tri,NA,NA,NA,2.461,NA,NA,NA,NA,NA,NA,NA,"""mauser #12"""
2367-85885,MALL,631,Lt bl tri,grn square,NA,NA,NA,2.48,NA,NA,NA,NA,NA,NA,NA,"""mauser #13, 'isl'"""
2367-85884,MALL,489,Lt bl O,yel oval,NA,NA,NA,2.532,NA,NA,NA,NA,NA,NA,NA,"""mauser #14"""
1107-16406,MALL,NA,brn square,org square,NA,NA,NA,2.551,NA,NA,NA,NA,NA,NA,NA,"""mauser #15"""
NA,MALL,NA,NA,NA,NA,NA,NA,2.57,NA,NA,NA,NA,NA,NA,NA,"""mauser #16"""
1107-16499,MALL,403,wht tri,grn square,NA,NA,NA,2.611,NA,NA,NA,NA,NA,NA,NA,"""mauser #17"""
2367-85852,MALL,150,grn tri,Lt bl oval,NA,NA,NA,2.631,NA,NA,NA,NA,NA,NA,NA,"""mauser #18, 'ISL'"""
2367-85878,MALL,206,wht square,grn oval,NA,NA,NA,2.681,NA,NA,NA,NA,NA,NA,NA,"""mauser #19, 'ISL'"""
NA,MALL,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,"""mauser #20"""
2367-85857,MALL,164,grn tri,yel square,NA,NA,NA,2.724,NA,NA,NA,NA,NA,NA,NA,"""mauser #21"""
2367-85879,MALL,NA,wht O,Lt bl O,NA,NA,NA,2.742,NA,NA,NA,NA,NA,NA,NA,"""mauser #22"""
2367-85895,MALL,NA,grn tri,yel C,NA,NA,NA,2.774,NA,NA,NA,NA,NA,NA,NA,"""mauser #23"""
2367-85870,MALL,261,org square,grn oval,NA,NA,NA,2.801,NA,NA,NA,NA,NA,NA,NA,"""mauser #24"""
2367-85880,MALL,402,Lt bl O,wht O,NA,NA,NA,2.823,NA,NA,NA,NA,NA,NA,NA,"""mauser #25, 'ISL'"""
1467-52364,MALL,NA,grn Y,Lt bl Y,NA,NA,NA,2.221,NA,NA,NA,NA,NA,NA,NA,"""mauser"""
NA,MALL,NA,NA,NA,NA,NA,NA,2.06,NA,NA,NA,NA,NA,NA,NA,"""implant #1"""
NA,MALL,NA,NA,NA,NA,NA,NA,2.13,NA,NA,NA,NA,NA,NA,NA,"""implant #2"""
1467-52235,MALL,NA,wht O,org Y,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA,"""implant #3"""
1667-55363,MALL,NA,org oval,wht square,NA,NA,NA,2.417,NA,NA,NA,NA,NA,NA,NA,"""implant"""
1016-61301,GADW,NA,grn Y,org square,NA,NA,NA,2.84,NA,NA,NA,NA,NA,NA,NA,"""mauser #26"""
1016-61319,GADW,NA,yel tri,grn tri,NA,NA,NA,2.86,NA,NA,NA,NA,NA,NA,NA,"""mauser #27, number is circled"""
NA,GADW,NA,NA,NA,NA,NA,NA,2.881,NA,NA,NA,NA,NA,NA,NA,"""mauser #28"""
1016-61318,GADW,NA,yel Y,grn square,NA,NA,NA,2.899,NA,NA,NA,NA,NA,NA,NA,"""mauser # 29"""
1016-61315,GADW,NA,yel oval,grn oval,NA,NA,NA,2.921,NA,NA,NA,NA,NA,NA,NA,"""mauser #30"""
1016-75368,GADW,NA,yel tri,pink tri,NA,NA,NA,2.98,NA,NA,NA,NA,NA,NA,NA,"""mauser"""
1016-61310,GADW,NA,org square,grn O,NA,NA,NA,2.95,NA,NA,NA,NA,NA,NA,NA,"""mauser #31"""
1016-61521,GADW,NA,Lt bl tri,wht square,NA,NA,NA,2.97,NA,NA,NA,NA,NA,NA,NA,"""mauser #32"""
1016-61318,GADW,641,yel Y,grn square,NA,NA,NA,2.99,NA,NA,NA,NA,NA,NA,NA,"""mauser #33"""
1016-72003,GADW,NA,org O,grn tri,NA,NA,NA,3.08,NA,NA,NA,NA,NA,NA,NA,"""mauser #34"""
896-75297,GADW,NA,grn oval,yel square,NA,NA,NA,3.03,NA,NA,NA,NA,NA,NA,NA,"""mauser #35"""
686-13987,GADW,485,yel O,wht Y,NA,NA,NA,3.051,NA,NA,NA,NA,NA,NA,NA,"""mauser #36"""
896-75373,GADW,NA,grn square,yel tri,NA,NA,NA,3.079,NA,NA,NA,NA,NA,NA,NA,"""mauser #37, number is circled"""
686-13952,GADW,314,org circle,vio square,NA,NA,NA,3.169,NA,NA,NA,NA,NA,NA,NA,"""mauser #38"""
686-13998,GADW,260,Lt bl tri,wht O,NA,NA,NA,3.09,NA,NA,NA,NA,NA,NA,NA,"""mauser #39, number is checked off"""
896-75267,GADW,NA,yel tri ,org tri,NA,NA,NA,2.302,NA,NA,NA,NA,NA,NA,NA,"""mauser #40, radio freq was quite ineligible but put down '2.302' as it was what could be read"
686-13984,GADW,462,Lt bl square,wht tri,NA,NA,NA,3.141,NA,NA,NA,NA,NA,NA,NA,"""mauser #41"""
686-13983,GADW,NA,org tri,yel square,NA,NA,NA,3.159,NA,NA,NA,NA,NA,NA,NA,"""mauser # 42"""
686-13986,GADW,252,wht O,Lt bl Y,NA,NA,NA,3.18,NA,NA,NA,NA,NA,NA,NA,"""mauser #43"""
NA,GADW,NA,NA,NA,NA,NA,NA,3.202,NA,NA,NA,NA,NA,NA,NA,"""mauser #44"""
686-13981,GADW,555,wht circle,Lt bl circle,NA,NA,NA,3.222,NA,NA,NA,NA,NA,NA,NA,"""mauser #45, number is checked off"""
NA,GADW,NA,NA,NA,NA,NA,NA,3.261,NA,NA,NA,NA,NA,NA,NA,"""mauser ""46"""
686-13994,GADW,391,org tri,grn O,NA,NA,NA,3.281,NA,NA,NA,NA,NA,NA,NA,"""mauser #47"""
1016-72005,GADW,NA,org oval,grn square,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,"""mauser #48, number is circled"""
1016-61316,GADW,NA,grn tri,org tri,NA,NA,NA,3.321,NA,NA,NA,NA,NA,NA,NA,"""mauser #49"""
686-13991,GADW,347,Lt bl O,wht tri,NA,NA,NA,3.34,NA,NA,NA,NA,NA,NA,NA,"""mauser #50, number is circled"""
686-13995,GADW,324,org tri,grn square,NA,NA,NA,3.361,NA,NA,NA,NA,NA,NA,NA,NA
686-13992,GADW,256,grn O,org square,NA,NA,NA,3.38,NA,NA,NA,NA,NA,NA,NA,NA
1016-72011,GADW,NA,org square,grn tri,NA,NA,NA,3.198,NA,NA,NA,NA,NA,NA,NA,NA
1016-61311,GADW,NA,yel Y,grn O,NA,NA,NA,2.132,NA,NA,NA,NA,NA,NA,NA,NA
1016-61324,GADW,660,grn oval,org tri,NA,NA,NA,2.462,NA,NA,NA,NA,NA,NA,NA,NA
