band_num,species,nest_num,nasalTags_LT,nasalTags_RT,date_hatched,ordinal_hatched,fenced,radio_freq,num_hatched,date_trapped,handling_time_min,implant_mauser,drug_pm,dose_cc,num_leaving_nest,comments
686-13983,GADW,349,org tri,yell square,1997-07-01,182,NA,3.159,8,1997-06-30,35-45,NA,NA,NA,8,"""pg. 1, 'island NE' below band #, Age >= 4yrs, Recap"""
686-13983,GADW,349,org tri,yell square,1997-07-01,182,NA,3.159,8,1997-06-30,35-45,m,p,NA,8,"""pg. 2"""
686-13983,GADW,349,org tri,yell square,1997-07-01,182,NA,3.159,8,1997-06-30,NA,NA,NA,NA,8,"""pg. 3"""
686-13983,GADW,349,org tri,yell square,1997-07-01,182,NA,3.159,NA,NA,NA,NA,NA,NA,NA,"""pg. 4"""
686-13984,GADW,462,Lt bl square,Wht tri,1997-07-08,189,Y,3.141,11,1997-07-02,NA,NA,NA,NA,11,"""pg. 1, (39) beside radio freq, 'S of captives' below band #, Age = 1yr., Recruit"""
686-13984,GADW,462,Lt bl square,Wht tri,1997-07-08,189,Y,3.141,11,1997-07-02,NA,NA,NA,NA,11,"""pg. 2, possibly brood observation entry: 319 nht 1428 pd 35 MG loc AUG 1 @ 0945 pd 35 STR 9b/c's -swam out from willows on NE side, no influence."""
686-13984,GADW,462,Lt bl square,Wht tri,1997-07-08,189,Y,3.141,11,1997-07-02,NA,NA,NA,NA,11,"""pg. 3"""
NA,GADW,NA,Lt bl square,Wht tri,NA,NA,NA,3.141,NA,NA,NA,NA,NA,NA,NA,NA
686-13992,GADW,256,grn O,org square,1997-07-07,188,NA,3.38,7,1997-07-05,NA,NA,p,NA,7,"""pg. 1, 'NW of Quonset(?)'"""
686-13992,GADW,256,grn O,org square,1997-07-07,188,NA,3.38,7,NA,NA,NA,NA,NA,7,"""pg. 2, possibly brood obsservation entry: 31 July 1429 pd 25 MG Loc, 01 Aug 1045 pd 25 STR 71b/c's -swam across thin. veg. at NW end, no influence"
686-13992,GADW,256,grn O,org square,1997-07-07,188,NA,3.38,7,1997-07-05,NA,NA,p,NA,7,"""pg. 3"""
NA,GADW,NA,grn O,org square,NA,NA,NA,3.38,NA,NA,NA,NA,NA,NA,N,NA
686-13994,GADW,395,org tri,grn O,1997-07-06,187,NA,3.281,10,1997-07-05,NA,NA,NA,NA,10,"""pg. 1, 'W of pd 92' below band #"""
686-13994,GADW,395,org tri,grn O,1997-07-06,187,NA,3.281,10,NA,NA,NA,NA,NA,10,"""pg. 2, 'W of pd 92' below band #"""
686-13994,GADW,395,org tri,grn O,1997-07-06,187,NA,3.281,10,NA,NA,NA,NA,NA,10,"""pg. 3"""
686-13995,GADW,324,org tri,grn square,1997-07-09,190,N,3.361,10,1997-07-07,35,NA,NA,0.85?,10,"""pg. 1, (59) beside radio freq, 'island' below nest #"""
686-13995,GADW,324,org tri,grn square,1997-07-09,190,N,3.361,10,NA,NA,NA,NA,NA,10,"""pg. 2"""
686-13995,GADW,324,org tri,grn square,1997-07-09,190,N,3.361,10,NA,NA,NA,NA,NA,10,"""pg. 3"", sticky note on page: 'SWL update 97"""
896-75267,GADW,662,yel tri,org tri,1997-08-07,219,N,2.302,8,1997-08-04,60,m,p,1.1,8,"""(Mall Mauser) beside nest #, SSE pd 92, 'in 120 sec' beside dose"""
896-75267,GADW,NA,yel tri,org tri,1997-08-07,NA,NA,2.302,8,NA,NA,NA,NA,NA,8,"""last seen 8Ibs (18 Aug)"""
896-75368,GADW,399,yel tri,pink tri,1997-07-05,186,Y,2.978,11,1997-07-01,NA,NA,NA,NA,11,"""pg. 1, Recap No past brood info"""
896-75368,GADW,399,yel tri,pink tri,1997-07-05,186,Y,2.978,11,1997-07-01,NA,NA,NA,NA,11,"""pg. 2, possible brood observation entry: Aug 1 1020 6672 NW shore MG Loc"""
896-75368,GADW,399,yel tri,pink tri,1997-07-05,186,Y,2.978,11,1997-07-01,NA,NA,NA,NA,11,"""pg. 3"""
896-75368,GADW,NA,yel tri,pink tri,NA,NA,NA,2.978,NA,NA,NA,NA,NA,NA,NA,NA
