band_num,species,nest_num,nasalTags_LT,nasalTags_RT,date_hatched,ordinal_hatched,fenced,radio_freq,num_hatched,date_trapped,handling_time_min,implant_mauser,drug_pm,dose_cc,num_leaving_nest,comments
1107-16329,MALL,63,Lt. blue tri,wht Y,NA,NA,NA,172.67,NA,NA,NA,m,NA,NA,NA,"""‘destroyed’ June 27, pg. 1"""
1107-16329,MALL,NA,Lt. blue tri,wht Y,NA,NA,NA,2.67,NA,NA,NA,NA,NA,NA,NA,"""pg. 2"""
1107-16329,MALL,42,Lt. bl. tri,wt. Y,NA,NA,NA,3.089,NA,NA,NA,m,NA,NA,NA,""">= 3 yrs., ""Harriot"", Hatched, '#06' circled, remauser(?), pg. 1"""
1107-16329,MALL,42,Lt. bl. tri,wt. Y,NA,NA,NA,3.089,NA,NA,NA,m,NA,NA,NA,"""219 July, ""Harriot"", pg. 2"""
1467-52311,MALL,9,orange Y,green tri,1994-05-25,145,NA,2.098,NA,NA,NA,i,NA,NA,NA,"""(145) beside hatch date, f dead, pg. 1"""
1467-52311,MALL,NA,orange Y,green tri,NA,NA,NA,2.098,NA,NA,NA,NA,NA,NA,NA,"""lost brood, re-nested (lost 2nd nest), W of pd 25 SL in faint writing"""
1467-52311,MALL,NA,orange Y,green tri,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,"""lost brood, re-nested (lost 2nd nest), Est. hatch date Aug. 8, 19 July on nest on Island, pg. 3"""
1107-16326,MALL,62,Lt. bl. tri,yel. Y,1994-06-08,NA,NA,172.17,9,NA,NA,i,NA,NA,NA,"""(2166-2170) under radio frequency, entered BSR overall non radio, Recruit 93, pg. 1"""
NA,MALL,NA,Lt. bl. tri,yel. Y,NA,NA,NA,2.17,NA,NA,NA,NA,NA,NA,NA,"""Nest on Island, Never yet a sighting, pg. 2"""
NA,MALL,NA,Lt. bl. tri,yel. Y,NA,NA,NA,2.17,NA,NA,NA,NA,NA,NA,NA,"""Never yet a sighting with ducklings, pg. 3"""
1107-16341,MALL,208,brown Y,brown tri,1994-07-31,211,NA,2.21,NA,NA,NA,i,NA,NA,NA,NA
1107-16330,MALL,142,brown Y,brown Y,1994-07-11,192,NA,2.22,NA,NA,NA,i,NA,NA,NA,"""pg. 1"""
1107-16330,MALL,142,brown Y,brown Y,NA,NA,NA,2.22,NA,NA,NA,NA,NA,NA,NA,"""Last seen Aug 7, 1230-1430 under radio frequency, 5IIA's(?), Pd 76 MD, pg. 2"""
1447-40124,MALL,105,Lt. bl. tri,orange square,NA,195,NA,2.23,NA,NA,NA,i,NA,NA,NA,"""pg. 1"""
1447-40124,MALL,NA,Lt. bl. tri,orange square,NA,NA,NA,2.23,NA,NA,NA,NA,NA,NA,NA,"""16 Aug, 1225, 8IIB's (probably not hers), NE of :abreques (Acting Broody) SL, pg. 2"""
1107-16332,MALL,200,brown O,brown O,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,"""DEAD!!"""
1107-16334,MALL,162,brown square,brown square,NA,NA,NA,2.92,NA,NA,NA,m,NA,NA,NA,"""M and Depredated written on far-left side of page, *try 2918 under radio frequency"""
1107-16325,MALL,17,orange square,Lt. blue tri,1994-05-29,NA,NA,2.78,NA,NA,NA,m,NA,NA,NA,""" and 2.190 under radio frequency, pg. 1"""
1107-16325,MALL,217,orange square,Lt. blue tri,1994-05-29,NA,NA,2.19,NA,NA,NA,NA,NA,NA,NA,"""*New frequency 2.190* (New nest #217), (Lost brood) beside hatched date, (old) besides Nest #17, W of Pd 25 SL, pg. 2"""
1107-16325,MALL,217,orange square,Lt. blue tri,1994-07-30,NA,NA,2.19,NA,NA,NA,NA,NA,NA,NA,"""E of Pd 35, pg. 3"""
1107-16333,MALL,943,brown tri,brown O,1994-07-15,196,NA,2.65,NA,NA,NA,m,NA,NA,NA,"""Arthur Denis above nest #, pg. 1"""
1107-16333,MALL,943,brown tri,brown O,1994-07-15,NA,NA,2.65,NA,NA,NA,NA,NA,NA,NA,"""July 21, 1545, 5 is circled, 5of 5338 JF/CJ, pg. 2"""
1467-52317,MALL,48,wht square,Lt. blue tri,1994-05-27,147,NA,2.788,NA,NA,NA,m,NA,NA,NA,"""1 is circled, has sticky note attached to page saying 'Recruit from 94 Brood New BSdata' with band #, pg. 1"""
1467-52317,MALL,48,wht square,Lt. blue tri,1994-05-27,NA,NA,2.788,NA,NA,NA,NA,NA,NA,NA,"""21 June, 0835, 3 ducklings, Pd 90 NWside LH, pg. 2"""
1467-52317,MALL,48,wht square,Lt. blue tri,1994-05-27,NA,NA,2.788,NA,NA,NA,NA,NA,NA,NA,"""21 June, 0835, 3 ducklings, Pd 90 NWside LH, pg. 3"""
1107-16402,MALL,3,pink Y,yel. tri,NA,151,NA,3.057,NA,NA,NA,m,NA,NA,NA,"""*(Lost brood), Hatched, 'Recruit' on sticky note, Recruit STD 2656, SY is circled, pg. 1"""
1107-16404,MALL,174,green oval,yel. Y,1995-07-16(?),NA,NA,3.107,NA,NA,NA,m,NA,NA,NA,"""""Hatched"", FOUND DEAD 1996, *[2yr old recruit], #26 is circled, pg. 1 of 2"
1107-16404,MALL,NA,green oval,yel. Y,NA,NA,NA,3.107,NA,NA,NA,m,NA,NA,NA,"""pg. 2 of 2"""
1107-16397,MALL,182,pink square,wht square,NA,173,NA,3.017,NA,NA,NA,m,NA,NA,NA,"""Hatched, 'Try for visual as well' crossed off, #15 is circled, pg. 1"""
1107-16397,MALL,182,pink square,wht square,NA,NA,NA,3.017,NA,NA,NA,m,NA,NA,NA,"""pg. 2"""
1107-16388,MALL,54,pink circle,pink circle,NA,202,NA,3.067,NA,NA,NA,m,NA,NA,NA,"""1st *Nest Depredated, 2nd Nest hatched, #05 and >= 2yrs are circled, 'and nest 251' added beside nest # (2nd nest?), pg. 1"""
1107-16388,MALL,54,pink circle,pink circle,NA,NA,NA,3.067,NA,NA,NA,m,NA,NA,NA,"""check nest 18/19 July, *nest depredated, *triangulate, #05 is circled, pg. 2"""
1107-16396,MALL,918,pink oval,pink oval,NA,NA,NA,3.08,NA,NA,NA,m,NA,NA,NA,""">= 2yrs., #14 is circled, 'SR Look for her S of Boussierre's (Visual) is crossed off, pg. 1"""
1107-16395,MALL,92,pink square,pink square,NA,NA,NA,3.128,NA,NA,NA,m,NA,NA,NA,"""*nest depredated June 21/95, >= 2yrs, #13 is circled, 95 crossed off for nest # and replaced with 92, pg. 1"""
1107-16395,MALL,95(?),pink square,pink square,NA,NA,NA,3.128,NA,NA,NA,m,NA,NA,NA,"""pg. 2"""
1107-16401,MALL,254,green oval,yellow oval,NA,NA,NA,3.208,NA,NA,NA,i,NA,NA,NA,"""Cest fini pour la femme!, *f killed 10 July/95, >= 2yrs, #22 is circled"""
1107-16394,MALL,124,pink tri,pink tri,1995-07-16(?),NA,NA,2.269,NA,NA,NA,i,NA,NA,NA,"""16 July in faint writing (hatch date?), *f dead 1996, #12 is circled, >= 2yrs, 'Island' next to nest # (loc?), pg. 1 of 1"""
,,,,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,,,,
