band_num,species,nest_num,nasalTags_LT,nasalTags_RT,date_hatched,ordinal_hatched,fenced,radio_freq,num_hatched,date_trapped,handling_time_min,implant_mauser,drug_pm,dose_cc,num_leaving_nest,comments
1107-16341,MALL,160,yellow square,orange square,NA,NA,y,2.66,NA,1996-06-11,150,i,p,5 cc,NA,fenced 1996-06-11; depredated
1107-16395,MALL,361,pink square,pink square,1996-07-21,NA,n,2.034,9,1996-07-20,>90,m,p,NA,9,
1107-16461,MALL,25,br oval,wt oval,NA,NA,n,172.288,NA,1996-05-31,<102,i,p,NA,NA,map: M25; depredated
1107-16470,MALL,33,or circle,or circle,1996-06-13,NA,n,2.333,8,1996-06-10,<30,m,m,,8,island written randomly
1107-16484,MALL,169,gr oval,yell oval,1996-07-01,NA,n,2.243,9,1996-06-29,110,m,p,0.7 in 130 sec,9,8 of 9 webtagged
1107-16487,MALL,374,lt bl triangle,wht triangle,NA,NA,y,2.78,NA,1996-07-05,95,i,p,3.2,NA,"radioed, BR reared; N pd90"
1107-16489,MALL,180,wht square,green square,1996-07-07,NA,y,2.313,11,1996-07-06,NA,m,NA,NA,11,final count aug 7
1107-16490,MALL,403,lt bl circle,yell square,NA,NA,y,2.09,NA,1996-07-10,NA,i,p,NA,NA,maples@quonset
1107-16496,MALL,415,white circle,green square,NA,NA,y,2.162,NA,1996-07-18,70,m,p,0.75 in 90 sec,NA,"NE quanset, SE pd17"
1107-16497,MALL,422,white square,green circle,1996-07-22,NA,n,2.185,8,1996-07-18,60,m,p,0.65 in 80 sec,8,204 day of year(when hatched)
1467-52310,MALL,460,org triangle,wht triangle,1996-08-16,NA,y,3.303,5,1996-08-09,40,m,p,2 cc,5,"NW of 68, N of drangon's head, fenced @catchdate; recap from 1992"
1467-52336,MALL,127,lt bl circle,gr Y,1996-07-04,NA,NA,3.28,4,1996-07-01,NA,i,p,NA,4,pd50; 186 day of year when hatched
1467-52337,MALL,206,gr oval,yell Y,1996-07-08,NA,NA,3.21,8,1996-07-01,NA,i,p,NA,8,island W side; out of 8 only 5 webtagged; brood may have been removed while webtagging; 190 day of year when hatched
1467-52339,MALL,405,brn Y,brn triangle,1996-07-08,NA,y,2.2,8,1996-07-03,NA,i,p,NA,8,missed webtagging; in maples Naj trial at main gate; USE 2199(freq)
1467-52340,MALL,226,yell oval,purp circle,1996-07-10,NA,NA,3.047,8,1996-07-08,NA,m,p,1.4 cc,5,"3 eaten @ nest bowl(RGC); 9 eggs- 1 probably depredated, only 8 hatched; DSR? written on sticky note"
1467-52341,MALL,187,wht circle,grn circle,1996-07-12,NA,y,3.24,6,1996-07-08,NA,i,NA,NA,6,N tres box # 4
1467-52343,MALL,436,wht triangle,grn triangle,1996-07-30,NA,NA,3.112,8,1996-07-28,45,m,p,2 cc,8,nest N of pd3; DSR? on sticky note 
2367-45802,MALL,453,lt bl Y,grn circle,1996-08-07,NA,y,2.09,9,1996-08-02,NA,i,p,5.1 in 10 min,9,SE pd73; 7 aug 2000 W side 5338 RGC LOC written
