 ,,,,date_resighted,location,observer,status,comments
896-75303,1996,08,22,,Pd W of Boussiers,RGC,with brood; number unknown,NA
896-75303,1996,07,14,,Pd5358,VL,PR,"""@1612"""
896-75303,1996,07,20,,Pd1,JM,with female and 16IA's,NA
896-75303,1996,07,23,,Pd906,STR,with 7Ia ,"""@0925"""
896-75303,1996,07,30,,Pd6136 Bouisier's Pd,SWL,with 7Ib,"""@1405"""
896-75303,1997,01,05,,Salvador Ref Louisiana,NA,Shot,NA
896-75352,1996,05,30,,Pd35,MG/CDS,PR,"""@11:30"""
896-75369,1996,07,14,,Pd6954,STR,w 2Ia,"""@1045"""
896-75369,1996,07,20,,Pd6954,MG,w 2Ia-b,NA
896-75369,1996,07,29,,Pd6954,VL,w 2IIa,"""@1129"""
896-75369,1996,08,09,,Pd6954,SWL,w 2IIa,"""@1145"""
896-75369,1997,04,25,,E of 94,MG,PR,"""@AM"""
896-75369,1997,04,25,,E of 94,SWL,PR,"""@0930"""
896-75369,NA,NA,NA,,Arkansas ,NA,Shot,"""female shot"""
896-75371,1996,07,12,,N274,NA,Partial Dep.,NA
896-75371,1996,07,15,,Pd67,STR,w3Ia,"""@1550; 5. year old"""
896-75371,1996,07,18,,Pd67,STR,w3Ia,"""@1740"""
896-75371,1996,07,23,,Pd67,STR,w3Ib,"""@1425"""
896-75371,1997,05,09,,Pd67,MG,PR,NA
896-75371,1997,06,17,,Pd65,MG,PR,"""@1717"""
896-75371,1997,06,23,,Pd79E,JJK,PR,"""@1222"""
896-75371,1997,06,27,,Pd79E,JJK,PR,"""@1123"""
896-75371,1997,06,28,,Pd79E,RGC,PR,"""@1500"""
896-75371,1997,07,07,,Pd1,MG,PR,NA
896-75371,1997,07,23,,Pd5338,STR,PR,"""@0845"""
896-75372,1996,07,14,,Pd1E,STR,PR,"""@1430"""
896-75372,1996,07,21,,Nest,NA,2 may have hatched,NA
896-75372,1997,05,09,,71,EMS/DS,PR,"""@am""; Location type not specified"
896-75372,1997,05,09,,65,MG,PR,"""@am"";Location type not specified"
896-75372,1997,05,23,,Pd1,RGC,PR,NA
896-75372,1997,06,17,,Pd1,JJK,PR,"""@1130"""
896-75372,1997,06,22,,Pd1,SWL,PR,"""@1015"""
896-75372,1997,06,21,,Pd1,RGC,PR,"""@0945"""
896-75372,1997,07,19,,Pd1,SWL,w21Ib; 1 N/t female,"""@0949"""
896-75372,1997,07,28,,Pd1,RGC,w23Ia-b;21IIa; BROWHOUAL; WHOUAL LBOUAL; BROWHtriangle; 2x female N/t,NA
896-75372,1997,09,08,,Pd1,RGC,w48LESC,"""@1630"""
896-75372,1997,08,07,,Pd1,MG,w50-51 IIa-IIb; whoval LBoual; BROWHtriangle; 2 female N/t,N/A
896-75372,1997,08,11,,Pd1,SWL,26 Ic's; female N/t,N/A
896-75372,1997,07,23,,Pd1,SWL,w28Ia-b; 3 female N/t,"""@0750"""
896-75372,1997,08,20,,Pd1,SWL,w51 IIa-b; 1 other female N/t,"""@1050"""
896-75372,1998,04,27,,Pd1,SWL,w5 males,"""@1050"""
896-75374,1996,07,24,,Skomar's Pd,VL,w6Ia,"""@1830"""
896-75374,1996,07,28,,Skomar's Pd,SF,w6Ic,"""@1724"""
896-75375,1996,07,18,,Pd67,StR,w8Ia,"""@1740"""
896-75375,1996,08,09,,Pd125s,SWL,10IIa; 1IIc,"""@1631"""
896-75375,1996,08,13,,Pd125s,SWL,w10IIa-1Ic,"""@1631"""
896-75375,1997,06,15,,Pd125N,SWL,PR,"""@1140"""
896-75375,1997,06,02,,Pd125N,SWR,PR,"""@0835"""
896-75376,1996,08,13,,Pd1,SWL,w greater than or equal to 10IIa and 2 other females with 21 ducklings,NA
896-75376,1996,08,22,,Pd67,RGC,w 6III,"""@ approx 0830"""
896-75376,1996,08,18,,Pd1,SWL,w20IIb,"""@ 131"""
896-75376,1997,05,01,,Pd1,EMS,PR,"""@1555"""
896-75376,1997,05,29,,Pd20,MG,PR,"""@1821"""
896-75376,1997,06,06,,Pd67,SWL,PR,"""@1644"""
896-75376,1997,06,29,,N341,SWL,100% I.D.,"""@1324"""
896-75376,1997,07,22,,Pd25,EMS,?,"""?"""
896-75376,1997,07,31,,Pd4717,STR,flocked up,"""@1215"""
896-75376,1997,07,26,,"2 pds N of 2943; 1/2 mi N, 1/4 mi 4 of Arthur's House",SWL,flocked up!,"""@1433"""
896-75376,1997,07,08,,NA,NA,NA,"""nest Aban/Depred!"""
896-75376,1998,05,19,,Pd1N,RGC,PR,"""@1310"""
896-75376,1998,06,15,,Pd1W,EMS,PR,"""@1640"""
896-75376,1998,06,15,,Pd1W,JGS,PR,"""@1650"""
896-75376,1999,06,11,,Pd50,SWL,PR,"""@0826"""
896-75376,2000,05,12,,Pd6951,RGC,PR,"""VG"""
896-75377,1996,07,23,,Pd67,STR,10Ia,"""@1425"""
896-75377,1996,08,21,,Pd26,MG,9IIB,"""@1100"" "
896-75377,1997,06,06,,Pd67,SWL,PR,"""@1637"""
896-75377,1997,06,10,,Pd67,JS,PR,"""@1755"""
896-75377,1997,06,17,,Pd67,SWL,PR,"""@1413"""
896-75377,1997,07,28,,Pd67,SWL,w4Ia,"""@1154"""
896-75377,1997,08,04,,Pd67,STR,w4Ia-c,"""@1350"""
896-75377,1997,08,11,,Pd67,JJK,w4Ib-c,"""@1110"""
896-75377,1997,08,23,,Pd6136,STR,alone,"""w flock of adults"" "
896-75377,1997,08,15,,NA,NA,NA,"""Female shot Mississippi Sound, Alabama; Nasal tags intact; web tag also intact"""
896-75388,1998,07,22,,nest,Dep/Aban,EMS,NA
896-75436,1998,07,10,,N407,BBB/JJK/JGS,9 eggs,"""@1435"""
896-75436,1998,08,04,,N407,BBB,Depred.,"""crow primary lying in bowl"""
896-75439,1998,07,23,,nest,JJK,Depred. ,NA
896-75439,1999,05,20,,Pd1E,RDD,PR,"""@0938"""
896-75439,1999,06,03,,Pd125N,SWL,PR,"""@0841"""
896-75439,1999,06,08,,Pd20,SWL,PR,"""@0830"""
896-75439,1999,06,11,,125,BDD/CAG,PR,Location type not specified
896-75439,1999,07,12,,Pd125,BDD,PR,"""@1554 100%"""
896-75439,2000,05,02,,Pd1E,KWD,PR,"""@1630 fair"""
896-75439,2000,05,02,,Pd1,BB,PR,"""@1750 poor"""
896-75439,2000,05,08,,Pd1,KWD/PC,PR,"""@1448 good"""
896-75439,2000,05,13,,Pd1E,PC,PR,"""@1427 good"""
896-75439,2000,05,17,,Pd1W,PC,PR,"""@2034 VG"""
896-75439,2000,05,19,,Pd1W,BBB,PR,"""@0953 VG"""
896-75439,2000,05,24,,Pd1W,PC/SWL,PR,"""@0829 Exc"""
896-75439,2000,05,26,,Pd125,KWD,PR,"""@0950 good"""
896-75439,2000,06,07,,Pd125,KWD,PR,"""@1015 excellent"""
896-75439,2000,07,10,,Pd125,RGC,PR,"""@1230 excellent"""
896-75439,2000,07,27,,Pd1,BBB,PR,"""@0855"""
896-75442,1998,07,31,,Nest,SWL,Aban/Depr.,NA
896-75442,1999,05,12,,90,RDD,PR,Location type not specified
896-75442,1999,05,20,,90,SWL,PR,"""@0943""; Location type not specified"
896-75442,1999,05,27,,6136,SWL,PR,"""@0730; (Br wal?)""; Location type not specified"
896-75456,1998,09,02,,Pd1,JJK,w 89 other LESC,"""IIc; @1000"""
896-75456,1998,09,10,,Pd1,SWL,w 79 other LESC,"""@1025"""
896-75456,1998,09,11,,Pd1,JJK,w 75 other LESC,"""@am"""
896-75456,1999,05,27,,Pd1255,BBB,PR,NA
896-75456,1999,06,11,,Pd1W,RDD/CAG,PR,"""v.g."""
896-75456,1999,07,12,,Pd125N,RDD,female,"""100% @ 1604"""
896-75456,2000,05,04,,Pd1E,KWD,PR,"""@0917; fair"""
896-75456,2000,05,12,,Pd125,SWL,PR,"""@0951 100%"""
896-75456,2000,05,17,,Pd1W,KWD,PR,"""@1245 G"""
896-75456,2000,05,26,,Pd125c,KWD,PR,"""@0956 excellent"""
896-75456,2000,06,07,,Pd125,KWD,PR,"""@0948 v good"""
896-75456,2000,06,19,,1E,KWD,PR,"""@0830 good""; Location type not specified "
896-75456,2000,07,09,,Pd1NE,BBB,PR,"""@1430 100%"""
896-75456,2000,07,11,,Pd125S,RGC,PR,"""exc @1230"""
896-75456,2000,07,19,,Pd1N,BBB,NA,"""@1300"""
896-75456,2000,07,23,,Pd1,BBB,alone,"""@1545 exc"""
896-75456,2000,07,27,,Pd1,BBB,alone ,"""@0835"""
896-75456,2000,07,21,,Pd1,KWD,alone female,"""@0845 vg"""
896-75456,2001,10,26,,Minnesota,NA,shot,"""7x to 3 June in 2001"""
896-75461,2000,04,26,,IE,KWD,PR,"""@0130; fair, v.good; LBoval WToval""; Location type not specified"
896-75461,2000,05,12,,IE,BBB,PR,"""@1412; vg""; Location type not specified"
896-75464,1998,09,02,,Pd67,SWL,w7IIb-c; w5IIc-III,NA
896-75464,1998,09,10,,Pd20,JJK,alone,"""III @1015"""
896-75465,1998,09,02,,Pd67,SWL,w7IIb-c; w5IIc-III,NA
896-75465,1998,09,10,,Pd1,SWL,w 79 other LESC,"""@1025"""
896-75465,1998,09,11,,Pd1,JJK,w 75 other LESC,"""@am"""
896-75468,1998,09,02,,Pd67,SWL,6IIb-IIc; 6IIc-III,NA
896-75468,1998,09,10,,Pd67,JJK,w 6 other LESC,"""III @1020"""
896-75473,1998,09,14,,NA,NA,NA,Date Banded
896-75472,1999,05,17,,Pd1,RDD,Paired,"""v.g."""
1016-61383,1998,09,14,,Pd1,RGC et al,Brood drive,"""(nasal tagged that day!)"""
1016-61389,1998,09,14,,Pd1,RGC et al,Brood drive ,"""(nasal tagged that day!)"""
1016-61389,1998,11,20,,"Logansport, LA",NA,Hunter shot female,NA
1016-61392,1998,09,02,,Pd1,JJK,w 89 other LESC,"""IIc @1000"""
1016-61392,1998,09,10,,Pd1,SWL,w 79 other LESC,"""@0250"""
1016-61392,1998,09,11,,Pd1,JJK,w 75 other LESC,"""@AM"""
1016-61392,1999,05,19,,Pd1,RDD,Pr,"""v.g.; @0840"""
1016-61392,1999,05,20,,Pd97,RDD,Pr,"""@0938"""
1016-61392,1999,05,27,,1W,SWL,Pr,"Location type not specified; ""@1133"""
1016-61392,1999,06,11,,1E,CAG/RDD,Pr,"Location type not specified; ""v.g."""
1016-61392,1999,06,23,,Pd1SE,SWL,Pr,"""@0820"""
1016-61392,1999,07,04,,Pd1E,SWL,Pr,"""@1623"""
1016-61392,1999,06,25,,Pd1E,BAP,Pr,"""@0930; v. good"""
1016-61392,1999,07,12,,Pd1,BBB,Pr,"""100%"""
1016-61392,1999,06,27,,Pd1,RDD,Pr,"""fair; @0855"""
1016-61392,2000,05,04,,Pd1E,KWD,Pr,"""@0920; good"""
1016-61392,2000,05,12,,Pd1E,BBB,Pr,"""@1405; vg"""
1016-61392,2000,06,13,,Pd1E,BBB,Pr,"""@1055; exc"""
1016-61395,1998,09,14,,Pd1,RGC et al,Brood Drive,"""(nasal tagged that day!)"""
1016-72101,1999,05,17,,Pd1,RDD,Pr,"""v.g."""
1016-72101,1999,05,19,,Pd1,RDD,Pr,"""v.g. @0840"""
1016-72101,1999,05,19,,Pd1,SWL,Pr,"""@0835"""
1016-72101,1999,05,20,,Pd1E,RDD,Pr,"""@0938"""
1016-72101,1999,06,02,,Pd125N,SWL,Pr,"""@0830"""
1016-72101,1999,06,11,,Pd1E,"RDD, CAG",Pr,"""v.g."""
1016-72013,1998,09,02,,Pd1,JJK,w 89 LESC,"""IIc @1000"""
1016-72013,1998,09,10,,Pd1,SWL,w 79 other LESC,"""@1025"""
1016-72013,1998,09,11,,Pd1,JJK,w 25 other LESC,"""@AM"""
1016-72014,1998,09,02,,Pd1,JJK,w 89 other LESC,"""III @1000"""
1016-72014,1998,09,10,,Pd125N,SWL,w 5 other LESC (2 tag),"""HY; @1148"""
1016-72016,1998,09,02,,Pd1,JJK,w 89 other LESC,"""III @1000"""
1016-72016,2000,05,12,,Pd1E,BBB,Pr,"""@1410; VG"""
1016-72018,1998,09,02,,Pd1,JJK,w 89 other LESC,"""III @1000"""
1016-72018,1998,09,10,,Pd125N,JJK,w 5 other LESC (2 tag),"""Hy; @1148"""
1016-72020,1998,09,02,,Pd1,JJK,w 89 other LESC,"""IIc @1000"""
1016-72020,1998,09,10,,Pd1,SWL,w 79 other LESC,"""IIc? @1025"""
1016-72020,1998,09,11,,Pd1,JJK,w 75 other LESC,"""am"""
1016-72020,1999,05,12,,Pd6954,SWL,Pr,"""@1041"""
1016-72020,1999,05,17,,Pd1,RDD,Pr,"""vg?"""
1016-72020,1999,07,04,,Pd1E,SWL,Pr,"""@1626"""
1016-72026,1998,09,02,,Pd1,JJK,w 89 other LESC,"""IIc @1000"""
1016-72026,1998,09,10,,Pd1,SWL,w 79 other LESC,"""@1025"""
1016-72026,1998,09,11,,Pd1,JJK,w 75 other LESC,"""@am"""
1016-72026,2000,04,27,,Pd125,KWD,Pr,"""@1042 fair"""
1016-72026,2000,05,02,,Pd125N,KWD,Pr,"""@1700 v.g."""
1016-72026,2000,05,04,,Pd1W,KWD,Pr,"""@0835 good"""
1016-72026,2000,05,08,,Pd1W,KWD/PC,Pr,"""@1455 good"""
1016-72026,2000,05,12,,Pd1E,BBB,Pr,"""@1400 vergy good"""
1016-72026,2000,05,19,,Pd1S,BBB,Pr,"""@0957 exc"""
1016-72026,2000,05,24,,Pd125,KWD,Pr,"""@1005 fair"""
1016-72026,2000,05,26,,Pd125,KWD,Pr,"""@0953 good"""
1016-72026,2000,06,23,,Pd1W,KWD,Pr,"""@1245 vg"""
1016-72026,2000,07,09,,Pd1NE,BBB,Pr,"""100%"""
1016-72026,2000,07,14,,Pd1W,KWD,Pr,"""@0828"""
1016-72026,2000,07,27,,Pd1,BBB,alone,"""@0828"""
1016-72026,2000,10,NA,,UNKNOWN,NA,female shot,NA
1016-72031,1998,09,02,,Pd1,JJK,w 89 other LESC,"""III @1000"""
1016-72031,1998,09,10,,Pd125N,SWL,w 7 other LESC (2 tags),"""HY @1148"""
1016-91398,1998,09,10,,Pd1,SWL,w 79 other LESC,"""@1025"""
1016-91398,1998,09,11,,Pd1,JJK,w 75 other LESC,"""@AM"""
1016-91398,1999,05,18,,Pd1,BBB,Pr,"""@1355 VG"""
1016-91398,2000,05,08,,Pd6136,BBB/BAP,NA,"""@1545 exc"""
1016-91398,2000,05,04,,Pd90,SWL,Pr,"""@0803"""
1016-91398,2000,05,12,,Pd1N,BBB,Pr,"""@0830 vg"""
1016-91398,2000,05,31,,Pd1W,KWD,Pr,"""@12003 vg g"""
1016-91398,2000,06,07,,Pd71,PALI/RGC,Pr,"""vg"""
1016-91398,2000,07,11,,Pd125,RGC,Pr,"""@1230 excellent"""
1016-91398,2000,07,23,,Pd1,BBB,alone,"""@1545 exc"""
1016-91398,2000,07,27,,Pd1,BBB,alone,"""@0835"""
985-06606,2000,04,27,,Pd125,KWD,NA,"""v. good @1010"""
1056-37108,1999,07,12,,Pd1,BBB,female,"""@1035"""
1056-37108,1999,07,23,,Pd1E,RDD,female,"""@0949"""
1056-37113,2000,05,24,,Pd125s,KWD,Pr,"""Exc @1015"""
1056-37113,2000,05,26,,Pd125s,KWD,Pr,"""@0945 excellent"""
1056-37113,2000,06,01,,Pd1W,BBB,Pr,"""@1256 Exc"""
1056-37113,2000,06,01,,Pd125N,BBB,Pr,"""@1140 Exc"""
1056-37113,2000,06,07,,Pd67,RGC/PAL,Pr,"""V.G."""
1056-37113,2000,06,22,,Pd5338,BBB,Pr,"""excellent"""
1056-37113,2000,06,26,,Pd65,BBB,Pr,"""@1535 100%"""
1056-37113,2000,06,29,,Pd65,BBB,Pr,"""@1310 exc"""
1056-37116,2000,05,02,,Pd1E,KWD,Pr,"""@1535 good"""
1056-37116,2000,05,04,,125,BBB,Pr,"""fair""; Location type not specified"
1056-37116,2000,05,12,,Pd67,BAP,Pr,"""good @0945"""
1056-37116,2000,06,21,,Pd1,RGC,Pr,"""VG @1430"""
1056-37116,2000,06,25,,Pd26,RGC,Pr,"""@1108 VG"""
1056-37116,2000,07,11,,Pd125,RGC,Pr,"""@1230 excellent"""
1056-37116,2000,07,14,,Pd1W,BBB,Pr,"""@0825 v.g."""
1056-37124,1999,07,21,,Pd1,RDD,w 16IA's,"""@0820"""
1056-37124,1999,07,23,,Pd1,RDD,w 17Ia's and b's,"""@0949"""
1056-37124,1999,08,17,,Pd1,RDD,w 17 IB's,"""@1527"""
1056-37124,1999,08,20,,Pd1,RDD,w 16,"""@0930"""
1056-37124,2000,05,04,,125N,RGC,NA,"""excellent""; location not specified"
1056-37124,2000,04,26,,1W,KWD,Pr,"""@1227 good""; location not specified"
1056-37124,2000,04,27,,1N,RGC,NA,"""good""; location not specified"
1056-37124,2000,05,04,,125,BBB,NA,location not specified
1056-37124,2000,05,08,,6136,BBB/BAP,NA,"""@1545""; location not specified"
1056-37124,2000,05,12,,6136,SWL,Pr,"""@0700; VG""; location not specified"
1056-37124,2000,05,24,,1W,PC,Pr,"""@0803;G"" location not specified"
1056-37124,2000,06,01,,1W,BBB,Pr,"""@1236 G;"" location not specified"
1056-37124,2000,05,31,,1NW,SWL,Pr,"""@0904 VG;"" location not specified"
1056-37124,2000,06,14,,Pd1N,RGC,Pr,"""@1116"""
1056-37124,2000,06,19,,Pd1W,KWD,Pr,"""@0900; good"""
1056-37124,2000,07,07,,Pd1N,KWD,Pr,"""@1240; exc"""
1056-37124,2000,07,12,,N215,BBB/GAG/BAP,10 eggs; 5 inc,NA
1056-37124,2000,07,14,,Pd1W,KWD,Pr,"""@0825"""
1056-37124,2000,07,23,,Pd1,BBB,lone female,"""@1545; 100%"""
1056-37124,2000,07,21,,Pd1W,KWD,lone female,"""@0830; v.g."" "
1056-37126,1999,08,09,,Pd90,RDD,w 17Ib's,"""@0921"""
1056-37126,1999,08,12,,Pd90,RDD,w 4Ic's,"""@1541"""
1056-37126,1999,08,20,,Pd90,RDD,w 4Ic's,"""@0958"""
1056-37126,2000,05,04,,Pd1W,KWD,Pr,"""@0880; good"""
1056-37126,2000,05,08,,Pd1W,KWD/PC,Pr,"""v good; @1500"""
1056-37126,2000,05,12,,Pd1W,BBB,Pr,"""vg @1332"""
1056-37126,2000,05,12,,Pd125,SWL/CAG,Pr,"""100%@1012"""
1056-37126,2000,05,13,,Pd1E,PC,Pr,"""VG @1421"""
1056-37126,2000,05,17,,Pd1W,PC,Pr,"""VG @2038"""
1056-37126,2000,06,01,,Pd1W,BBB,Pr,"""Exc @1250"""
1056-37126,2000,06,07,,Pd1W,SWL,Pr,"""@0722"""
1056-37126,2000,06,14,,Pd6136,KWD,Pr,"""@1035; v. good; good"""
1056-37138,2000,05,12,,Pd1,BBB,Pr,"""@1332 vg"""
1056-37138,2000,05,13,,Pd1W,PC,Pr,"""@1525 g"""
1056-37138,2000,05,17,,Pd1W,KWD,Pr,"""@1304 g"""
1056-37138,2000,05,19,,Pd1NW,BBB,Pr,"""@1006 vg"""
1056-37138,2000,05,18,,Pd1W,CAG,Pr,"""good VG"""
1056-37138,2000,05,24,,Pd1125,KWD,Pr,"""good @1000"""
1056-37138,2000,05,26,,Pd1E,KWD,Pr,"""good; @1102"""
1056-37138,2000,06,01,,Pd1W,BBB,Pr,"""exc @1231"""
1056-37138,2000,06,21,,Pd1,RGC,Pr,"""vg @1420"""
1056-37138,2000,06,13,,Pd1SW,RGC/RWD,Pr,NA
1056-37138,2000,06,24,,Pd1W,RGC,Pr,"""@1120 VG"""
1056-37138,2000,07,14,,N238,KWD,7 eggs; 4-5 inc.,NA
1056-37161,2000,07,12,,N230,BBB/CAG/BAP,8 eggs; 7-8 inc.,NA
1056-37159,2000,07,10,,N187,BBB/KWD/BAP,9 eggs; 0 inc.,NA
1056-37157,2000,07,05,,N175,BAP/BBB/KWD,11 eggs; 0-1 days inc.,"""This combo has been used twice"" "
1056-37157,2000,07,14,,Pd1W,BBB,Pr,"""very good @0825; this combo has been used twice"""
1056-37157,2000,07,19,,Pd1N,BBB,NA,"""@1300; this combo has been used twice"""
1056-37157,2001,12,22,,NA,NA,female shot,""" 4x to 15 June IF correct bird; this combo has been used twice"""
1056-37165,2000,07,13,,N232,KWD/BAP/CAG/BBB,8 eggs; 13 days inc,NA
1056-37171,2000,07,25,,N119,BBB/CAG/BAP,7 eggs; 21-22 inc.,NA
DONE,,,,,,,,
