band_num,date_resighted,location,observer,status,comments,
876-04986,1989-05-25,p4857,RGC,paired,NA,
876-04986,1989-05-27,p4857,CJF,paired,NA,
876-04986,1989-05-29,p4857,CJF,paired,NA,
876-04986,1989-05-30,p4857,CJF,paired,NA,
876-04986,1989-06-03,p4857,RGC,paired,NA,
876-04986,1989-06-19,p4857,CJF,paired,NA,
876-04986,1989-06-22,p4857,RDD,paired,NA,
876-04986,1989-07-02,p4857,RGC,NA,NA,
876-04986,1989-07-03,p4857,RGC,NA,"""white colorbans""",
876-04986,1989-07-09,p4857,RGC,NA,NA,
876-04986,1990-05-09,p16 N,MLG,pair,NA,
876-04986,1990-05-27,p4857,RGC,pair,NA,
876-04986,1990-05-31,p4857,CJF,paired,NA,
876-04986,1990-06-10,p4857,RDD,paired,NA,
876-04986,1990-06-14,p4857,CJF,paired,NA,
876-04988,1988-06-23,p26,MG,alone,NA,
876-04988,1988-06-27,n95,RGC,NA,"""nest hatched""",
876-04988,1988-08-04,p4717,RGC,NA,"""w 4 IIc's""",
876-04988,1989-05-05,p65,RGC,paired,NA,
876-04988,1989-05-06,p65,RGC,paired,NA,
876-04988,1989-05-16,p4857,RDP,paired,NA,
876-04988,1989-05-18,p65,RGC,paired,NA,
876-04988,1989-05-20,p65,RGC,paired,NA,
876-04988,1989-05-22,p65,RGC,paired,NA,
876-04988,1989-05-26,p65 S,RDD,NA,NA,
876-04988,1989-06-01,p65,RDD,paired,NA,
876-04988,1989-07-01,p65,RGC,w 8 Ia's,NA,
876-04988,1989-07-03,p65,RGC,w 8 Ia's,NA,
876-04988,1989-07-06,p65,RGC,w 8 Ia's,NA,
876-04988,1989-07-20,p65,CFJ,NA,NA,
876-04988,1989-07-24,p4857,RDD,w 8 Ia's,NA,
876-04988,1989-07-26,p4857,KDW,w 8 Ia's,NA,
876-04988,1989-07-31,p20,KDW,w 8 Ia's,NA,
876-04988,1990-05-09,p65 S,MLG,pair,NA,
876-04988,1990-05-13,p65 S,RGC,pair,NA,
876-04988,1990-05-21,p65 S,RDD,pair,NA,
876-04988,1990-05-26,p65 S,RGC,paired,"""white LB""",
876-04988,1990-07-04,p65 ,RGC,4 IB's,B seemed capitalized,
876-04988,1990-07-08,p65 ,RGC,4 Ic's,NA,
876-04988,1990-07-26,p65 ,RJF,4 IIc's,NA,
876-04988,1990-07-30,p65 ,RDP,4 IIc's,NA,
876-04988,1991-05-11,p65 S,RGC,paired,NA,
876-04988,1991-05-16,p65 S,RGC,NA,NA,
876-04988,1991-05-20,p65 S,RGC,paired,NA,
876-04988,1991-05-25,p65 S,RGC,paired,NA,
876-04988,1991-05-15,p65 S,MLG,paired,NA,
876-04988,1991-06-24,n79,RGC,NA,"hard to determine the number of the nest, could be 179, nut unlikely",
876-04988,1991-06-30,p65 ,RGC,w 9 Ia's,NA,
876-04988,1991-07-02,p65 ,BKW,w 9 Ia's,NA,
876-04988,1991-07-10,p65 ,RGC,NA,NA,
876-04988,1992-06-30,p79 E,RDD,LO22 IA's - 10 maybe BWT?,hard to understand the status,
876-04988,1992-05-07,p66,BKW,pair,NA,
876-04988,1992-05-22,p65,BKW,pair,NA,
876-04988,1992-05-12,p61,RGC,pair,NA,
876-04988,1992-06-24,n16A,RGC,alone,"""was tagged amklings 24/6/92"" did not understand writing ",
876-04988,1992-08-04,p1,RDD,7 Ic,NA,
876-04989,NA,NA,NA,NA,there were no resightings ,
876-04990,1988-07-02,p1,MG,NA,NA,
876-04990,1988-07-02,n117,"RGG,MG",NA,"""nest hatched""",
876-04990,1988-07-04,p1,NA,NA,"""w 8 Ia's""",
876-04990,1989-05-01,p1,"RDD,KDW",paired,NA,
876-04990,1989-05-17,p1,RDP,paired,NA,
876-04990,1989-05-25,p1,"CJF,KDW",paired,NA,
876-04990,1989-05-27,p1,CFJ,paired,NA,
876-04990,1989-06-29,p1,RGC,paired,NA,
876-04990,1989-07-01,p1,RGC,NA,NA,
876-04990,1989-07-03,p1 E,KDW,NA,NA,
876-04990,1989-07-06,p1,KDW,w 7 Ia's,NA,
876-04990,1989-07-07,p1 W,RGC,w 5 Ia's,NA,
876-04990,1989-07-09,p1,"RGC,CJF",alone,NA,
876-04990,1989-07-12,p1,BCG,w 3 Ia's,"did not understand first letter of observer, guessed B",
876-04990,1989-07-17,p4857,KDW,NA,NA,
876-04902,1988-06-23,n53,"KDW,RGC",NA,"""nest hatched""",
876-04902,1989-05-05,p4857,RGC,paired,NA,
876-04997,1988-08-10,p20,NA,NA,"""nasal tagged drive trap 610g""",
876-04997,1988-08-11,p20,RGC,NA,NA,
876-04997,1994-07-02,p78 S,SR,alone,"""No pos.I.D. on white (maybe yellow)",
596-68116,1989-07-06,p4857,RGC,w 9 Ia's,NA,
596-68116,1989-07-09,p4857,KDW,w 9 Ia's,NA,
596-68116,1989-07-12,p4857,RDD,w 7 Ia's,NA,
596-68116,1989-07-17,p4857,CFJ,w 7 Ia's,NA,
596-68116,1989-07-24,p4857,RDD,w 7 Ic's,NA,
596-68116,1989-07-26,p4857,KDW,w 6 Ic's,NA,
596-68116,1989-07-31,p4857,CJF,w 8 young,NA,
596-68127,1989-07-08,p20,RGC,w 8 Ia's,NA,
596-68127,1989-07-12,p25 W,KDW,w 7 Ia's,NA,
596-68127,1989-07-13,p25,RGC,w 6 Ia's,NA,
596-68127,1989-07-24,p4857,KDW,NA,NA,
596-68127,1989-07-26,p4857,KDW,w 3 Ic's,NA,
596-68127,1989-07-20,p4857,GCG,w 6 Ib's,NA,
596-68127,1989-07-31,p4857,KDW,w 2 IIa's,NA,
596-68127,1990-05-13,p1,MLG,pair,NA,
596-68127,1990-07-19,p1 W,RDD,dead on west shore,"""natural mortality""",
596-68130,1990-06-03,p6953,RGC,paired,NA,
596-68130,1990-08-02,p6753,RGC,w 3 Ic's,NA,
596-68130,1991-05-17,p1 N,BKW,paired,NA,
596-68130,1994-07-06,p1,VL,alone,NA,
596-68130,1994-07-06,p1,SWL,alone,NA,
596-68132,1989-07-20,p25,GCG,w 8 Ib's,NA,
596-68132,1989-07-31,p25,CFJ,w 5 Ic's,NA,
596-68132,1990-07-01,p65,RGC,paired,NA,
596-68132,1990-07-08,p65,RGC,paired,NA,
596-68132,1990-07-12,p65,RGC,paired,NA,
596-68132,1990-07-16,n146,RDD,paired,NA,
596-68132,1991-07-06,n89,RDD,NA,NA,
596-68126,1989-07-13,p15,RGC,w 6 Ia's,NA,
596-68126,1989-07-20,p15,CFJ,w 1 Ia's,NA,
596-68126,1989-07-20,p4857,GCG,no brood,NA,
596-68115,1989-07-03,p1 E,RGC,w 12 Ia's,NA,
596-68115,1990-08-02,p6753,RGC,w 3 Ic's,NA,
596-68115,1991-05-23,p6753,BKW,alone,NA,
596-68115,1991-05-25,p6753,RGC,paired,NA,
596-68115,1991-05-30,p6753,RDD,paired,NA,
596-68115,1991-06-02,p6753,RGC,paired,NA,
596-68129,1990-05-11,p90 B,MLG,pair,NA,
596-68129,1990-05-24,p80,RGC,paired,NA,
596-68129,1990-05-29,p80,CJF,paired,NA,
596-68129,1990-05-30,p80,CJF,paired,NA,
596-68129,1990-05-31,p80,RGC,paired,NA,
596-68129,1990-06-02,p80,RGC,paired,NA,
596-68129,1990-06-10,p80,RDD,paired,NA,
596-68129,1990-06-14,p80,RDD,paired,NA,
596-68113,1991-05-17,p1,MG,paired,NA,
596-68168,1991-05-23,p65 W middle,MLG,dead,"""nasal tags, band blhele CB present. Predation - from 1990"" hard to understant handwritiing ",
596-68168,1991-05-16,p20,RGC,paired,"""pass yellow square, yellow triangle""",
596-68177,1990-07-08,p20,RDD,6 Ia's,"""date fate - 186. init 152.""",
596-68177,1990-07-09,p20,RDD,6 Ia's,"""10 eggs""",
596-68177,1990-07-12,p20,RGC,4 Ib's,"""seen 14 times, last time 221""",
596-68177,1990-07-16,p20,RDD,3 Ib's,NA,
596-68177,1990-07-19,p20,CJF,4 Ic's,NA,
596-68177,1990-07-20,p20,CJF,NA,NA,
596-68177,1990-07-30,p25,RDD,alone,NA,
596-68177,1990-07-23,p20,CFJ,NA,NA,
596-68177,1990-07-30,p20,RDD,2 IIa's,NA,
596-68177,1990-08-09,p25,RGC,alone,NA,
596-68177,1991-05-17,p66,BKW,paired,NA,
596-68177,1991-05-30,field north of 27,BKKW,paired,"""no nest u""",
596-68177,1991-06-06,p27,RGC,paired,NA,
596-68177,1991-06-28,p27,RGC,paired,NA,
596-68177,1992-05-26,p4857 E,RGC,paired,NA,
596-68177,1992-06-29,100 m NE quanset,"BKW,RDD",nest #187,"""hatched 11 July""",
596-68177,1993-06-22,p4857 E,RGC,paired,NA,
596-68177,1994-07-02,p78 S,SR,alone,"""@1600 (could have been White square""",
596-68177,1994-07-06,p1,VL,alone ,"""@1405""",
596-68177,1994-07-06,p1,SWL,alone,"""@1414""",
596-68177,1994-08-19,p1 W side,SWL,I-IC,"""@1531""",
596-68177,1994-08-23,p1 W side,SWL,I-IC,"""@1322""",
596-68177,1994-08-24,p1 W side,SWL,I-IC,"""afternoon""",
596-68177,1995-06-22,p5056,RGC,alone ,"""@1630""",
596-68177,1995-06-26,p5056,SKL,PR,"""@1333 >= 5 yr. old""",
596-68177,1995-06-22,p1 SW,SKL,PR,"""@1942""",
596-68177,1995-07-02,p5056,SWL,alone,"""@1701""",
596-68177,1995-07-21,n286,"KLH,VL",trapped,"""@1200""",
596-68177,1995-07-21,p1857,"KLH,VL",alone ,NA,
596-68177,1995-07-22,p4857,NA,alone,"""@1100""",
596-68176,1991-05-10,p1 N,RDD,paired,NA,
596-68176,1991-05-23,p1 N,RDD,paired,NA,
596-68180,1990-07-08,p1 W,RDD,8 IA's,"A was capital, not a typo",
596-68183,1990-07-08,p65,RDD,8 IA's,NA,
596-68183,1990-07-16,p65,RGC,8 IB's,NA,
596-68183,1990-07-19,p65,CJF,4 Ic's,NA,
596-68183,1990-07-23,p65,CJF,NA,NA,
596-68183,1990-07-26,p65,CJF,8 Ic's,NA,
596-68183,1990-07-30,p65,RDD,8 IIa's,NA,
596-68183,1990-08-09,p20,CJF,6 IIc's,NA,
596-68183,1991-05-13,p1,RDD,paired,NA,
596-68186,1990-07-11,nest,MG,11 ducklings,"""female bit MG (has pictures)"" nest did not had a number",
596-68187,1990-07-09,p20,RDD,alone,NA,
596-68189,NA,NA,NA,NA,no resightings ,
596-68188,1995-05-10,p1,MLG,PR,"""@0750 >= 5yrs""",
596-68196,1990-07-19,p25,RDD,alone,NA,
596-68196,1990-07-20,p65,CJF,alone,NA,
596-68196,1994-08-20,p6954,RGC,9-IA's,NA,
596-68196,1995-05-25,p1,SWL,PR,"""?""",
596-68196,1995-06-07,p79 W,SWL,PR,"""@1334 7 yr. old""",
596-68198,1990-08-16,p4851,RDD,alone,NA,
596-68198,1994-08-05,p90 B S,RGC,alone ,"""not positive on OR (triangle)"" page has a note that says: ""Resight for 94 not entered, SWL 99""",
596-68174,1990-07-03,p20,"CFJ,RGC",10 IA's ,NA,
596-68174,1990-07-04,p20,RGC,at least 5 IAs,did not had ' before the s in the status,
596-68174,1990-07-06,p20,RGC,2 IA's ,NA,
596-68174,1990-07-08,p20,RDD,alone,NA,
596-68174,1990-07-09,p20,RDD,alone,NA,
596-68174,1990-07-12,p20,RGC,2 IB's,NA,
596-68174,1990-07-16,p20,RDD,alone,NA,
596-68174,1990-07-19,p20,CJF,3 Ic's,NA,
596-68174,1990-07-23,p20,CJF,5 Ic's,NA,
596-68174,1990-07-30,p20,RDD,alone,NA,
596-68174,1991-05-10,p1 W,RDD,paired,NA,
596-68174,1991-05-11,p6753,RGC,paired,NA,
596-68174,1991-05-17,p67,CJF,paired,NA,
596-68174,1991-05-17,p1 N,BKW,paired,NA,
596-68174,1991-05-17,p1 W,BKW,paired,NA,
596-68174,1991-05-25,p67,RGC,paired,NA,
596-68174,1991-06-04,p67,RGC,paired,NA,
596-68174,1991-06-13,p65,MG,paired,NA,
596-68174,1992-05-14,p65,RGC,paired,NA,
596-68174,1992-05-11,p20,RGC,pair,NA,
596-68174,1992-05-12,p67,RGC,pair,NA,
596-68174,1992-07-23,p79 E,RDD,10 IC,NA,
596-68174,1992-07-28,p20,RGC,11 IB,NA,
596-68174,1992-07-30,p20,BKW,12 IIA,NA,
596-68167,NA,NA,NA,NA,no resightings ,
596-68165,NA,NA,NA,NA,no resightings ,
596-68169,NA,NA,NA,NA,no resightings ,
596-68171,1991-05-14,p20,RDD,paired,NA,
596-68171,1991-05-25,p35,RGC,paired,NA,
596-68171,1991-06-19,n48,RGC,NA,NA,
596-68175,1991-05-10,p1 E,RDD,paired,NA,
596-68175,1991-05-16,p1 ,RDD,paired,NA,
596-68175,1991-05-23,p1 E,RDD,paired,NA,
596-68175,1991-05-28,p1 E,RDD,paired,NA,
596-68175,1991-05-30,p island,RGC,nest #38,NA,
596-68175,1991-05-15,p1,MG,alone,NA,
596-68175,1991-05-17,p1,MG,paired,NA,
596-68175,1991-05-27,p1 E,RDD,w 6 Ia's,NA,
596-68175,1991-05-28,p1 NE,RGC,w 6 Ia's,NA,
596-68175,1991-05-29,p1 NW,RGC,w 6 Ia's,NA,
596-68175,1991-07-04,p1,RGC,w 6 Ia's,NA,
596-68175,1991-07-07,p1 W,RDD,w 6 IB,NA,
596-68175,1991-07-08,p1 N,BKW,w 6 IB,NA,
596-68175,1991-07-10,p1 N,RDD,w 6 IB,NA,
596-68175,1992-05-29,p1,BKW,alone,NA,
596-68175,1992-07-20,p1,BKW,1 IIA ,NA,
596-68175,1992-08-04,p1,BKW,7 IIB ,NA,
596-68175,1992-08-12,p1,BKW,alone,NA,
596-68175,1992-07-02,p1,RGC,6 IA,NA,
