species_code,species_sci,species_common
BWTE,Spatula discors,Blue-winged Teal
GADW,Mareca strepera,Gadwall
AMWI,Mareca americana ,American Wigeon
LESC,Aythya affinis ,Lesser Scaup 
MALL,Anas platyrhynchos ,Mallard 
