"","band_num","date_resighted","location","observer","status","comments","Other.notes..there.are.sometimes.handwritten.notes.such.as.the.one.in.this.binder.before.page.49","Brood.instead.of.Resightings","X","X.1","X.2","X.3"
"1575","1107-16397","1995-07-08","pd 50","SWL","greater equal to 5 Ic","Partial yng running around in uplands",NA,"",NA,NA,NA,NA
"1576","1107-16397","1995-07-28","pd 50","STR/JC","IIB male (STD 3137)","caught in Brood drive",NA,"",NA,NA,NA,NA
"1577","1107-16397","1995-08-13","pd 50","STR","III female (STD 3139)","caught in Brood drive",NA,"",NA,NA,NA,NA
"1578","1107-16398",NA,NA,NA,NA,"SEE BROOD OBS 95",NA,"",NA,NA,NA,NA
"1579","1107-16398","1995-08-12","1 mi SSE of study area","STR","8 III","Full *sticky note: remove off area SWL 99",NA,"",NA,NA,NA,NA
"1580","1107-16399","1995","SW of pd 25 S",NA,"(hatched)",NA,NA,"",NA,NA,NA,NA
"1581","1107-16399","1995-08-05","1 1/4 mi SSE study area","SWL","2 IIc","partial count",NA,"",NA,NA,NA,NA
"1582","1107-16400","1995","nested 25 m NE TRES box #91 ",NA,"(hatched)",NA,NA,"",NA,NA,NA,NA
"1583","1107-16400",NA,NA,NA,NA,"SEE BROOD OBS 95",NA,"",NA,NA,NA,NA
"1584","1107-16400","1995-08-16","SW of Labreques","JC","5 III","Full  ",NA,"",NA,NA,NA,NA
"1585","1107-16401","1995","nested between pd 1 and W blind",NA,"(hatched)",NA,NA,"",NA,NA,NA,NA
"1586","1107-16401",NA,NA,NA,NA,"SEE BROOD OBS 95",NA,"",NA,NA,NA,NA
"1587","1107-16401","1995-07-08","SW pd 1","SWL","greater or equal to 7 IA","partial count",NA,"",NA,NA,NA,NA
"1588","1107-16401","1995-07-10","SW arthur Denis","SWL, STR","female dead",NA,NA,"",NA,NA,NA,NA
"1589","1107-16402","1995","nested N of pd 94",NA,"(hatched)",NA,NA,"",NA,NA,NA,NA
"1590","1107-16402",NA,NA,NA,NA,"SEE BROOD OBS 95",NA,"",NA,NA,NA,NA
"1591","1107-16402","1995-06-07","1 pd E of pd 94","RGC",NA,"Full (PR) on Rat house",NA,"",NA,NA,NA,NA
"1592","1107-16402","1996-05-15","pd 94","MG","paired","see other 94 combo",NA,"",NA,NA,NA,NA
"1593","1107-16402","1996-05-15","350m E pd 5056","SWL","PR","@ 1707",NA,"",NA,NA,NA,NA
"1594","1107-16402","1996-08-11","Pd 65","MG","w 4 IIA",NA,NA,"",NA,NA,NA,NA
"1595","1107-16402","1996-08-18","Pd 65","SWL","w 3 IIb","@ 1035",NA,"",NA,NA,NA,NA
"1596","1107-16402","1996-08-22","pd 65","VL","2 3 IIb","@ 1605",NA,"",NA,NA,NA,NA
"1597","1107-16402","1997-04-25","pd 67","SWL","PR","@ 1444",NA,"",NA,NA,NA,NA
"1598","1107-16402","1997-07-26","nest 676 E pd 67",NA,NA,"combo switched; freq: 2450",NA,"",NA,NA,NA,NA
"1599","1107-16402","1997-07-30","Nest","SWL","5 hatch/gone",NA,NA,"",NA,NA,NA,NA
"1600","1107-16402","1997-08-30","pd 5338","STR","3 IIb","@ 1045",NA,"",NA,NA,NA,NA
"1601","1107-16402",NA,NA,NA,NA,"SEE 97 BROOD OBS ",NA,"",NA,NA,NA,NA
"1602","1107-16402",NA,NA,NA,NA,"* This female's entire history assumed correct (and other female 1107-16365 was deleted from data for resightings)",NA,"",NA,NA,NA,NA
"1603","1107-16403","1995","nested 1/4 mile ESE of Boussiere's ",NA,"(hatched)",NA,NA,"",NA,NA,NA,NA
"1604","1107-16403","1995-08-10","pd SSW 1/2 mi SWL of Boussiere's","SWL","4 IIc's","*sticky note: Not included in survuval data base Too far out from NWA",NA,"",NA,NA,NA,NA
"1605","1107-16404","1995","nested at pd 112",NA,"(hatched)",NA,NA,"",NA,NA,NA,NA
"1606","1107-16404","1995-07-09","pd 125 S","SWL","9 IA's","Full",NA,"",NA,NA,NA,NA
"1607","1107-16404","1995-07-16","pd 125 S","RGC","5 Ib's","@ ?",NA,"",NA,NA,NA,NA
"1608","1107-16404",NA,NA,NA,NA,"SEE Brood OBS 95",NA,"",NA,NA,NA,NA
"1609","1107-16404","1995-07-26","1/4 mi NE of study area","JC","8 Ic","Full",NA,"",NA,NA,NA,NA
"1610","1107-16404","1996-04-30","N End pd 1 Near Trail","SWL","Found dead",NA,NA,"",NA,NA,NA,NA
"1611","1107-16405","1995-07-10","pd 1","RGC","8 Ia's","@ 1100",NA,"",NA,NA,NA,NA
"1612","1107-16405","1995-07-11","pd 25","RGC","8 Ia's","@0953",NA,"",NA,NA,NA,NA
"1613","1107-16405","1995-07-16","pd 25","KLH","greater or eqaul to 7 Ib's ","@ 1440",NA,"",NA,NA,NA,NA
"1614","1107-16405","1995-07-23","pd 25","VL","8 Ib's","@ 1517",NA,"",NA,NA,NA,NA
"1615","1107-16405",NA,NA,NA,NA,"SEE Brood OBS 95",NA,"",NA,NA,NA,NA
"1616","1107-16405","1995-07-26","25","JC","8 I c's","@ 1400",NA,"",NA,NA,NA,NA
"1617","1107-16405","1995-07-28","25","JC","8 I c's","@ ?",NA,"",NA,NA,NA,NA
"1618","1107-16405","1995-08-03","pd 125 S","SWL","4 Ic's","@ 1536",NA,"",NA,NA,NA,NA
"1619","1107-16405","1995-08-24","Skomar's pd","JC","8 III","Full",NA,"",NA,NA,NA,NA
"1620","1107-16405","1996-05-24","NW side of pd 90 in bushes",NA,NA,"Nasal tags/ transmitter found while beating bush for nests",NA,"",NA,NA,NA,NA
"1621","1107-16406","1995","nested at SE edge of W bluff",NA,"(hatched)",NA,NA,"",NA,NA,NA,NA
"1622","1107-16406","1995-07-08","SW pd 1","STR","9 IA","Full",NA,"",NA,NA,NA,NA
"1623","1107-16406","1995-07-17","NE pd 1","SWL","7 IC","Partial",NA,"",NA,NA,NA,NA
"1624","1107-16406",NA,NA,NA,NA,"SEE Brood OBS 95",NA,"",NA,NA,NA,NA
"1625","1107-16406","1996-06-04","island nest #020",NA,"hatched","(impant removed)",NA,"",NA,NA,NA,NA
"1626","1107-16406","1997-04-25","pd 1 W","SWL","PR","@ 1058",NA,"",NA,NA,NA,NA
"1627","1107-16406","1997-05-28","first pd SW of Boussiere's driveway","SWL","PR","@ 1806",NA,"",NA,NA,NA,NA
"1628","1107-16406","1997-07-18","nest 558 island","SWL/STR","trapped",NA,NA,"",NA,NA,NA,NA
"1629","1107-16406",NA,NA,NA,NA,"See Brood Obs 1997 freq: 2.551",NA,"",NA,NA,NA,NA
"1630","1107-16406","1997-10-11","lge wetlland 2.5 mi NWof NWA",NA,"female shot","Nasals tags, band and mauser recovered",NA,"",NA,NA,NA,NA
"1631","1107-16406","1997-07-24","nest","RGC","ducklings scattered","7 of 9 eggs hatched (missed webtagging)",NA,"",NA,NA,NA,NA
"1632","1107-16406","1997-08-23","pd 6317","STR","w 5 IIb","@ 0850",NA,"",NA,NA,NA,NA
"1633","1107-16407","1995-07-10","Near pd 131 (Nest 275)","SWL/VL","Hatching ","8 ducklings. Harrier grabbed female MALL whilst circling VL saved her?",NA,"",NA,NA,NA,NA
"1634","1107-16408","1995-07-20","pd 1","JC","9 Ia's","@ 0915",NA,"",NA,NA,NA,NA
"1635","1107-16408",NA,NA,NA,NA,"SEE BROOD OBS 95",NA,"",NA,NA,NA,NA
"1636","1107-16408","1995-08-16","pd 6753","JC","44 IIA","Full",NA,"",NA,NA,NA,NA
"1637","1107-16408","1996-04-30","pd 6642","MG","PR",NA,NA,"",NA,NA,NA,NA
"1638","1107-16408","1996-05-28","Isl Nest #19",NA,NA,NA,NA,"",NA,NA,NA,NA
"1639","1107-16408",NA,NA,NA,NA,"See brood obs 96 172.062",NA,"",NA,NA,NA,NA
"1640","1107-16408","Last seen 1996-07-25","pd 6753","VL","w 3 IIc","@ 1445",NA,"",NA,NA,NA,NA
"1641","1107-16408","1997-06-01","N 130 ISL","MG,GP, JGS","CAUGHT","@ 9:00",NA,"",NA,NA,NA,NA
"1642","1107-16408","1997-06-03","N 130 ISL",NA,"10 eggs ripped","greater or equal to 4 yr",NA,"",NA,NA,NA,NA
"1643","1107-16408","1997-06-03","pd 1","MG","9 Ia","@ 1600",NA,"",NA,NA,NA,NA
"1644","1107-16408","1997-07-28","2 pds N of 7044","MG","no broo",NA,NA,"",NA,NA,NA,NA
"1645","1107-16408","1998-06-25","N 219","SWL, JJK","cont","@ 830 * new tags Impant still in female greater or equal to 4 yr from 96",NA,"",NA,NA,NA,NA
"1646","1107-16408","1999-01-01","Shirley, Arkansas",NA,"female shot",NA,NA,"",NA,NA,NA,NA
"1647","1107-16409",NA,NA,NA,NA,"*no entries on this page",NA,"",NA,NA,NA,NA
"1648","1107-16417","1995","barn at nest #85 (island)",NA,NA,NA,NA,"",NA,NA,NA,NA
"1649","1107-16417","1995-08-15","pd # 1","JC","with 9 III's","with brood",NA,"",NA,NA,NA,NA
"1650","1107-16417","1996-04-23","pd 1 W","RGC","pair",NA,NA,"",NA,NA,NA,NA
"1651","1107-16417","1996-05-28","nest #034","SWL","20 days inc",NA,NA,"",NA,NA,NA,NA
"1652","1107-16417","1996-06-09","pd 97","VL","7 IA","@ 0720",NA,"",NA,NA,NA,NA
"1653","1107-16417","1996-06-12","pd 128","VL","female dead","female found dead",NA,"",NA,NA,NA,NA
"1654","1107-16417",NA,NA,NA,NA,"SEE BROOD OBS 96  ",NA,"",NA,NA,NA,NA
"1655","1107-16419","1995","hatched at nest #85 (island)",NA,NA,NA,NA,"",NA,NA,NA,NA
"1656","1107-16419","1995-08-15","pd #1","JC","with 9 III's","with brood",NA,"",NA,NA,NA,NA
"1657","1107-16419","1996-04-30","pd #1","JC","paired",NA,NA,"",NA,NA,NA,NA
"1658","1107-16419","1996-05-30","pd 5056","SL","paired",NA,NA,"",NA,NA,NA,NA
"1659","1107-16419","1996-07-02","on nest island (Nest 209)","SWL","sitting on nest","No flush @ 1315",NA,"",NA,NA,NA,NA
"1660","1107-16419","1996-07-03",NA,NA,"female dead","Propofol overdose",NA,"",NA,NA,NA,NA
"1661","1107-16423",NA,NA,NA,NA,"(caught in trap with possible daughter STD 3641) *sticky note: off area marked SWL 99",NA,"",NA,NA,NA,NA
"1662","1107-16424","1995","nested NW pd 50",NA,"(hatched)",NA,NA,"",NA,NA,NA,NA
"1663","1107-16424","1995-08-13","pd 5056","STR","found dead","(in bait trap) STD 3643, 3645 IA's",NA,"",NA,NA,NA,NA
"1664","1107-16424","1995-08-14","pd 5056","STR","greater or equal to 3 IB's","@ 0930",NA,"",NA,NA,NA,NA
"1665","1107-16426","1995","barn at nest #19 (island)",NA,"Hatched?",NA,NA,"",NA,NA,NA,NA
"1666","1107-16426","1996-04-27","pd 1 N","RGC","pair",NA,NA,"",NA,NA,NA,NA
"1667","1107-16426","1996-05-16","pd 1","JC","pair","@ 13:30",NA,"",NA,NA,NA,NA
"1668","1107-16427","1995","barn at nest #19 (island)",NA,NA,NA,NA,"",NA,NA,NA,NA
"1669","1107-16427","1995-08-18","pd 6642","JC","w 7 III's","BR square Yell sqaure 
female BR oval ORG Y as well",NA,"",NA,NA,NA,NA
"1670","1107-16427","1995-08-20","pd 6642","JC","w 7 III's","BR square Yell sqaure 
female BR oval ORG Y as well",NA,"",NA,NA,NA,NA
"1671","1107-16427","1996-11-17","Sping Bay, Illinois",NA,"female shot","*Sticky note: * missed? tags on (hunter)?",NA,"",NA,NA,NA,NA
"1672","1107-16428","1995","barn at nest #19 (island)",NA,NA,NA,NA,"",NA,NA,NA,NA
"1673","1107-16428","1995-08-27","#79 E","JC","sighting with 1 male III +","@ 12:32",NA,"",NA,NA,NA,NA
"1674","1107-16441",NA,NA,NA,NA,"*there are no entries on this page",NA,"",NA,NA,NA,NA
"1675","1107-16442","1995-08-18","pd 6642","JC","w 7 III's","female BR square Yell triangle as well",NA,"",NA,NA,NA,NA
"1676","1107-16442","1995-08-20","pd 6642","JC","w 7 III's","female BR square Yell triangle as well",NA,"",NA,NA,NA,NA
"1677","1107-16442","1995-08-28","pd 6642","JC","w 2 males",NA,NA,"",NA,NA,NA,NA
"1678","1107-16443","1996-06-29","nest 227 W pd 97","STR, CDS","nest depredated","nasal tags lost, replaced new combo",NA,"",NA,NA,NA,NA
"1679","1107-16443","1997-05-02","pd 98","ES, RGC","PR","@ am",NA,"",NA,NA,NA,NA
"1680","1107-16443","1998-04-29","pd 97","RGC","PR","@ 2005 3yr circled",NA,"",NA,NA,NA,NA
"1681","1107-16443","1998-05-05","pd 98","RGC","PR",NA,NA,"",NA,NA,NA,NA
"1682","1107-16443","1998-05-08","pd 98","RGC","PR","@ 0950",NA,"",NA,NA,NA,NA
"1683","1107-16443","1998-05-11","pd 98","SWL","PR","@ 1304",NA,"",NA,NA,NA,NA
"1684","1107-16443","1998-05-22","pd 98","RGC","PR","@ 845",NA,"",NA,NA,NA,NA
"1685","1107-16457","1995-09-01","pd 90A","SWL","6 III's","@ 1213",NA,"",NA,NA,NA,NA
"1686","1107-16457","1996-01-05","Reel Feet Lake, Tennesee",NA,"female shot","01/05/96",NA,"",NA,NA,NA,NA
"1687","1107-16458","1996-05-10","pd 118","SWL","Pr",NA,NA,"",NA,NA,NA,NA
"1688","1107-16458","1996-05-26","20","SWL/NMG","Pr",NA,NA,"",NA,NA,NA,NA
"1689","1107-16458","1996-07-03","nest #151 W pd 20 W","STR",NA,"mauser: 2.154",NA,"",NA,NA,NA,NA
"1690","1107-16458",NA,NA,NA,NA,"SEE 96 BROOD OBS 172.154",NA,"",NA,NA,NA,NA
"1691","1107-16458","1996-08-08","pd 9338","MG","w 5 IIb","@ 1135",NA,"",NA,NA,NA,NA
"1692","1107-16460","Last seen 1996-07-09","pd 6753","RGC","2 IIB-C","verified by radio signal @ 1850",NA,"",NA,NA,NA,NA
"1693","1107-16460",NA,NA,NA,NA,"SEE BROOD OBS 96",NA,"",NA,NA,NA,NA
"1694","1107-16460","1997-04-25","pd 1 E","SWL","PR","@ 1218",NA,"",NA,NA,NA,NA
"1695","1107-16460","1997-06-13","pd 1 SE","SWL","female alone flushed off","Previously found Nest #195/97, @ 1428",NA,"",NA,NA,NA,NA
"1696","1107-16460","1997-06-24","Nest","RGC","4 hatch",NA,NA,"",NA,NA,NA,NA
"1697","1107-16460","1998-05-06","pd E of 90B","JGS","PR","@ 1755 100% pond E of road",NA,"",NA,NA,NA,NA
"1698","1107-16460","1999-04-16","pd 90 A","SWL/RGC","PR","100%",NA,"",NA,NA,NA,NA
"1699","1107-16460","1999-04-26","pd 1 E","RDD","PR","VG",NA,"",NA,NA,NA,NA
"1700","1107-16460","1999-07-05","N 232 ISL","RDD","7 eggs",NA,NA,"",NA,NA,NA,NA
"1701","1107-16460","1999-07-16","N 232 ISL","RGC","Aban",NA,NA,"",NA,NA,NA,NA
"1702","1107-16461",NA,NA,NA,NA,"See Brood Obs-1996 172.290",NA,"",NA,NA,NA,NA
"1703","1107-16461","Last Loc 1996-08-18","1 mi E of NE side NWA","SWL","Radio Loc","@ 1515",NA,"",NA,NA,NA,NA
"1704","1107-16461","1997-04-25","pd 98","SWL","PR","@ 0915",NA,"",NA,NA,NA,NA
"1705","1107-16462",NA,NA,NA,NA,"See 1996 Brood Obs 172.351",NA,"",NA,NA,NA,NA
"1706","1107-16462","1996-08-04","pd 25","SF","w 5 III","@ 1606",NA,"",NA,NA,NA,NA
"1707","1107-16462","1996-08-22","pd 66","MG","by baittrap","@ 0830",NA,"",NA,NA,NA,NA
"1708","1107-16462","1997-04-25","pd 140","MG","PR","@ am",NA,"",NA,NA,NA,NA
"1709","1107-16462","1997-04-25","pd 140","SWL","PR","@ 1042",NA,"",NA,NA,NA,NA
"1710","1107-16462","1997-05-27","N 125 
13 L","MG, SWL","CAUGTH RADIOED","@ 1800 (10 hatched No W TAGS)",NA,"",NA,NA,NA,NA
"1711","1107-16462",NA,NA,NA,NA,"See 1997 Brood Obs freq: 2.022",NA,"",NA,NA,NA,NA
"1712","1107-16462","1997-07-08","pd 140","MG","w 10 IIc","@ 0700 to 1000",NA,"",NA,NA,NA,NA
"1713","1107-16462","1997-07-28","pd 90 ","STR","w 3 III","@ 1145",NA,"",NA,NA,NA,NA
"1714","1107-16462","1998-04-15","pd 1","MG","pr","@ am w mauser on back",NA,"",NA,NA,NA,NA
"1715","1107-16462","1998-04-20","pd 1","SWL","PR","@ 1530 w/ mauser",NA,"",NA,NA,NA,NA
"1716","1107-16462","1998-04-22","pd 1","SWL","PR","@ 1934 w/ mauser ",NA,"",NA,NA,NA,NA
"1717","1107-16462","1998-04-27","pd 1","SWL","PR","@ 1050 w/mauser, greater or equal to 3 yr",NA,"",NA,NA,NA,NA
"1718","1107-16462","1998-06-10","pd 1","JGS/RGC","alone","@ 13:15 w/mauser",NA,"",NA,NA,NA,NA
"1719","1107-16462","1998-06-14","N 207","SWL/RGC","on nest","shrub bustered. mauser removed",NA,"",NA,NA,NA,NA
"1720","1107-16462","1998-06-17","N 207","SWL/JGS","webtag, 9 eggs starred",NA,NA,"",NA,NA,NA,NA
"1721","1107-16462","1999-07-02","pd 1 E","RDD","female","100% @ 1027",NA,"",NA,NA,NA,NA
"1722","1107-16462","1999-07-28","N 163 ISL","RGC, CJB","9 eggs","*Lost tags refitted",NA,"",NA,NA,NA,NA
"1723","1107-16462","1999-07-02","N 163 ISL","BBB/RDD","8 pipped",NA,NA,"",NA,NA,NA,NA
"1724","1107-16462","2000-03-31","pd 124","RGC","2+1 male","V.good 100%",NA,"",NA,NA,NA,NA
"1725","1107-16462","2000-04-17","1st pd SE of pd 5338","SWL","PR","V. good 99%",NA,"",NA,NA,NA,NA
"1726","1107-16462","2000-05-12","pd 1 E","BBB","PR","@ 0925 100%",NA,"",NA,NA,NA,NA
"1727","1107-16462","2000-05-13","pd 1 E","PC","Pr","1310 C",NA,"",NA,NA,NA,NA
"1728","1107-16462","2000-06-29","pd 90","BBB","M7/67/IC","@ 1045",NA,"",NA,NA,NA,NA
"1729","1107-16463","1996-06-04","nest 015","SWL","10 hatched",NA,NA,"",NA,NA,NA,NA
"1730","1107-16463","1997-04-25","pd 15","SWL","PR","@ 1235",NA,"",NA,NA,NA,NA
"1731","1107-16463","1997-06-02","Nest 016 near quanset","MG, GP, SWL, EMS","DEAD CAUGHT IN FENCE","@ 1515, female DEAD",NA,"",NA,NA,NA,NA
"1732","1107-16466","1996-06-08","Nest","AF/RGC","1 of 3 eggs left  behind - 2 webtagged June 6*",NA,NA,"",NA,NA,NA,NA
"1733","1107-16467","1996-06-16","Nest","SWL","*Missed webtagging*",NA,NA,"",NA,NA,NA,NA
"1734","1107-16467","1997-05-13","Pond 65","PCG","paired","@ 16:10 pm",NA,"",NA,NA,NA,NA
"1735","1107-16467","1997-07-01","Nest 405","SWL","ON Nest","@ 1500, greater or eqaul to 3",NA,"",NA,NA,NA,NA
"1736","1107-16467","1997-07-12","Nest 405","SWL/JJK/KLG","Nest Depred. eventually",NA,NA,"",NA,NA,NA,NA
"1737","1107-16467","1997-07-23","pd 906","STR","alone","@ 1000",NA,"",NA,NA,NA,NA
"1738","1107-16467","1998-05-07","nest","JJK","on nest","@ 1400 nest W of 6672, 98 nest #013",NA,"",NA,NA,NA,NA
"1739","1107-16467","1998-05-08","nest 901","JJK","on nest","@ 1030, flushed on both May 7 + 8th",NA,"",NA,NA,NA,NA
"1740","1107-16467","1998-05-11","6672","JJK","PR","@ 1430 Nest Aband/Depr. greater or equal to 4yr",NA,"",NA,NA,NA,NA
"1741","1107-16468","1996-06-10","nest 014","VL","8 hatched",NA,NA,"",NA,NA,NA,NA
"1742","1107-16468","1999-08-20","pd 5338","RDD","10 greater or equal to 2 ~ Ic's
IIA's","@ 0920",NA,"",NA,NA,NA,NA
"1743","1107-16468","1999-07-16","N 308","RGC et al","6 eggs","Lost tags, refitted new combo",NA,"",NA,NA,NA,NA
"1744","1107-16468","1999-07-29","N 308","BAP","5 H/G",NA,NA,"",NA,NA,NA,NA
"1745","1107-16468","2000-04-27","5338","BBB","paired","excellent",NA,"",NA,NA,NA,NA
"1746","1107-16468","2000-05-02","5338","BBB",NA,"excellent",NA,"",NA,NA,NA,NA
"1747","1107-16468","2000-06-07","pd 1 E","SWL","pd","@ 0825",NA,"",NA,NA,NA,NA
"1748","1107-16469","1996-06-12","Nest","RGC","9 pipped",NA,NA,"",NA,NA,NA,NA
"1749","1107-16469","1997-06-22","N 127 ISL","RGC","CAUGHT 10*d","@ 10:45",NA,"",NA,NA,NA,NA
"1750","1107-16469","1997-06-15","Pd 1 W","JGS","webtagged
Alone","@ 17:50 Loc #59",NA,"",NA,NA,NA,NA
"1751","1107-16469","1997-06-15","Pd 1 W","RGC","Alone ","@ 17:50   ",NA,"",NA,NA,NA,NA
"1752","1107-16469","1998-06-15","on shore of Bay of Island","RGC",NA,"Bird walked up toward nest 59 @ 1745",NA,"",NA,NA,NA,NA
"1753","1107-16469","1998-06-17","N 059","RGC","Full Hatch (15 eggs!)","greater or equal to 3 yr",NA,"",NA,NA,NA,NA
"1754","1107-16470","1996-06-12","Nest","SWL/MG","8 pipped",NA,NA,"",NA,NA,NA,NA
"1755","1107-16470","1996-06-22","pd 5335","?","found Dead ",NA,NA,"",NA,NA,NA,NA
"1756","1107-16470",NA,NA,NA,NA,"See Brood OBS 96",NA,"",NA,NA,NA,NA
"1757","1107-16471","1996-06-12","Nest","RGC","9 hatch","* D61 tags 96",NA,"",NA,NA,NA,NA
"1758","1107-16472","1996-06-17","Nest","VL, SWL","pipped",NA,NA,"",NA,NA,NA,NA
"1759","1107-16472","1997-06-08","N 145 ISL","SWL","9 pipped (8 hatched) ","1st nest",NA,"",NA,NA,NA,NA
"1760","1107-16472","1997-07-22",NA,"SWL","Renest","nest 647 Renest",NA,"",NA,NA,NA,NA
"1761","1107-16472","1997-07-28","pd 90","STR","w 4 Ia","@1105",NA,"",NA,NA,NA,NA
"1762","1107-16472","1997-08-18","pd 90","STR","11 Ib","w/ female N/t @ 0730",NA,"",NA,NA,NA,NA
"1763","1107-16472","1997-08-20","pd 90","SWL","w 5 Ic - female N/t w 6 Ic's",NA,NA,"",NA,NA,NA,NA
"1764","1107-16472","1997-08-27","pd 90","STR","11 Ic","w/ female N/t, split 6-5 broods",NA,"",NA,NA,NA,NA
"1765","1107-16472","1997-08-22","pd 90","SWL","w 5 IIa, other 1 female N/t w 6 IIa's",NA,NA,"",NA,NA,NA,NA
"1766","1107-16472","1998-04-22","pd 90","SWL","Pr","@ 1820",NA,"",NA,NA,NA,NA
"1767","1107-16472","1998-04-22","NW pd 1","RGC","Pr","@ 1915, greater or equal to 4 circled",NA,"",NA,NA,NA,NA
"1768","1107-16472","1998-05-05","SW island shore","JJK","PR ","@ 1110",NA,"",NA,NA,NA,NA
"1769","1107-16472","1998-06-03","NW pd 109","RGC","Dead in crop (only skull found)","Had nasal tags",NA,"",NA,NA,NA,NA
"1770","1107-16473","1996-07-06","(7144) pd 7040","SWL","w 6Ib-c","@ 0837",NA,"",NA,NA,NA,NA
"1771","1107-16474","1996-06-16","Nest","STR/MG","pipped 11",NA,NA,"",NA,NA,NA,NA
"1772","1107-16475","1996-06-18","Nest","EDS/ SWL","7 pipped","@ 1135",NA,"",NA,NA,NA,NA
"1773","1107-16476","1996-06-18","Nest","STR/VL/LB","10 pipped",NA,NA,"",NA,NA,NA,NA
"1774","1107-16477","1996-06-19","Nest","VL","Aban",NA,NA,"",NA,NA,NA,NA
"1775","1107-16477","1996-11-23","Bayou Meto, Arkansas",NA,"Shot","11-23-96",NA,"",NA,NA,NA,NA
"1776","1107-16478","1996-06-18","Nest","SWL/STR","7 pipped",NA,NA,"",NA,NA,NA,NA
"1777","1107-16479","1996-06-18","nest","SWL, STR","7 pipped",NA,NA,"",NA,NA,NA,NA
"1778","1107-16479","1996-06-26","pd 90","SWL","w 3 Ia","@ 1713",NA,"",NA,NA,NA,NA
"1779","1107-16479","1997-06-07","N 149 ISL","SWL, EMS","CAUGHT
10 shells pipped","@ 18:35",NA,"",NA,NA,NA,NA
"1780","1107-16479","1997-11-24","Atchafalya Delta, NWR Louisiana ",NA,"female shot","(tags intact)",NA,"",NA,NA,NA,NA
"1781","1107-16480","1996-06-20","Nest","VL/SWL","10 pipped",NA,NA,"",NA,NA,NA,NA
"1782","1107-16480","1997-01-12","Delta Wings Hunt Club, Arkansas",NA,"Shot","(tags intact)",NA,"",NA,NA,NA,NA
"1783","1107-16481",NA,NA,NA,NA,"See 1996 BROOD OBS 172.180",NA,"",NA,NA,NA,NA
"1784","1107-16481","Last Loc 1996-07-13","1/4 mi S of pd 7040","MG","Radio Loc",NA,NA,"",NA,NA,NA,NA
"1785","1107-16481","Last seen 1996-07-01","pd 90","CDS","w 6 Ia",NA,NA,"",NA,NA,NA,NA
"1786","1107-16481","1997-04-25","pd 1 W","SWL","PR","@ 1150",NA,"",NA,NA,NA,NA
"1787","1107-16481","1999-05-23","pd 1 W","EMS","nesting","1315",NA,"",NA,NA,NA,NA
"1788","1107-16481","1997-05-27","N140 ISL","RGC, RCG, EMS","CAUGHT RADIOED ","@ 11:10 9 hatched",NA,"",NA,NA,NA,NA
"1789","1107-16481",NA,NA,NA,NA,"See BROOD OB '97",NA,"",NA,NA,NA,NA
"1790","1107-16481","1997-07-19","pd 90","SWL","w 4 IIc","@ 1110",NA,"",NA,NA,NA,NA
"1791","1107-16481","1997-07-23","pd 90","STR","w 2 III","@ 1015",NA,"",NA,NA,NA,NA
"1792","1107-16481","1998-04-15","pd 1","MG","PR","am",NA,"",NA,NA,NA,NA
"1793","1107-16481","1998-04-20","pd 1","SWL","PR","@ 1545; 4 circled",NA,"",NA,NA,NA,NA
"1794","1107-16481","1998-04-28","SW pd 1","RGC","PR","@ 1755",NA,"",NA,NA,NA,NA
"1795","1107-16481","1998-06-22","N202","JJK, SWL","**Starred 7 eggs","@ 1750",NA,"",NA,NA,NA,NA
"1796","1107-16482","1996-06-26","Nest","VL/MG","7 pipped","@ 1700",NA,"",NA,NA,NA,NA
"1797","1107-16483","1996-07-02","Nest",NA,"5 of 7 hatched",NA,NA,"",NA,NA,NA,NA
"1798","1107-16484",NA,NA,NA,NA,"See 1996 Brood Obs 172.243",NA,"",NA,NA,NA,NA
"1799","1107-16484","1996-07-22","pd 65","SWL","9 IIb","one in bait trap @ 0800",NA,"",NA,NA,NA,NA
"1800","1107-16484","1996-10-?","Kinistino, Sask","Hunter","Shot","tags intact",NA,"",NA,NA,NA,NA
"1801","1107-16485","1996-07-04","Nest","STR/SF","2 ducklings of 4 pipped found dead",NA,NA,"",NA,NA,NA,NA
"1802","1107-16485","1997-04-25","pd 67","RGC","PR","@ am",NA,"",NA,NA,NA,NA
"1803","1107-16485","1997-06-17","pd 79 E","SWL","paired","@ pm",NA,"",NA,NA,NA,NA
"1804","1107-16485","1997-10-22","pd 65","SWL","w GRN square ORG and 3 male's @ 1445","",NA,"",NA,NA,NA,NA
"1805","1107-16486","1996-07-08","S of skunk pen","SWL","female alone   ","@ 0750",NA,"",NA,NA,NA,NA
"1806","1107-16487","1996-07-08","Nest",NA,"Nest abandoned/destroyed",NA,NA,"",NA,NA,NA,NA
"1807","1107-16487","Last Loc 1996-07-20","2 pd NNE of 6631","MG","Radio Loc",NA,NA,"",NA,NA,NA,NA
"1808","1107-16487",NA,NA,NA,NA,"See Brood OBS 96",NA,"",NA,NA,NA,NA
"1809","1107-16487","1997-05-02","pd 90","ES, RGC","PR","@ AM",NA,"",NA,NA,NA,NA
"1810","1107-16488","1996-07-05","Nest",NA,"5 webtagged 4 eggs from Nest #208",NA,NA,"",NA,NA,NA,NA
"1811","1107-16488","1996-07-06","Nest",NA,"1 only left Nest",NA,NA,"",NA,NA,NA,NA
