"","band_num","date_resighted","location","observer","status","comments","Other.notes..there.are.sometimes.handwritten.notes.such.as.the.one.in.this.binder.before.page.49","Brood.instead.of.Resightings","X","X.1","X.2","X.3"
"49","1237-28516","1986-04-12","p49,p62","RGC","with mate ","""Not a 100% but 90% certain"", was written as pond4962",NA,NA,NA,NA,NA,NA
"50","1237-28517","1982-06-01","p25",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"51","1237-28517","1982-06-02","p1",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"52","1237-28517","1982-06-03","p1",NA,"wtih mate",NA,NA,NA,NA,NA,NA,NA
"53","1237-28517","1982-06-22","p1",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"54","1237-28518","1982-06-28","near p124",NA,NA,"""FOUND DEAD"", ""TAG COMBINATION REUSED MAY 14/84""",NA,NA,NA,NA,NA,NA
"55","1237-28519","1982-06-15","p1",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"56","1237-28519","1982-06-16","p1",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"57","1237-28519","1982-06-30","p1",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"58","1237-28519","1983-05-20","p1","EJW","with mate ",NA,NA,NA,NA,NA,NA,NA
"59","1237-28519","1983-06-02","NE of #29","EJW","with mate","I would assume they mean p29",NA,NA,NA,NA,NA,NA
"60","1237-28519","1983-09-20","#1","EJW","alone","I would assume they mean p1",NA,NA,NA,NA,NA,NA
"61","1237-28519","1983-09-27","#1","EJW","with 1 female ",NA,NA,NA,NA,NA,NA,NA
"62","1237-28519","1983-10-05","#1","EJW,MRM","?","there was a literal question mark",NA,NA,NA,NA,NA,NA
"63","1237-28519","1983-10-12","#1","MRM","feeding in large group",NA,NA,NA,NA,NA,NA,NA
"64","1237-28520",NA,NA,NA,NA,"""11 eggs in nest May 19, 10 eggs in nest May 30""",NA,NA,NA,NA,NA,NA
"65","1237-28520","1982-06-03","p125 S",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"66","1237-28520","1982-06-04","p125 S",NA,"?","there was a literal question mark",NA,NA,NA,NA,NA,NA
"67","1237-28520","1982-06-07","p125 S",NA,"?","""nest hatched out"", there was a literal question mark",NA,NA,NA,NA,NA,NA
"68","1237-28520","1982-06-08","p125 S ",NA,"with mate ","""no brood observed although nest showed evidence of unsuccessful hatch""",NA,NA,NA,NA,NA,NA
"69","1237-28520","1982-06-18","p125 S ",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"70","1237-28520","1983-04-29","p130","EJW","with mate ",NA,NA,NA,NA,NA,NA,NA
"71","1237-28520","1983-05-02","p130","EJW","with mate",NA,NA,NA,NA,NA,NA,NA
"72","1237-28520","1983-05-03","p130","EJW","with mate",NA,NA,NA,NA,NA,NA,NA
"73","1237-28521",NA,NA,NA,NA,"there were no data entries on this page",NA,NA,NA,NA,NA,NA
"74","1237-28522","1983-05-03","p90","ROB","with mate",NA,NA,NA,NA,NA,NA,NA
"75","1237-28526","1983-04-29","p1","EJW","with mate",NA,NA,NA,NA,NA,NA,NA
"76","1237-28526","1983-07-04","p97","EJW","""with brood of 4 (Ia) as min ASY female"" ASY= after second year","",NA,NA,NA,NA,NA,NA
"77","1237-28528","1982-06-04","p20",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"78","1237-28528","1982-06-07","p20",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"79","1237-28528","1983-05-13","p62","JMS","wtih mate",NA,NA,NA,NA,NA,NA,NA
"80","1237-28528","1983-05-31","SE lobe of #66","JMS",NA,"""nesting...8 egg clutch...successful hatch nest #18"", does not specify if location was pond or nest ",NA,NA,NA,NA,NA,NA
"81","1237-28528","1983-05-31","?","ROB",NA,"there was a literal question mark ",NA,NA,NA,NA,NA,NA
"82","1237-28538","1982-06-01","p1",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"83","1237-28538","1982-06-08","p1",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"84","1237-28538","1982-06-15","p1",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"85","1237-28538","1982-06-16","p1",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"86","1237-28538","1982-06-18","p90",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"87","1237-28538","1982-06-25","p1",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"88","1237-28538","1982-06-29","p1",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"89","1237-28538","1982-06-30","p1,p125",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"90","1237-28538","1983-05-16","p1",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"91","1237-28538","1983-07-07","old foundation near house",NA,NA,"""nest trapped... 8 egg clutch...successful hatch nest #88...this bird is an adult""",NA,NA,NA,NA,NA,NA
"92","1237-28554","1983-05-12","p1","ROB","with mate ",NA,NA,NA,NA,NA,NA,NA
"93","1237-28581",NA,NA,NA,NA,"there were no data entries on this page ",NA,NA,NA,NA,NA,NA
"94","1357-20101","1984-05-05","p1","JEG","with mate ","""male has no band on left leg""",NA,NA,NA,NA,NA,NA
"95","1357-20101","1984-05-06","p1","MRM","with mate","""male has no band on left leg""",NA,NA,NA,NA,NA,NA
"96","1357-20101","1984-05-21","p1","JTJ","with male",NA,NA,NA,NA,NA,NA,NA
"97","1357-20101","1985-05-28","n17 (hatched)","JMS,TGJ,JEG",NA,"""Incubating caught with nest trap. This bird was originally banded and nasal tagged on 7 June 1982. When caught on 28 May 1985 her original nasal tag was gone. She was tagged with a new combination (red square-black square)",NA,NA,NA,NA,NA,NA
"98","1357-20110",NA,NA,NA,NA,"there were no data entries on this page ",NA,NA,NA,NA,NA,NA
"99","1357-20116","1982-06-15","p1",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"100","1357-20116","1982-06-25","p25",NA,"?","there was a literal question mark ",NA,NA,NA,NA,NA,NA
"101","1357-20116","1983-05-30","p65","EJW","with mate",NA,NA,NA,NA,NA,NA,NA
"102","1357-20116","1984-04-30","p50","MRM","with mate ","""yellow disc-yellow disc chased by male that is paired with red tri-yellow - yellow tri...yellow disc-yellow disc pair flew around slough, landed in middle, swam back to NE corner...an unmarked pair chased yellow disc-yellow disc when in pond middle""",NA,NA,NA,NA,NA,NA
"103","1357-20116","1984-05-06","p50","MRM","with mate ","""flushed from stubble E of #50""",NA,NA,NA,NA,NA,NA
"104","1357-20116","1984-05-10, 0915-0920","flushed from nature prairie N of #65 and flew into #65","JEG","with male","""landed in #65, female swam into shore veg, male stayed in open water just in front of her. Female stayed in veg for 3 min then joined male. Male approached lone female orange tri-yellow tri- she flushed and male followed her over prairie then circled back and joined his female""",NA,NA,NA,NA,NA,NA
"105","1357-20116","1984-05-10, 0913,0950","p66","JMS","with male","there were random numbers placed in the date section, I think this is time",NA,NA,NA,NA,NA,NA
"106","1357-20116","1984-05-14","#50","JMS,JTJ",NA,"I assume they mean pond 50",NA,NA,NA,NA,NA,NA
"107","1357-20116","1984-05-16","#50","JEG,JTJ","with male",NA,NA,NA,NA,NA,NA,NA
"108","1357-20116","1984-05-25","#50","JEG,JTJ","with male",NA,NA,NA,NA,NA,NA,NA
"109","1357-20116","1984-05-27","#50","JEG","with male",NA,NA,NA,NA,NA,NA,NA
"110","1357-20116","1984-07-05","#50","JEG,JMS","with marked female mal (white tri-blue tri)",NA,NA,NA,NA,NA,NA,NA
"111","1357-20116","1984-07-12","#50","JTJ","alone",NA,NA,NA,NA,NA,NA,NA
"112","1357-20116","1984-07-17","#50","JTJ,JMS","alone",NA,NA,NA,NA,NA,NA,NA
"113","1357-20116","1985-04-22","3rd pond S of xroads","JMS","with male ","I assume they mean cross-roads",NA,NA,NA,NA,NA,NA
"114","1357-20117","1982-06-22","p50",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"115","1357-20117","1983-04-22","pond S of xroads","EJW","with mate ",NA,NA,NA,NA,NA,NA,NA
"116","1357-20117","1983-04-28","pond S of xroads",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"117","1357-20117","1983-05-12","pond S of xroads",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"118","1357-20117","1983-05-15","pond S of xroads","ROB","with mate ",NA,NA,NA,NA,NA,NA,NA
"119","1357-20117","1983-05-16","pond S of xroads","JMS","with mate",NA,NA,NA,NA,NA,NA,NA
"120","1357-20118","1982-06-15","p90",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"121","1357-20118","1982-06-16","p90",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"122","1357-20118","1983-04-29","p2","EJW","?","there was a literal question mark ",NA,NA,NA,NA,NA,NA
"123","1357-20118","1983-05-04","#2","EJW","?","there was a literal question mark, I would assume they mean p2",NA,NA,NA,NA,NA,NA
"124","1357-20118","1983-05-12","pond S of xroads","JEG","with mate ","""FOUND DEAD 2 June 1983 S.E. corner of island on pond #1""",NA,NA,NA,NA,NA,NA
"125","1357-20122","1982-06-15","p1",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"126","1357-20122","1982-06-18","p1",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"127","1357-20122","1983-08-17","p125","EJW","with 3 yng (IIe or III)",NA,NA,NA,NA,NA,NA,NA
"128","1357-20122","1984-07-24","p65","MRM,JEG,JMS,JTJ",NA,"""? uncertain-brood patch uncertain-bird caught in drive trap- original tags missing-new tag combination put on: yellow tri-white disc""",NA,NA,NA,NA,NA,NA
"129","1357-20122","1984-07-26","p1","JEG","with 2 yng (Ie)",NA,NA,NA,NA,NA,NA,NA
"130","1357-20122","1984-08-01","p125","JEG","with 4 yng (Ie or IIa)",NA,NA,NA,NA,NA,NA,NA
"131","1357-20122","1984-08-02","p125","JEG","with 4 yng ",NA,NA,NA,NA,NA,NA,NA
"132","1357-20122","1984-08-08","p125","MRM,JEG,JTJ","with 4 yng (Ie)","""3 yng caught by dogs and released unmarked""",NA,NA,NA,NA,NA,NA
"133","1357-20122","1984-08-14","p125","MRM","with 4 yng (Ie)",NA,NA,NA,NA,NA,NA,NA
"134","1357-20122","1984-08-22","p125","MRM,JEG,JTJ","with 4 yng (IIa)","""4 yng (1 female and 3 males) caught by dogs and released unmarked and untagged""",NA,NA,NA,NA,NA,NA
"135","1357-20123","1984-05-25","p1","JEG","with male",NA,NA,NA,NA,NA,NA,NA
"136","1357-20125","1983-04-29","p1","EJW","with mate",NA,NA,NA,NA,NA,NA,NA
