"","band_num","just_band"
"219","885-43375","885-43375"
"220","885-43377","885-43377"
"221","885-43378","885-43378"
"222","885-43405","885-43405"
"223","885-43421","885-43421"
"224","",""
"225",NA,NA
"226","876-04949","876-04949"
"227","876-04950","876-04950"
"228","876-04951","876-04951"
"229","876-04952","876-04952"
"230","876-04967","876-04967"
"231","876-04970","876-04970"
"232","876-04971","876-04971"
"233","876-04972","876-04972"
"234","876-04973","876-04973"
"235","876-04984","876-04984"
"236","876-04985","876-04985"
"237","876-04986","876-04986"
"238","876-04988","876-04988"
"239","876-04989","876-04989"
"240","876-04990","876-04990"
"241","876-04902","876-04902"
"242","876-04997","876-04997"
"243","596-68116","596-68116"
"244","596-68127","596-68127"
"245","596-68130","596-68130"
"246","596-68132","596-68132"
"247","596-68126","596-68126"
"248","596-68115","596-68115"
"249","596-68129","596-68129"
"250","596-68113","596-68113"
"251","596-68168","596-68168"
"252","596-68177","596-68177"
"253","596-68176","596-68176"
"254","596-68180","596-68180"
"255","596-68183","596-68183"
"256","596-68186","596-68186"
"257","596-68187","596-68187"
"258","596-68189","596-68189"
"259","596-68188","596-68188"
"260","596-68196","596-68196"
"261","596-68198","596-68198"
"262","596-68174","596-68174"
"263","596-68167","596-68167"
"264","596-68165","596-68165"
"265","596-68169","596-68169"
"266","596-68171","596-68171"
"267","596-68175","596-68175"
"268","896-62801","896-62801"
"269","896-62896","896-62896"
"270","896-62895","896-62895"
"271","896-62898","896-62898"
"272","896-75105","896-75105"
"273","896-75106","896-75106"
"274","896-75117","896-75117"
"275","896-75118","896-75118"
"276","896-75110","896-75110"
"277","896-75115","896-75115"
"278","896-75159","896-75159"
"279","896-75157","896-75157"
"280","896-75156","896-75156"
"281","896-75153","896-75153"
"282","896-75152","896-75152"
"283","896-75145","896-75145"
"284","896-75146","896-75146"
"285","896-75144","896-75144"
"286","896-75168","896-75168"
"287","896-75165","896-75165"
"288","896-75167","896-75167"
"289","896-75149","896-75149"
"290","896-75147","896-75147"
"291","896-75150","896-75150"
"292","896-75143","896-75143"
"293","896-75141","896-75141"
"294","896-75113","896-75113"
"295","896-75204","896-75204"
"296","896-75207","896-75207"
"297","896-75208","896-75208"
"298","896-75209","896-75209"
"299","896-75210","896-75210"
"300","896-75211","896-75211"
"301","896-75212","896-75212"
"302","896-75215","896-75215"
"303","896-75216","896-75216"
"304","896-75217","896-75217"
"305","896-75218","896-75218"
"306","896-75219","896-75219"
"307","896-75220","896-75220"
"308","896-75221","896-75221"
"309","896-75224","896-75224"
"310","896-75225","896-75225"
"311","896-75236","896-75236"
"312","896-75237","896-75237"
"313","896-75250","896-75250"
"314","896-75266","896-75266"
"315","896-75267","896-75267"
"316","896-75263","896-75263"
"317","896-75290","896-75290"
"318","896-75296","896-75296"
"319","896-75286","896-75286"
"320","896-75288","896-75288"
"321","896-75292","896-75292"
"322","896-75291","896-75291"
"323","896-75293","896-75293"
"324","896-75294","896-75294"
"325","896-75295","896-75295"
"326","896-75299","896-75299"
"327","896-75300","896-75300"
"328","896-75303","896-75303"
"329","896-75304","896-75304"
"330","896-75305","896-75305"
"331","896-75306","896-75306"
"332","896-75307","896-75307"
"333","896-75308","896-75308"
"334","896-75309","896-75309"
"335","896-75349","896-75349"
"336","896-75351","896-75351"
"337","686-13932","686-13932"
"338","896-75287","896-75287"
"339","686-13916","686-13916"
"340","686-13935","686-13935"
"341","686-13937","686-13937"
"342","686-13938","686-13938"
"343","686-13939","686-13939"
"344","686-13940","686-13940"
"345","686-13941","686-13941"
"346","686-13942","686-13942"
"347","686-13943","686-13943"
"348","686-13944","686-13944"
"349","686-13945","686-13945"
"350","686-13946","686-13946"
"351","686-13947","686-13947"
"352","686-13948","686-13948"
"353","686-13949","686-13949"
"354","686-13950","686-13950"
"355","686-13952","686-13952"
"356","686-13953","686-13953"
"357","686-13954","686-13954"
"358","686-13955","686-13955"
"359","686-13956","686-13956"
"360","686-13957","686-13957"
"361","686-13958","686-13958"
"362","686-13959","686-13959"
"363","686-13960","686-13960"
"364","686-13961","686-13961"
"365","686-13963","686-13963"
"366","686-13965","686-13965"
"367","1056-37162","1056-3716"
"368","686-13971","686-13971"
"369","686-13974","686-13974"
"370","686-13981","686-13981"
"371","686-13983","686-13983"
"372","686-13984","686-13984"
"373","686-13986","686-13986"
"374","686-13987","686-13987"
"375","686-13991","686-13991"
"376","686-13992","686-13992"
"377","686-13993","686-13993"
"378","686-13994","686-13994"
"379","686-13995","686-13995"
"380","686-13997","686-13997"
"381","686-13998","686-13998"
"382","686-13999","686-13999"
"383","686-14000","686-14000"
"384","896-75163","896-75163"
"385","896-75274","896-75274"
"386","896-75297","896-75297"
"387","896-75344","896-75344"
"388","896-75345","896-75345"
"389","896-75356","896-75356"
"390","896-75359","896-75359"
"391","896-75360","896-75360"
"392","896-75361","896-75361"
"393","896-75362","896-75362"
"394","896-75363","896-75363"
"395","896-75364","896-75364"
"396","896-75365","896-75365"
"397","896-75366","896-75366"
"398","896-75367","896-75367"
"399","896-75368","896-75368"
"400","896-75373","896-75373"
"401","896-75378","896-75378"
"402","896-75380","896-75380"
"403","896-75381","896-75381"
"404","896-75382","896-75382"
"405","896-75393","896-75393"
"406","896-75432","896-75432"
"407","896-75433","896-75433"
"408","896-75434","896-75434"
"409","896-75435","896-75435"
"410","896-75437","896-75437"
"411","896-75438","896-75438"
"412","896-75440","896-75440"
"413","896-75444","896-75444"
"414","896-75445","896-75445"
"415","1016-61301","1016-6130"
"416","1016-61302","1016-6130"
"417","1016-61304","1016-6130"
"418","1016-61308","1016-6130"
"419","1016-61309","1016-6130"
"420","1016-61310","1016-6131"
"421","1016-61315","1016-6131"
"422","1016-61316","1016-6131"
"423","1016-61318","1016-6131"
"424","1016-61319","1016-6131"
"425","1016-61321","1016-6132"
"426","1016-61324","1016-6132"
"427","1016-61327","1016-6132"
"428","1016-61328","1016-6132"
"429","1016-61330","1016-6133"
"430","1016-61331","1016-6133"
"431","1016-61332","1016-6133"
"432","1016-61334","1016-6133"
"433","1016-61337","1016-6133"
"434","1016-61338","1016-6133"
"435","1016-61340","1016-6134"
"436","1016-61342","1016-6134"
"437","1016-61343","1016-6134"
"438","1016-61344","1016-6134"
