"","band_num","just_band"
"932","1357-20136","1357-2013"
"933","1357-20139","1357-2013"
"934","1357-20141","1357-2014"
"935","1357-20143","1357-2014"
"936","1357-20145","1357-2014"
"937","1357-20146","1357-2014"
"938","1357-20169","1357-2016"
"939","1357-20175","1357-2017"
"940","1357-20177","1357-2017"
"941","1357-20181","1357-2018"
"942","1357-20197","1357-2019"
"943","1237-46495","1237-4649"
"944","1237-46496","1237-4649"
"945","1167-44221","1167-4422"
"946","1167-44230","1167-4423"
"947","1167-44245","1167-4424"
"948","1167-44258","1167-4425"
"949","1167-44271","1167-4427"
"950","1167-44273","1167-4427"
"951","1167-44293","1167-4429"
"952","1167-44294","1167-4429"
"953","1167-44295","1167-4429"
"954","1167-44296","1167-4429"
"955","1337-44601","1337-4460"
"956","1337-44604","1337-4460"
"957","1337-44610","1337-4461"
"958","1337-44658","1337-4465"
"959","1337-44673","1337-4467"
"960","1337-44685","1337-4468"
"961","1337-44686","1337-4468"
"962","1337-44700","1337-4470"
"963","1337-44728","1337-4472"
"964","1337-44733","1337-4473"
"965","1337-44734","1337-4473"
"966","1337-44746","1337-4474"
"967","1337-44751","1337-4475"
"968","1337-44752","1337-4475"
"969","1337-44755","1337-4475"
"970","1337-44760","1337-4476"
"971","1337-44761","1337-4476"
"972","1337-44762","1337-4476"
"973","1337-44763","1337-4476"
"974","1337-44765","1337-4476"
"975","1337-44770","1337-4477"
"976","1337-44771","1337-4477"
"977","1337-44773","1337-4477"
"978","1337-44774","1337-4477"
"979","1337-44777","1337-4477"
"980","1337-44786","1337-4478"
"981","1337-44787","1337-4478"
"982","1337-44790","1337-4479"
"983","1337-44791","1337-4479"
"984","1337-44796","1337-4479"
"985","1337-44775","1337-4477"
"986","1337-44800","1337-4480"
"987","1337-44805","1337-4480"
"988","1337-44807","1337-4480"
"989","1337-44818","1337-4481"
"990","1337-44555","1337-4455"
"991","1337-44566","1337-4456"
"992","1337-44567","1337-4456"
"993","1337-44568","1337-4456"
"994","1337-44569","1337-4456"
"995","1337-44570","1337-4457"
"996","1337-44571","1337-4457"
"997","1337-44572","1337-4457"
"998","1337-44573","1337-4457"
"999","1337-44574","1337-4457"
"1000","1337-44575","1337-4457"
"1001","1337-44580","1337-4458"
"1002","1337-44581","1337-4458"
"1003","1337-44582","1337-4458"
"1004","1337-44584","1337-4458"
"1005","1337-44951 +CB","1337-4495"
"1006","1337-44953+CB","1337-4495"
"1007","1337-44956 +CB","1337-4495"
"1008","1337-44957+CB","1337-4495"
"1009","1337-44975+CB","1337-4497"
"1010","1337-44980 + yellow band ","1337-4498"
"1011","1337-44993+yellow CB","1337-4499"
"1012","1337-44995+CB","1337-4499"
"1013","1337-44996+CB","1337-4499"
"1014","1337-44999","1337-4499"
"1015","1337-45000+CB","1337-4500"
"1016","1447-40101","1447-4010"
"1017","1447-40103+CB","1447-4010"
"1018","1447-40104+CB","1447-4010"
"1019","1447-40107+CB","1447-4010"
"1020","1447-40108","1447-4010"
"1021","1447-40110","1447-4011"
"1022","1447-40129 + red band left","1447-4012"
"1023","1447-40131 + red band left","1447-4013"
"1024","1447-40145","1447-4014"
"1025","1447-40148","1447-4014"
"1026","1447-40164+red CB","1447-4016"
"1027","1447-40160+red CB","1447-4016"
"1028","1447--40183+red CB","1447--401"
"1029","1447--40184+red CB","1447--401"
"1030","1447--40191+red CB","1447--401"
"1031","1447--40192+red CB","1447--401"
"1032","1447-40180","1447-4018"
"1033","1447-40201+red band ","1447-4020"
"1034","1447-40202","1447-4020"
"1035","1447-40203 +red band ","1447-4020"
"1036","1447-40204","1447-4020"
"1037","1447-40205","1447-4020"
"1038","1447-40206 +red band ","1447-4020"
"1039","1447-40207 +red band ","1447-4020"
"1040","1447-40208 +blue band ","1447-4020"
"1041","1447-40209 +red band ","1447-4020"
"1042","1447-40212 +blue band ","1447-4021"
"1043","1447-40218 +blue band ","1447-4021"
"1044","1447-40219","1447-4021"
"1045","1447-40241","1447-4024"
"1046","1447-40120","1447-4012"
"1047","1447-40251","1447-4025"
"1048","1447-40211","1447-4021"
"1049","1447-40257","1447-4025"
"1050","1447-40265","1447-4026"
"1051","1447-40278","1447-4027"
"1052","1447-40128","1447-4012"
"1053","1447-40289","1447-4028"
"1054","1447-40295","1447-4029"
"1055","1447-40308","1447-4030"
"1056","1447-40313","1447-4031"
"1057","1447-40174","1447-4017"
"1058","1447-40331","1447-4033"
"1059","1447-40332","1447-4033"
"1060","1447-40373","1447-4037"
"1061","1447-40412","1447-4041"
"1062","1447-40416","1447-4041"
"1063","1447-40417","1447-4041"
"1064","1447-40418","1447-4041"
"1065","1447-40419","1447-4041"
"1066","1447-40420","1447-4042"
"1067","1447-40425","1447-4042"
"1068","1447-40427","1447-4042"
"1069","1447-40361","1447-4036"
"1070","1467-52216","1467-5221"
"1071","1467-52217","1467-5221"
"1072","1467-52219","1467-5221"
"1073","1467-52220","1467-5222"
"1074","1467-52221","1467-5222"
"1075","1467-52222","1467-5222"
"1076","1467-52223","1467-5222"
"1077","1467-52224","1467-5222"
"1078","1467-52225 ","1467-5222"
"1079","1467-52226","1467-5222"
"1080","1467-52227","1467-5222"
"1081","1467-52228","1467-5222"
"1082","1467-52229","1467-5222"
"1083","1467-52230","1467-5223"
"1084","1467-52233","1467-5223"
"1085","1467-52237","1467-5223"
"1086","1467-52409","1467-5240"
"1087","1467-52472","1467-5247"
"1088","1467-52446","1467-5244"
"1089","1467-52419","1467-5241"
"1090","1467-52465","1467-5246"
"1091","1467-52243","1467-5224"
"1092","1467-52271","1467-5227"
"1093","1467-52298","1467-5229"
"1094","1467-52473","1467-5247"
"1095","1467-52476","1467-5247"
"1096","1467-52477","1467-5247"
"1097","1467-52474","1467-5247"
"1098","1467-52475","1467-5247"
"1099","1467-52482","1467-5248"
"1100","1467-52480","1467-5248"
"1101","1467-52478","1467-5247"
"1102","1467-52481","1467-5248"
