"","location"
"319","SW of Lebreques, LOC same as freq, 3.024"
"320","Nest"
"321","SW of Lebreques"
"322","Same as freq, 3.024"
"323","Nest 252"
"324","pd 4634"
"325","pd 4332"
"326","1/8 mi N of farmhouse (S of Arthur's)"
"327","Nest 249"
"328","pd 70"
"329","N of Arthur's, SW of old house"
"330","pd SE of Arthur's"
"331","pd SE of Arthur's, E shore"
"332","Nest 354"
"333","1 pd N of 5258"
"334","124"
"335","pd 4156 Skomar's pd"
"336","skomars"
"337","skomar"
"338","N 302"
"339","pd 1 N"
"340","pd 26 "
"341","South of 5164"
"342","Just South of 5164"
"343","Near 5164"
"344","nest 282"
"345","pd 4327"
"346","Nest 449"
"347","pd 27"
"348","pd 5335"
"349","N 261"
"350","27"
"351","nest "
"352","pd 6954"
"353","pd 140"
"354","pd 1255"
"355","pd 76"
"356","?"
"357","pd 79 W"
"358","N 348"
"359","Whitewater Lake, Manitoba"
"360","PD 65"
"361","pd 124"
"362","nest 294"
"363","pd 8143"
"364","N 314"
"365","1st pd; Nest"
"366","E of pd 94"
"367","pd ?"
"368","2 pds N of 7044"
"369","1 pd E of pd 94"
"370","Holly Beach, Louisiana"
"371","? pd 25"
"372","1st pd E of 7966"
"373","pd 66 (s)"
"374","pd 79"
"375","6622"
"376","pd 6622"
"377","N223"
"378","In field N of pd 28, E end of pd 29"
"379","N of pd 3, N229"
"380","Conway, Arkansas"
"381","pd 1 W"
"382","pd"
"383","1/2 mile N of trailer E of road @ 1/2 section line"
"384","Stomar's"
"385","1"
"386","N306"
"387","1st pd NE of 5056"
"388","pd 5258"
"389","pd NE of 4857"
"390","Nest 143"
"391","2nd wetland N of Labreques Farm"
"392","1st large wetland E of pd 7144"
"393","1st wetland N of 7144"
"394","2nd pd N of 7044"
"395","nest 462"
"396","Ponchatoula, Louisianna"
"397","lrge pd West of Skomar's farm"
"398","Lake Darling, Arkansas"
"399","lrge pd SW of 7044"
"400","pd 7144"
"401","N410"
"402","410"
"403","90"
"404","pd 6136; N of 85 pd W 92"
"405","pd 71"
"406","pd 6954 (2 pds N of 7044)"
"407","N of 7044"
"408","pd 8119"
"409","pd 125 N"
"410","pd 125 S"
"411","pd directly E of Boussier's access road"
"412","pd 1 NE"
"413","pd 1 E"
"414","Skomar's pond"
"415","Skomar's Pd, Pd 4156"
"416","6672"
"417","Skomar's"
"418","N 173"
"419","Nest 256"
"420","Nest 424"
"421","nest 571 (N quanset)"
"422","nest 642 N pd 139"
"423","pd 97"
"424","pd 906"
"425","N 432"
"426","Pd 50"
"427","nest 598 N pd 24 S"
"428","Pd 25"
"429","Lge Pd West of Skomar's house"
"430","pd 1 NE End"
"431","pd 1"
"432","Hackberry, Louisianna"
"433","pd 1 fr. South"
"434","Shetwtr. east/46"
"435","pd W of 6631 W of Road"
"436","11"
"437","Skomar"
"438","SW pd 137 N1"
"439","Trimle, Tennesee"
"440","1 pd NW of 7040"
"441","pd 12"
"442","1st pd most SW of Sk Land N of area"
"443","nest 399 E pd 90"
"444","pd 6672 St. Denis, SK"
"445","pd 8107"
"446","nest 649 island"
"447","Pd 1 SW"
"448","pd 1 SW"
"449","N 383"
"450","pd 20 S"
"451","nest 461 S pd 33"
"452","Skomar's pd
pd 4156"
"453","N398"
"454","pd 3535"
"455","N 345"
"456","pd 25 N"
"457","nest 568 w pd 28"
"458","5056"
"459","pd 26 A"
"460","5634"
"461","N231"
"462","Mississippi"
"463","N376"
"464","N 390"
"465","N 344"
"466","6954"
"467","n191 @ pd 90"
"468","on nest"
"469","Helena, Arkansas"
"470","pd 125"
"471","N313"
"472","N381"
"473","N152 @ pd 128"
"474","crop edge W of p 90"
"475","pd S of 6674"
"476","pd 6631"
"477","2nd pd to N of pd 5723"
"478","pd 5723"
"479","Near Jamestown N.D."
"480","1/2 mi N 
1/4 mi W of Arthur's farm"
"481","Pecan Island, LA"
"482","See comments"
"483","comments"
"484","SW pd 7040"
"485","Delacroix, LA"
"486","N 177"
"487","N 158"
"488","W 172"
"489","Kulm, ND"
"490","N 169"
"491","Wallisville, Texas"
"492","N 168"
"493","N 241"
"494","pd 98"
"495","N 217"
"496","1/3 M E of SE corner of NWA"
"497","pd 1 SE"
"498","N202 Isl"
"499","Marksville, LA"
"500","N 311"
"501","4336"
"502","see comments"
"503","N 305"
"504","N 257"
"505","pd 26 N"
"506","pd 20 "
"507","In crop by pd 20"
"508","N 281"
"509","1 pd SE 4336"
"510","pd 0935"
"511","flush from nest # 105 to pd 26"
"512","N 265"
"513","N 251"
"514","N 414"
"515","0d 26"
"516","N 361"
"517","off area pd 6317"
"518","N 312"
"519","Chalmette, LA"
"520","pd N of 5056"
"521","N 385"
"522","N 417"
"523","Skopar's"
"524","Eudora, Arkansas"
"525","N 396"
"526","N 418"
"527","N 191"
"528","pd 1 NW"
"529","pd 5"
"530","1/3 M East of SE corner of NWA"
"531","N 379"
"532","SW Pd 1"
"533","66"
"534","90 b"
"535","N 126 Isl"
"536","Clarksdale MS"
"537","N 422"
"538","SE on crop 50"
"539","N 338"
"540","N 372"
"541","Skomar's pd"
"542","N 217 Isl"
"543","pd 1257"
"544","n 191@ pd 50"
"545","Dumus, Arkansas"
"546","S of NWA approx 2 mi"
"547","S end pd 5723"
"548","1 m N of town of St. Denis"
"549","pd N of 7040"
"550","pd 19"
"551","pd 67 "
"552","N 301"
"553","pd 4328"
"554","pd 4717"
"555","1.5 mi SW of Arthur 1 mi W of Labreques"
"556","N 294"
"557","1 pd NE of 5056"
"558","Buffalo, Texas"
"559","Lrge pd SW of 4727"
"560","Port Clinton, OH"
"561","nS22"
"562","nS21"
"563","n20"
"564","E ISLAND PD1"
"565","NW66"
"566","nS01"
"567","nS16"
"568","E PD 1 "
"569","PD 1"
"570","nS7"
"571","SCAUP 12"
"572","n23"
"573","NEPD1"
"574","Pd 67"
"575","Pd 5338"
"576","Pd 1 "
"577","Pd 1"
"578","Pd 79E"
"579","Pd 15"
"580","Pd S of Pd"
"581","Pd 97"
"582","Pd 125N"
"583","n15"
"584","Pd1E"
"585","Pd5338"
"586","Pd1"
"587","NWPd1"
"588","n17"
"589","nPO1E"
"590","90B"
"591","Pd90B"
"592","Pd1W"
"593","Pd90A"
"594","n28"
"595","PD80"
"596","SWEPd63"
"597","Pd65"
"598","UNK"
"599","Pd70"
"600","Pd20"
"601","Pd67"
"602","Pd71"
"603","pd125N"
"604","n310"
"605","Pd 20"
"606","Pd 26"
"607","n316"
"608","n16"
"609","Pd80"
"610","PdIW"
"611","Pd25"
"612","N end Pd1"
"613","Pd3558"
"614","n245"
"615","Pd79W"
"616","Pd1SE"
"617","Pd4327"
"618","n9"
"619","1 section ""Mille"" N of studied area west side of road"
"620","Pd 7GE"
"621","Pd 1W"
"622","n167"
"623","Pd 6642"
"624","n313"
"625","Pd6642"
"626","Pd6136"
"627","nS-5"
"628","Pd66"
"629","Pd140"
"630","Pd56"
"631","Pd15"
"632","Pd53"
"633","Pd1; n248"
"634","Pd15E"
"635","Pd1w"
"636","island"
"637","n418"
"638","DRIVE TRAP POND 1"
"639","n7"
"640","n5"
"641","Pd1N"
"642","Pd1SW"
"643","Pd W of Boussiere"
"644","Pd11"
"645","Pd1Nend"
"646","SEshore_of_island"
"647","SendPd1"
"648","Pd19E"
"649","Pd79E"
"650","Pd79"
"651","Island;n225"
"652","SEPd1"
"653","Island; n210"
"654","n292"
"655","n331 (Island)"
"656","SWPd1"
"657","Pd1S"
"658","Pd125s"
"659","Pd5"
"660","n326"
"661","Pd4857"
"662","n8"
"663","n21"
"664","Pd1 n11"
"665","n300"
"666","Pd78E"
"667","Pd79B"
"668","n172"
"669","Pd26"
"670","Pd4156 Skomar's"
"671","Pd6944"
"672","n413"
"673","Pd Skomar's"
"674","Pd125"
"675","nS-4"
"676","Pd65S"
"677","Pd6"
"678","S of Pd90B"
"679","S of Pd5338"
"680","S-1"
"681","nS-1"
"682","nS-3, NE Pd90"
"683","nS-3"
"684","Pond S of 90 (90A)"
"685","Pond N of 6642"
"686","Pond 1"
"687","Pond 90B"
"688","Pond 90A"
"689","Pd 90B"
"690","Pond S of 90B"
"691","First Pd NE of BOUSS."
"692","W of BOUSS."
"693","pD3558"
"694","Pd1 SE"
"695","Staples, Texas"
"696","Pd90"
"697","Pd97"
"698","P125N"
"699","P/W"
"700","P/S"
"701","Pd98"
"702","Pd4717"
"703","Pd1SE end"
"704","Pd1SW end"
"705","P1SE"
"706","Pd1NE"
"707","Pd7W"
"708","n371"
"709","n71"
"710","1W"
"711","1E"
"712","N2001"
"713","n201"
"714","Pd6751"
"715","Pd1255"
"716","Pd125N"
"717","Pd09"
"718","Pd7040"
"719","n260"
"720","n283"
"721","n220"
"722","n370"
"723","Pd1NW"
"724","n125 island"
"725","125N"
"726","n411"
"727","Pd7079"
"728","Pd84, n239"
"729","n437"
"730","377i"
"731","n192"
"732","island n211"
"733","PdW1"
"734","N367"
"735","N365"
"736","N388I"
"737","N438"
"738","Pd6317"
"739","N5-6"
"740","Pd5056"
"741","Pd4437"
"742","Pd20W"
"743","N192"
"744","N25"
"745","N305; Pd905"
"746","Lvg Pd SSW 8m. Denis"
"747","N314"
"748","Pd W of Boussiers"
"749","Pd5358"
"750","Pd906"
"751","Pd6136 Bouisier's Pd"
"752","Salvador Ref Louisiana"
"753","Pd35"
"754","Pd6954"
"755","E of 94"
"756","Arkansas "
"757","N274"
"758","71"
"759","65"
"760","Skomar's Pd"
"761","N341"
"762","2 pds N of 2943; 1/2 mi N, 1/4 mi 4 of Arthur's House"
"763","Pd50"
"764","Pd6951"
"765","N407"
"766","125"
"767","Pd125c"
"768","Pd125S"
"769","Minnesota"
"770","IE"
"771","Logansport, LA"
"772","UNKNOWN"
"773","1N"
"774","1NW"
"775","N215"
"776","Pd1125"
"777","N238"
