"","location"
"1207","S of pd 5338 1st pd S of powerlines in crop"
"1208","E of 1255 N 104"
"1209","SW TRES Nest # 021"
"1210","pd 97/98"
"1211","1 pd E of 94"
"1212","Nest 040"
"1213","Nest 088"
"1214","1 pd SW 6631"
"1215","N 135 ISL"
"1216","Nest 135"
"1217","N106"
"1218","S of quanset sheetwater"
"1219","pd 125N"
"1220","nest 367, pd 139"
"1221","SW of pd 6631 E side of road"
"1222","pd S of 6672"
"1223","Nest 023"
"1224","pd 9350"
"1225","pd 8367"
"1226","NE of pd 67"
"1227","2-3 ponds N of 5327"
"1228","Nest 376"
"1229","Blytheville, Arkansas"
"1230","SW pd 9350"
"1231","pd 7966"
"1232","nest 173"
"1233","pd 26A"
"1234","pd 26N"
"1235","N107"
"1236","Licoln County, Arkansas"
"1237","280 nest"
"1238","nest 619"
"1239","pd 1 e"
"1240","Nest #013 flushed pd 1 E"
"1241","Nest #013  "
"1242","1 pd S o 6136"
"1243","big pd 8132 NE of Andre Denis"
"1244","nest 339"
"1245","pd 8132 NE Andre Denis farm"
"1246","2nd pd E of 8132"
"1247","pd 5618"
"1248","1 m N of main road 
1 m N of NWA (1st pd SE of farm)*"
"1249","1 m N of main road 
1 m N of NWA (1st pd SE of farm)"
"1250","nest # 412 N of pd 5056"
"1251","Nest 215 ISL"
"1252","Schell City, Missouri"
"1253","NE 3 mi ST. DENIS NWA"
"1254","pd N of 4717"
"1255","Smackover, Arkansas"
"1256","pd 7662?"
"1257","N153"
"1258","Raceland, LA"
"1259","1 pd S of 4336"
"1260","Nest #008"
"1261","Nest 473"
"1262","2 pds E 
1 pd S of 2561"
"1263","N 087 E of pd 14"
"1264","N of pd 14"
"1265","N pd 1"
"1266","142 ISL"
"1267","N236"
"1268","N 059 NE of pd 3"
"1269","W of 5338 in field"
"1270","p 66"
"1271","N 085 SE of pd 14"
"1272","N 041 N of pd 140"
"1273","125 S"
"1274","SW end pd 9350"
"1275","Nest 065"
"1276","Nest 663"
"1277","2 pds SE of Andre Denis yard"
"1278","141 ISL"
"1279","185 ISL"
"1280","N144 ISL"
"1281","1 E"
"1282","Flush from nest 6136 (N166)"
"1283","N 057 E of pd 14"
"1284","144 ISL"
"1285","S of 5056 in crop"
"1286","NE pd 29 in field"
"1287","150 ISL"
"1288","N 201"
"1289","N105 ISL"
"1290","134 ISL"
"1291","SE pd 1"
"1292","N 26 I"
"1293","N 017 N of quanset "
"1294","field N of 5056"
"1295","S of pd 5056"
"1296","N129 ISL"
"1297","pond S of 6672"
"1298","pd 1 SSE"
"1299","N218 ISL"
"1300","N130 ISL"
"1301","125 N"
"1302","148 ISL"
"1303","Nest 513 ISL"
"1304","1 pd S of 3670 1 mi NW of Skomar's pd"
"1305","1 pd SW of 5662"
"1306","N 073 N of pd 1"
"1307","N126 ISL"
"1308","N 214"
"1309","N029"
"1310","1 L"
"1311","143 ISL"
"1312","N200"
"1313","1 W"
"1314","N # 029 S of captives"
"1315","Sabine Ref, LA"
"1316","N 123 ISL"
"1317","N 124 ISL"
"1318","S end pd 1"
"1319","N 52 ISL"
"1320","N 122 E of 67"
"1321","1st pd S of 5723"
"1322","133 ISL"
"1323","N 119"
"1324","N 045 ISL"
"1325","SW 90"
"1326","Nest "
"1327","Nest # 018"
"1328","N70"
"1329","N 136 ISL"
"1330","pd 90 B"
"1331","1 N"
"1332","1 pd S of 6113"
"1333","1/2 mi further South of 1 pd S of 6113"
"1334","Skomar's pd, pd 4156"
"1335","SW pd 5662"
"1336","pd 8443"
"1337","In field E of pond 90"
"1338","N018 ISL"
"1339","1 pd SW of 3670"
"1340","Skomar's  "
"1341","N196"
"1342","9338"
"1343","N047 ISL"
"1344","530 nest"
"1345","1 mi N of town of St Denis"
"1346","N174"
"1347","pd 37"
"1348","pd 6"
"1349","N301"
"1350","Houma, Louisianna"
"1351","pd South 6751"
"1352","N082"
"1353","5 pds N of pd 2943"
"1354","N69"
"1355","N039"
"1356","N210 ISL"
"1357","N 086"
"1358","4156 Skomar's"
"1359","Skomar's N295"
"1360","Skomar's 4851"
"1361","N083"
"1362","Nest 024"
"1363","N101"
"1364","pd 20 W"
"1365","N 61"
"1366","N129"
"1367","N181"
"1368","N edge of pd 66"
"1369","ESE Rene Lebreque"
"1370","N 056"
"1371","N 199"
"1372","N142 ISL"
"1373","Madisonville, Kentucky"
"1374","N150"
"1375","1st pd SE of Bousierres driveway"
"1376","N13"
"1377","N203"
"1378","N027"
"1379","N211"
"1380","N193"
"1381","N354"
"1382","Skomar's (4851)"
"1383","N209"
"1384","N254"
"1385","1st pd SW of Boursierre's driveway"
"1386","N126"
"1387","N276"
"1388","1 SE"
"1389","N19 ISL"
"1390","N 230 ISL"
"1391","125S"
"1392","N213"
"1393","N375"
"1394","1st pd E side of road 1 mi N of NWA sign main road"
"1395","N282"
"1396","4136"
"1397","N235"
"1398","pd 10"
"1399","N347 pd 2"
"1400","N 041 flushed to pd 1 "
"1401","Nest 019"
"1402","N 046"
"1403","N024"
"1404","(ISL) N218"
"1405","in field b/w pd 26 and 67"
"1406","in crop west of pd 67"
"1407","20 W"
"1408","in crop S 110/111"
"1409","N100"
"1410","SE of pd 109"
"1411","pd 80"
"1412","N172"
"1413","N058"
"1414","N212"
"1415","N169"
"1416","N221"
"1417","N018"
"1418","N233"
"1419","N204"
"1420","N267 ISL"
"1421","N291"
"1422","N307"
"1423","1 South"
"1424","N214 ISL"
"1425","1 E "
"1426","N022"
"1427","N 052"
"1428","N079"
"1429","N081"
"1430","N222"
"1431","N111"
"1432","stubble field #50, #60"
"1433","n11"
"1434","p26A"
"1435","R.O.W near #67"
"1436","n1 "
"1437","N.E of pond #26 retrapped in nest trap"
"1438","#1"
"1439","#27"
"1440","stubble field S of house"
"1441","p24,p27"
"1442","p26 N"
"1443","n36"
"1444","see comments "
"1445","p65 S "
"1446","p49,p62"
"1447","near p124"
"1448","NE of #29"
"1449","p125 S "
"1450","p130"
"1451","p62"
"1452","SE lobe of #66"
"1453","p1,p125"
"1454","old foundation near house"
"1455","n17 (hatched)"
"1456","flushed from nature prairie N of #65 and flew into #65"
"1457","#50"
"1458","3rd pond S of xroads"
"1459","pond S of xroads"
"1460","p2"
"1461","#2"
"1462","p66 0900"
"1463","n8 (8 eggs)(nest trapped)"
"1464","p46"
"1465","n148"
"1466","#125"
"1467","N end of pond #25"
"1468","Nest #54 S of 40"
"1469","p26 or 25"
"1470","NW of house from slough just off area "
"1471","signal picked up from house- coming from 66,67 or 65"
"1472","slough off SE corner of area "
"1473","slough off NE corner of area "
"1474","slough 1km E of SE corner of area "
"1475","same as above"
"1476","pond #8143"
"1477","slough across road (South) of 90 S"
"1478","#79"
"1479","n21 NW hayfield"
"1480","slough partially in NW corner of area"
"1481","n50 (3 eggs) 15 m NW of pond 39"
"1482","n50 (10 eggs)"
"1483","hayfield W of 79"
"1484","large slough 1km S, .75 km W of main grid road undersection at South end of area "
"1485","n25 N of #1"
"1486","p124"
"1487","signal from slough off area - E of 94"
"1488","S end of #125"
"1489","island on pd. #1"
"1490","N end of pd #1"
"1491","flew from #1 to #125"
"1492","6847"
"1493","signal coming from E of house "
"1494","4th slough 1/2 mi N of area, E side of grid road\"
"1495","off area- same general area as above"
"1496","signal coming from East of house "
"1497","N of house, along grid road"
"1498","same as 26 June 0740 observation"
"1499","slough 1/2 mi N of area on E side "
"1500","slough 1km N of area E side of grid road"
"1501","N of house, off area"
"1502","1km N of house along grid road"
"1503","slough 1km N of house "
"1504","1 1/4 mi NW of house"
"1505","on slough off NW corner of area "
"1506","on slough 1 mi N and 1 mi W of area"
"1507","2 mi WNW of house"
"1508","1 1/2 mi NW of house"
"1509","P50"
"1510","P125"
"1511","p125 - flew to p1"
"1512","midpoint of North fence, East block"
"1513","pond #3670"
"1514","pond #4857"
"1515","S of 79 (across road)"
"1516","on road South of NWA to (main grid) St Denis +/- 200m"
"1517","n52"
"1518","n4"
"1519","Temp pond =50 m E of main grid about 200 m S of SW corner of East block"
"1520","p15 dugout (not far from 85 nest site)"
"1521","n86"
"1522","pond 4857"
"1523","p70"
"1524","pond #5335"
"1525","p94"
"1526","pond 1 E"
"1527","15:45 p67"
"1528","18:00 p67"
"1529","South of 60 at gate to West block (pond at gate)"
"1530","n67"
"1531","Nest #101 (abandoned)"
"1532","n66"
"1533","n124"
"1534","n49"
"1535","n158"
"1536","125n"
"1537","field west of 125n"
"1538","pond 125n"
"1539","pond "
"1540","pond 1 W"
"1541","pd 125n"
"1542","pond 1"
"1543","pd 1 (S end)"
"1544","n85"
"1545","n72 (successful)"
"1546","n112"
"1547","pd. 6753"
"1548","p67 (NE)"
"1549","pond 79 SW"
"1550","p 125 S"
"1551","pd 65 S"
"1552","pond 1 (SW)"
"1553","pond 25 N"
"1554","on nest "
"1555","pd67"
"1556","pd50"
"1557","WEST 8 (hatch)"
"1558","pd19"
"1559","E of pd 66"
"1560","pd79E"
"1561","NE pd66/pd67"
"1562","pd 4439"
"1563","pd25"
"1564","pd65"
"1565","E of pd50 (in stubble)"
"1566","on nest 071 (destroyed)"
"1567","295"
"1568","pond 79E-S"
"1569","S of 79 E"
"1570","pd-79E"
"1571","pd113"
"1572","n26"
"1573","n50"
"1574","n50 S of pd 20"
"1575","n26 (9 egg clutch)"
"1576","n50 (started with 8 egg clutch)"
"1577","field S of driveway"
"1578","n99"
"1579","nest 070"
"1580","pd 35"
"1581","nest 006"
"1582","pd66"
"1583","nest #100"
"1584","pd1"
"1585","in stubble S of pd24"
"1586","nest 045"
"1587","decoy trap (pd27)"
"1588","n44"
"1589","nest 021"
"1590","pd 1 (E)"
"1591","pd 1 (E side)"
"1592","n55 (H)"
"1593","pd1 nest 008"
"1594","nest 008"
"1595","nest 21 (ISL)"
"1596","pd1 E"
"1597","Nest #19, Island pd 1, middle of W bluff"
"1598","pd 1 (decoy trap)"
"1599","Nest 009"
"1600","nest 009"
"1601","nest 009 "
"1602","Nest 8"
"1603","nest #1"
"1604","nest 16 "
"1605","nest #4"
"1606","Trenton, Kentucky"
"1607","pd 1 E "
"1608","nest #6 "
"1609","on nest (NW of quanset) *see attached brood OBS. form"
"1610","pd 65 s"
"1611","Leshara, Nebraska"
"1612","nest 184"
"1613","on nest 75"
"1614","N of pd 25"
"1615","pd 113"
"1616","nest 21 (island)"
"1617","pd 17"
"1618","nest 76"
"1619","nest 132"
"1620","nest 007"
"1621","nest 2  (island)"
"1622","nest 7"
"1623","pd 18"
"1624","nest 203"
"1625","pd 20 (19:07 hrs)"
"1626","SE pd 20 on road"
"1627","NATAL Nest #6 "
"1628","pd 1 - PEN"
"1629","pd 87"
"1630","nest 22 island"
"1631","nest 010"
"1632","nest 010 "
"1633","pd 1 S"
"1634","nest 001"
"1635","pd 4"
"1636","nest 79"
