orig_location,location_found,new_location_name,gen_location
pd 15,TRUE,pond 15,within park
pd 20 (19:07 hrs),TRUE,pond 20,within park
SE pd 20 on road,TRUE,pond 20,within park
pd 1 - PEN,TRUE,pond 1,within park
pd 87,TRUE,pond 87,within park
pd 1 S,TRUE,pond 1,within park
pd 1 NW,TRUE,pond 1,within park
pd 4,TRUE,pond 4,within park
pd 90,TRUE,pond 90,within park
p140,TRUE,pond 140,within park
SE Pd1,TRUE,pond 1,within park
"E of Pd1, W of Pd140",TRUE,pond 140,within park
West of Pd40,TRUE,pond 40,within park
P2943,TRUE,pond 29,within park
P4857,TRUE,pond 48,within park
P1,TRUE,pond 1,within park
P90,TRUE,pond 90,within park
Pd140 - orange? green?,TRUE,pond 140,within park
Pd140 ,TRUE,pond 140,within park
N of Yard? Negative Pd1,TRUE,pond 1,within park
Pd1 NE,TRUE,pond 1,within park
SE end Pd1,TRUE,pond 1,within park
Pd1,TRUE,pond 1,within park
Island Pd1,TRUE,pond 1,within park
Pd1 on Island,TRUE,pond 1,within park
